Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Kasha Muraski,UW-Oshkosh,VT,9.475,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.90,9.90,9.45,9.50
1,2,Kris Phillips,UW-Oshkosh,VT,9.450,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.90,9.90,9.50,9.40
1,3,Talynn Rae Gallegos,UW-Oshkosh,VT,9.225,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,9.35,9.10
1,4,Amaya McConkay,UW-Oshkosh,VT,9.475,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.90,9.90,9.40,9.55
1,5,Averie Evans,UW-Oshkosh,VT,9.525,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,9.55,9.50
1,6,Reanna McGibboney,UW-Oshkosh,VT,9.575,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,9.60,9.55
1,7,Ome Ellis,UW-Oshkosh,VT,9.400,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,9.35,9.45
1,8,Hannah Hughes,UW-Oshkosh,VT,9.325,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,9.30,9.35
1,1,Ellery Gilmer,Greenville,VT,9.450,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.80,9.80,9.45,9.45
1,2,Isabella Feltman,Greenville,VT,8.700,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,8.90,8.50
1,3,Reese Clapper,Greenville,VT,9.425,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,9.45,9.40
1,4,Reagan Rodriguez,Greenville,VT,9.225,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.80,9.80,9.25,9.20
1,5,Amara Nelson,Greenville,VT,9.600,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,9.50,9.70
1,6,Roya Zehtab,Greenville,VT,9.475,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.80,9.80,9.45,9.50
1,1,Jessica Qualich,UW-Stout,VT,9.650,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.90,9.90,9.65,9.65
1,2,Jaidyn Carroll,UW-Stout,VT,9.350,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.75,9.75,9.35,9.35
1,3,Cora Cardellino,UW-Stout,VT,8.900,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.75,9.75,9.05,8.75
1,4,Kendra Henige,UW-Stout,VT,9.375,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.90,9.90,9.40,9.35
1,5,Maggie Ryan,UW-Stout,VT,9.425,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,9.30,9.55
1,6,Kadyn Swank,UW-Stout,VT,9.400,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.75,9.75,9.35,9.45
1,7,Holly Carter,UW-Stout,VT,9.450,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.75,9.75,9.40,9.50
1,1,Courtney Knutson,Winona State,VT,9.225,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.80,9.80,9.15,9.30
1,2,Taylor Magierka,Winona State,VT,9.550,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.80,9.80,9.50,9.60
1,3,Frankie Jo MacAskill,Winona State,VT,9.275,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.75,9.75,9.25,9.30
1,4,Irene Kearney,Winona State,VT,8.850,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,8.90,8.80
1,5,Jessica Miley,Winona State,VT,9.425,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.90,9.90,9.45,9.40
1,6,Gabby Kraft,Winona State,VT,9.525,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.80,9.80,9.55,9.50
1,7,Madysen Diskerud,Winona State,VT,9.200,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.90,9.90,9.30,9.10
1,8,Molly Amrhein,Winona State,VT,9.300,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,9.95,9.95,9.30,9.30
2,1,Hannah Hughes,UW-Oshkosh,UB,9.625,,,,,,,1/3/2026,UW-Oshkosh / Greenville / UW-Stout / Winona State,10.00,10.00,9.65,9.60
