Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Trigg Dudley,California,FX,13.400,4.9,8.500,,,,,1/9/2026,California vs Stanford,4.9,1.6,1.4
1,2,Tucker Yasunaga,California,FX,12.850,4.5,8.350,,,,,1/9/2026,California vs Stanford,4.5,1.7,1.6
1,3,Khalen Curry,California,FX,13.250,4.9,8.350,,,,,1/9/2026,California vs Stanford,4.9,1.6,1.7
1,4,Matteo Bardana,California,FX,12.050,5.0,7.350,0.3,,,,1/9/2026,California vs Stanford,5.0,2.5,2.8
1,1,Cooper Kim,Stanford,FX,13.900,5.2,8.700,,,,Y,1/9/2026,California vs Stanford,5.2,1.3,1.3
1,2,Junnosuke Iwai,Stanford,FX,13.600,5.1,8.500,,,,,1/9/2026,California vs Stanford,5.1,1.6,1.4
1,3,Marcus Pietarinen,Stanford,FX,13.300,5.0,8.300,,,,,1/9/2026,California vs Stanford,5.0,1.7,1.7
1,4,Nick Kuebler,Stanford,FX,14.000,5.1,8.800,,0.1,,Y,1/9/2026,California vs Stanford,5.1,1.3,1.1
1,5,David Shamah,Stanford,FX,13.700,4.7,9.000,,,,,1/9/2026,California vs Stanford,4.7,1.0,1.0
2,1,Trigg Dudley,California,PH,12.800,4.2,8.600,,,,,1/9/2026,California vs Stanford,4.2,1.4,1.4
2,2,Davide Comparin,California,PH,11.450,4.7,6.750,,,,,1/9/2026,California vs Stanford,4.7,3.1,3.4
2,3,Harry Kim,California,PH,12.850,4.7,8.150,,,,,1/9/2026,California vs Stanford,4.7,1.7,2.0
2,4,Jasper Smith-Gordon,California,PH,13.550,4.6,8.950,,,,,1/9/2026,California vs Stanford,4.6,1.1,1.0
2,1,Arun Chhetri,Stanford,PH,12.600,5.2,7.400,,,,,1/9/2026,California vs Stanford,5.2,2.5,2.7
2,2,David Shamah,Stanford,PH,13.750,5.1,8.650,,,,,1/9/2026,California vs Stanford,5.1,1.3,1.4
2,3,Marcus Kushner,Stanford,PH,13.850,5.4,8.450,,,,,1/9/2026,California vs Stanford,5.4,1.6,1.5
2,4,Kiran Mandava,Stanford,PH,14.200,5.3,8.900,,,,,1/9/2026,California vs Stanford,5.3,1.0,1.2
3,1,Nathan Underhill,California,SR,12.700,4.3,8.400,,,,Y,1/9/2026,California vs Stanford,4.3,1.7,1.5
3,2,Carter Kim,California,SR,12.200,3.6,8.600,,,,,1/9/2026,California vs Stanford,3.6,1.4,1.4
3,3,Matteo Bardana,California,SR,12.450,3.9,8.550,,,,Y,1/9/2026,California vs Stanford,3.9,1.4,1.5
3,4,Jaxon Mitchell,California,SR,13.050,4.4,8.650,,,,,1/9/2026,California vs Stanford,4.4,1.4,1.3
3,1,Deano Roberts,Stanford,SR,12.950,4.5,8.350,,0.1,,,1/9/2026,California vs Stanford,4.5,1.7,1.6
3,2,Nick Kuebler,Stanford,SR,13.900,5.0,8.800,,0.1,,,1/9/2026,California vs Stanford,5.0,1.1,1.3
3,3,Arun Chhetri,Stanford,SR,12.900,4.8,8.100,,,,,1/9/2026,California vs Stanford,4.8,2.0,1.8
3,4,Reece Landsperger,Stanford,SR,12.700,5.0,7.700,,,,,1/9/2026,California vs Stanford,5.0,2.4,2.2
3,5,David Shamah,Stanford,SR,12.250,3.7,8.550,,,,Y,1/9/2026,California vs Stanford,3.7,1.4,1.5
4,1,Harry Kim,California,VT,12.950,4.4,8.650,0.1,,,,1/9/2026,California vs Stanford,4.4,1.4,1.3
4,2,Nathan Underhill,California,VT,14.000,4.8,9.200,,,,,1/9/2026,California vs Stanford,4.8,0.8,0.8
4,3,Khalen Curry,California,VT,14.050,4.8,9.350,0.1,,,,1/9/2026,California vs Stanford,4.8,0.7,0.6
4,4,Jasper Smith-Gordon,California,VT,14.200,4.8,9.400,,,,,1/9/2026,California vs Stanford,4.8,0.6,0.6
4,1,Wade Nelson,Stanford,VT,14.200,4.8,9.300,,0.1,,,1/9/2026,California vs Stanford,4.8,0.7,0.7
4,2,Junnosuke Iwai,Stanford,VT,14.000,4.8,9.200,,,,,1/9/2026,California vs Stanford,4.8,0.8,0.8
4,3,Cooper Kim,Stanford,VT,12.500,4.8,8.000,0.3,,,,1/9/2026,California vs Stanford,4.8,2.1,1.9
4,4,David Shamah,Stanford,VT,13.000,4.8,8.200,,,,,1/9/2026,California vs Stanford,4.8,1.7,1.9
5,1,Davide Comparin,California,PB,11.150,3.5,7.650,,,,,1/9/2026,California vs Stanford,3.5,2.2,2.5
5,2,Troy Nuesca,California,PB,13.350,4.5,8.850,,,,,1/9/2026,California vs Stanford,4.5,1.2,1.1
5,3,Kaien Orion,California,PB,12.450,4.5,7.950,,,,,1/9/2026,California vs Stanford,4.5,2.0,2.1
5,4,Tucker Yasunaga,California,PB,11.800,3.8,8.000,,,,,1/9/2026,California vs Stanford,3.8,2.2,1.8
5,1,Kiran Mandava,Stanford,PB,12.900,4.8,8.000,,0.1,,,1/9/2026,California vs Stanford,4.8,1.8,2.2
5,2,Arun Chhetri,Stanford,PB,13.550,5.3,8.250,,,,,1/9/2026,California vs Stanford,5.3,1.7,1.8
5,3,Zachary Green,Stanford,PB,12.500,5.1,7.400,,,,,1/9/2026,California vs Stanford,5.1,2.6,2.6
5,4,David Shamah,Stanford,PB,13.750,5.5,8.250,,,,,1/9/2026,California vs Stanford,5.5,1.6,1.9
6,1,Carter Kim,California,HB,13.400,4.5,8.800,,0.1,,,1/9/2026,California vs Stanford,4.5,1.1,1.3
6,2,Troy Nuesca,California,HB,13.200,4.0,9.100,,0.1,,,1/9/2026,California vs Stanford,4.0,0.9,0.9
6,3,Jaxon Mitchell,California,HB,13.000,4.4,8.600,,,,Y,1/9/2026,California vs Stanford,4.4,1.5,1.3
6,4,Matteo Bardana,California,HB,13.550,4.5,8.950,,0.1,,,1/9/2026,California vs Stanford,4.5,1.0,1.1
6,1,Nick Kuebler,Stanford,HB,13.250,5.2,8.050,,,,,1/9/2026,California vs Stanford,5.2,2.1,1.8
6,2,Zachary Green,Stanford,HB,14.100,5.3,8.800,,,,,1/9/2026,California vs Stanford,5.3,1.2,1.2
6,3,Wade Nelson,Stanford,HB,11.100,4.8,6.300,,,,,1/9/2026,California vs Stanford,4.8,3.5,3.9
6,4,Cooper Kim,Stanford,HB,13.600,5.3,8.300,,,,Y,1/9/2026,California vs Stanford,5.3,1.7,1.7
6,5,David Shamah,Stanford,HB,12.700,3.7,9.000,,,,,1/9/2026,California vs Stanford,3.7,1.1,0.9
