Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Safia El Mammann,Arizona State,VT,9.850,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.85,9.85
1,2,Lilia Purler,Arizona State,VT,9.800,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.80,9.80
1,3,Delanie Kelly,Arizona State,VT,9.775,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.80,9.75
1,4,Kylee Bromley,Arizona State,VT,9.750,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.75,9.75
1,5,Kimberly Smith,Arizona State,VT,9.775,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.70,9.85
1,6,Halle Gregoire,Arizona State,VT,9.825,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,10.00,10.00,9.80,9.85
1,7,Robyn Wilson,Arizona State,VT,9.700,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.70,9.70
1,1,Devyn Valuch,San Jose State: SJSU,VT,9.800,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.80,9.80
1,2,Samantha Macasu,San Jose State: SJSU,VT,9.800,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.85,9.75
1,3,Ava Johnson,San Jose State: SJSU,VT,9.725,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.65,9.80
1,4,Kaviana Jurries,San Jose State: SJSU,VT,9.725,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.70,9.75
1,5,Sophie Patterson,San Jose State: SJSU,VT,9.875,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.85,9.90
1,6,Mikaela Pitts,San Jose State: SJSU,VT,9.925,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,10.00,10.00,9.90,9.95
1,7,Marissa Ashton,San Jose State: SJSU,VT,9.600,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.50,9.70
1,1,Molly Osborne,UC Davis,VT,9.600,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.90,9.90,9.60,9.60
1,2,Chloe Gann,UC Davis,VT,9.025,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.05,9.00
1,3,Sierra Muns,UC Davis,VT,9.725,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.70,9.75
1,4,Avah Reichow,UC Davis,VT,9.800,,,,,,,1/11/2026,Arizona State / San Jose State / UC Davis,9.95,9.95,9.80,9.80
