Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Zyia Coleman,Fisk: Bulldog Invitational,VT,9.225,,,,,,,1/11/2026,Bulldog Invitational 2026,9.75,9.75,9.25,9.20
1,2,Ciniah Rosby,Fisk: Bulldog Invitational,VT,9.350,,,,,,,1/11/2026,Bulldog Invitational 2026,9.75,9.75,9.30,9.40
1,3,Kennedi Johnson,Fisk: Bulldog Invitational,VT,8.550,,,,,,,1/11/2026,Bulldog Invitational 2026,9.95,9.95,8.25,8.85
1,4,Aliyah Reed-Hammon,Fisk: Bulldog Invitational,VT,9.500,,,,,,,1/11/2026,Bulldog Invitational 2026,9.95,9.95,9.50,9.50
1,5,Makia Rosado,Fisk: Bulldog Invitational,VT,9.400,,,,,,,1/11/2026,Bulldog Invitational 2026,9.95,9.95,9.35,9.45
1,6,Allie Berkley,Fisk: Bulldog Invitational,VT,9.550,,,,,,,1/11/2026,Bulldog Invitational 2026,9.95,9.95,9.55,9.55
1,1,Peyton Burford,Centenary: Bulldog Invitational,VT,9.400,,,,,,,1/11/2026,Bulldog Invitational 2026,9.75,9.75,9.45,9.35
1,2,Claire Flores,Centenary: Bulldog Invitational,VT,9.375,,,,,,,1/11/2026,Bulldog Invitational 2026,9.75,9.75,9.30,9.45
1,3,Anna Ichiba,Centenary: Bulldog Invitational,VT,9.225,,,,,,,1/11/2026,Bulldog Invitational 2026,9.60,9.75,9.05,9.40
1,4,Olivia Montgomery,Centenary: Bulldog Invitational,VT,9.025,,,,,,,1/11/2026,Bulldog Invitational 2026,9.80,9.80,9.15,8.90
1,5,Nyah Washington,Centenary: Bulldog Invitational,VT,9.350,,,,,,,1/11/2026,Bulldog Invitational 2026,9.90,9.90,9.35,9.35
1,6,Amy Foret,Centenary: Bulldog Invitational,VT,9.525,,,,,,,1/11/2026,Bulldog Invitational 2026,9.90,9.90,9.50,9.55
1,1,Mikayla Clements,Wilberforce: Bulldog Invitational,VT,8.950,,,,,,,1/11/2026,Bulldog Invitational 2026,9.50,9.50,9.00,8.90
1,2,Hannah Gouldbourne,Wilberforce: Bulldog Invitational,VT,9.200,,,,,,,1/11/2026,Bulldog Invitational 2026,9.60,9.75,9.20,9.20
1,3,Diamond Cook,Wilberforce: Bulldog Invitational,VT,9.075,,,,,,,1/11/2026,Bulldog Invitational 2026,9.75,9.50,9.10,9.05
