Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Keira Thornton,Bowling Green,VT,9.625,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.60,9.65
1,2,Emily Gianfrancesco,Bowling Green,VT,9.625,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.70,9.55
1,3,Madison Coburn,Bowling Green,VT,9.700,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.70,9.70
1,4,Megan Dzialo,Bowling Green,VT,9.650,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.65,9.65
1,5,Charniya Brown,Bowling Green,VT,8.850,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,8.65,9.05
1,6,Addie Tandeski,Bowling Green,VT,9.400,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.75,9.75,9.55,9.25
1,7,Taylor Wurtz,Bowling Green,VT,8.875,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.00,8.75
1,1,Abby Brushwood,Eastern Michigan,VT,9.700,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.70,9.70
1,2,Kyrie Lowe,Eastern Michigan,VT,9.750,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.75,9.75
1,3,Gwendelyn Cantu,Eastern Michigan,VT,9.775,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.80,9.75
1,4,Savanna Dunwoody,Eastern Michigan,VT,9.725,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.75,9.70
1,5,Kendall Landry,Eastern Michigan,VT,9.725,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.70,9.75
1,6,Georgia Slack,Eastern Michigan,VT,9.650,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.70,9.60
1,7,Jaelyn Stetz,Eastern Michigan,VT,9.475,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.95,9.95,9.50,9.45
2,1,Megan Dzialo,Bowling Green,UB,8.750,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,9.70,8.80,8.70,8.80
2,2,Natasha Lopez,Bowling Green,UB,9.575,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,10.00,10.00,9.60,9.55
2,3,Addie Tandeski,Bowling Green,UB,9.550,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,10.00,10.00,9.50,9.60
2,4,Kayla Shaw,Bowling Green,UB,9.675,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,10.00,10.00,9.75,9.60
2,5,Keira Thornton,Bowling Green,UB,9.550,,,,,,,1/11/2026,Bowling Green vs Eastern Michigan,10.00,10.00,9.50,9.60
