Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Amanda Hargraves,Denver,VT,9.725,,,,,,Y,1/11/2026,Denver vs Stanford,9.95,9.95,9.70,9.75
1,2,Sevana Kasparian,Denver,VT,9.800,,,,,,,1/11/2026,Denver vs Stanford,9.95,9.95,9.80,9.80
1,3,Cecilia Cooley,Denver,VT,9.725,,,,,,,1/11/2026,Denver vs Stanford,9.95,9.95,9.70,9.75
1,4,Maddison Reidenbach,Denver,VT,9.800,,,,,,,1/11/2026,Denver vs Stanford,9.95,9.95,9.80,9.80
1,5,Mila Brusch,Denver,VT,9.850,,,,,,,1/11/2026,Denver vs Stanford,9.95,9.95,9.85,9.85
1,6,Shyla Bhatia,Denver,VT,9.925,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.90,9.95
1,7,Terra Rutter,Denver,VT,9.700,,,,,,,1/11/2026,Denver vs Stanford,9.95,9.95,9.65,9.75
1,8,Addie Hewitt,Denver,VT,9.775,,,,,,,1/11/2026,Denver vs Stanford,9.95,9.95,9.80,9.75
1,1,Alana Walker,Stanford,VT,9.725,,,,,,,1/11/2026,Denver vs Stanford,9.95,9.95,9.70,9.75
1,2,Ana Barbosu,Stanford,VT,9.800,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.85,9.75
1,3,Summer Gronski,Stanford,VT,6.300,,,,,,,1/11/2026,Denver vs Stanford,8.80,8.80,5.80,6.80
1,4,Ui Soma,Stanford,VT,9.800,,,,,,,1/11/2026,Denver vs Stanford,9.95,9.95,9.80,9.80
1,5,Taralyn Nguyen,Stanford,VT,9.900,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.90,9.90
1,6,Anna Roberts,Stanford,VT,9.775,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.80,9.75
2,1,Shyla Bhatia,Denver,UB,9.800,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.80,9.80
2,2,Kaitlynd Kastl,Denver,UB,9.800,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.80,9.80
2,3,Mila Brusch,Denver,UB,9.850,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.85,9.85
2,4,Cecilia Cooley,Denver,UB,9.175,,,,,,,1/11/2026,Denver vs Stanford,9.90,9.90,9.20,9.15
2,5,Maddison Reidenbach,Denver,UB,9.800,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.80,9.80
2,6,Sophia Hampp,Denver,UB,9.750,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.75,9.75
2,1,Levi Jung-Ruivivar,Stanford,UB,9.875,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.85,9.90
2,2,Ava Sorrento,Stanford,UB,9.725,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.80,9.65
2,3,Sienna Robinson,Stanford,UB,9.725,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.70,9.75
2,4,Anna Roberts,Stanford,UB,9.800,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.85,9.75
2,5,Ana Barbosu,Stanford,UB,9.825,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.85,9.80
2,6,Ui Soma,Stanford,UB,9.825,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.80,9.85
2,7,Maeya Sagna,Stanford,UB,8.925,,,,,,,1/11/2026,Denver vs Stanford,9.70,9.70,8.85,9.00
3,1,Terra Rutter,Denver,BB,9.825,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.75,9.90
3,2,Ashley Gallen,Denver,BB,9.625,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.70,9.55
3,3,Maddison Reidenbach,Denver,BB,9.800,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.85,9.75
3,4,Amanda Hargraves,Denver,BB,9.800,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.80,9.80
3,5,Cecilia Cooley,Denver,BB,9.825,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.80,9.85
3,6,Sevana Kasparian,Denver,BB,9.800,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.85,9.75
3,7,Shyla Bhatia,Denver,BB,9.800,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.75,9.85
3,8,Sophia Hampp,Denver,BB,8.400,,,,,,,1/11/2026,Denver vs Stanford,9.40,9.40,8.65,8.15
3,1,Claire Dean,Stanford,BB,9.800,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.80,9.80
3,2,Levi Jung-Ruivivar,Stanford,BB,9.725,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.70,9.75
3,3,Sienna Robinson,Stanford,BB,9.925,,,,,,,1/11/2026,Denver vs Stanford,10.00,10.00,9.95,9.90
