Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Jordan Loock,TWU,VT,9.700,,,,,,,1/16/2026,TWU / Denver / Arizona,10.00,10.00,9.65,9.75
1,2,Sophie Hernandez,TWU,VT,9.675,,,,,,Y,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.70,9.65
1,3,Kyleigh Ghanbari,TWU,VT,9.700,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.70,9.70
1,4,Maddy Murphy,TWU,VT,9.725,,,,,,,1/16/2026,TWU / Denver / Arizona,10.00,10.00,9.75,9.70
1,5,Alaina Reid,TWU,VT,9.725,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.70,9.75
1,6,Sophia Isbell,TWU,VT,9.825,,,,,,,1/16/2026,TWU / Denver / Arizona,10.00,10.00,9.80,9.85
1,7,Juliaunna Baker,TWU,VT,9.650,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.65,9.65
1,1,Amanda Hargraves,Denver,VT,9.775,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.70,9.85
1,2,Addie Hewitt,Denver,VT,9.550,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.55,9.55
1,3,Cecilia Cooley,Denver,VT,9.675,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.65,9.70
1,4,Maddison Reidenbach,Denver,VT,9.850,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.85,9.85
1,5,Shyla Bhatia,Denver,VT,9.825,,,,,,,1/16/2026,TWU / Denver / Arizona,10.00,10.00,9.80,9.85
1,6,Sevana Kasparian,Denver,VT,9.750,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.75,9.75
1,7,Terra Rutter,Denver,VT,9.575,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.50,9.65
1,1,Elizabeth LaRusso,Arizona,VT,9.725,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.70,9.75
1,2,Abigayle Martin,Arizona,VT,9.825,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.75,9.90
1,3,Sophie Derr,Arizona,VT,9.725,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.75,9.70
1,4,Emma Strom,Arizona,VT,9.800,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.80,9.80
1,5,Ainsley Greever,Arizona,VT,9.500,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.40,9.60
1,6,Jessa Janicke,Arizona,VT,9.825,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.85,9.80
1,7,Hillary Puleo,Arizona,VT,9.675,,,,,,,1/16/2026,TWU / Denver / Arizona,9.95,9.95,9.60,9.75
1,8,Sophia Stephens,Arizona,VT,9.475,,,,,,,1/16/2026,TWU / Denver / Arizona,9.75,9.75,9.45,9.50
2,1,Bailey Bourgeois,TWU,UB,9.650,,,,,,,1/16/2026,TWU / Denver / Arizona,10.00,10.00,9.55,9.75
2,2,Kami Zarlengo,TWU,UB,9.775,,,,,,,1/16/2026,TWU / Denver / Arizona,10.00,10.00,9.70,9.85
2,3,Juliaunna Baker,TWU,UB,8.925,,,,,,,1/16/2026,TWU / Denver / Arizona,9.70,9.70,8.95,8.90
2,4,Alaina Reid,TWU,UB,9.800,,,,,,,1/16/2026,TWU / Denver / Arizona,10.00,10.00,9.80,9.80
2,5,Brooke Ferrari,TWU,UB,9.775,,,,,,,1/16/2026,TWU / Denver / Arizona,10.00,10.00,9.80,9.75
2,6,Caroline Bowns,TWU,UB,9.825,,,,,,,1/16/2026,TWU / Denver / Arizona,10.00,10.00,9.80,9.85
2,7,Jordan Loock,TWU,UB,9.650,,,,,,,1/16/2026,TWU / Denver / Arizona,10.00,10.00,9.60,9.70
