Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Josephine Kogler,Maryland,VT,9.800,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.80,9.80
1,2,Rayna Engelmayer,Maryland,VT,9.825,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.85,9.80
1,3,Aine Reade,Maryland,VT,9.800,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.85,9.75
1,4,Taylor Rech,Maryland,VT,9.825,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.80,9.85
1,5,Logan Buckmon,Maryland,VT,9.750,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.75,9.75
1,6,Katrina Mendez-Abolnik,Maryland,VT,9.850,,,,,,,1/17/2026,Maryland vs Washington,10.00,10.00,9.90,9.80
1,7,Madeline Komoroski,Maryland,VT,9.625,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.60,9.65
1,8,Sydney Mullen,Maryland,VT,9.425,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.40,9.45
1,1,Caitlin McWilliams,Washington,VT,9.725,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.65,9.80
1,2,Lilly Tubbs,Washington,VT,9.525,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.55,9.50
1,3,Kristin Lin,Washington,VT,9.650,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.60,9.70
1,4,Jessica Schaffer,Washington,VT,9.800,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.80,9.80
1,5,Kira Bolden,Washington,VT,9.800,,,,,,,1/17/2026,Maryland vs Washington,9.95,9.95,9.80,9.80
1,6,Mary McDonough,Washington,VT,8.400,,,,,,,1/17/2026,Maryland vs Washington,9.80,9.80,8.60,8.20
2,1,Sarah Saville,Maryland,UB,9.700,,,,,,,1/17/2026,Maryland vs Washington,10.00,10.00,9.75,9.65
