Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lisa Chevaire,Rutgers,VT,9.575,,,,,,,1/17/2026,Rutgers vs Ohio State,9.95,9.95,9.65,9.50
1,2,Valentina Lorente-Garcia,Rutgers,VT,9.675,,,,,,,1/17/2026,Rutgers vs Ohio State,9.95,9.95,9.75,9.60
1,3,Vivienne Larsen,Rutgers,VT,9.700,,,,,,,1/17/2026,Rutgers vs Ohio State,9.95,9.95,9.65,9.75
1,4,Elliot Goldsmith,Rutgers,VT,9.725,,,,,,,1/17/2026,Rutgers vs Ohio State,9.95,9.95,9.80,9.65
1,5,Rachael Riley,Rutgers,VT,9.800,,,,,,,1/17/2026,Rutgers vs Ohio State,10.00,10.00,9.80,9.80
1,6,Gabrielle Dildy,Rutgers,VT,9.750,,,,,,,1/17/2026,Rutgers vs Ohio State,9.95,9.95,9.75,9.75
1,7,Kimmi Shiau,Rutgers,VT,9.650,,,,,,,1/17/2026,Rutgers vs Ohio State,9.95,9.95,9.65,9.65
1,1,Kaitlyn Grimes,Ohio State,VT,9.750,,,,,,,1/17/2026,Rutgers vs Ohio State,9.95,9.95,9.75,9.75
1,2,Jaylyn Pomager,Ohio State,VT,9.800,,,,,,,1/17/2026,Rutgers vs Ohio State,9.95,9.95,9.85,9.75
1,3,Cameron Smith,Ohio State,VT,9.725,,,,,,,1/17/2026,Rutgers vs Ohio State,10.00,10.00,9.75,9.70
1,4,Natalie Martin,Ohio State,VT,9.775,,,,,,,1/17/2026,Rutgers vs Ohio State,10.00,10.00,9.80,9.75
1,5,JJ Coleman,Ohio State,VT,9.800,,,,,,,1/17/2026,Rutgers vs Ohio State,10.00,10.00,9.80,9.80
1,6,Tory Vetter,Ohio State,VT,9.850,,,,,,,1/17/2026,Rutgers vs Ohio State,9.95,9.95,9.80,9.90
1,7,Mary Green,Ohio State,VT,9.750,,,,,,,1/17/2026,Rutgers vs Ohio State,9.95,9.95,9.80,9.70
2,1,Campbell Earley,Rutgers,UB,9.750,,,,,,,1/17/2026,Rutgers vs Ohio State,10.00,10.00,9.75,9.75
2,2,Matis Rains,Rutgers,UB,9.675,,,,,,,1/17/2026,Rutgers vs Ohio State,10.00,10.00,9.60,9.75
2,3,Ginger Richards,Rutgers,UB,9.700,,,,,,,1/17/2026,Rutgers vs Ohio State,10.00,10.00,9.65,9.75
