Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Rachel Welch,Simpson,VT,9.450,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.75,9.75,9.35,9.55
1,2,Kendall Pinkelman,Simpson,VT,9.425,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.90,9.90,9.40,9.45
1,3,Olivia Hedary,Simpson,VT,9.550,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.95,9.95,9.60,9.50
1,4,Emma Charles,Simpson,VT,9.525,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.95,9.95,9.50,9.55
1,5,Emmie Barton,Simpson,VT,9.700,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.95,9.95,9.65,9.75
1,6,Kaelyn Tally,Simpson,VT,9.725,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.95,9.95,9.75,9.70
1,7,Bella Dix,Simpson,VT,9.500,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.90,9.90,9.55,9.45
1,8,Nicola Catchpole,Simpson,VT,8.800,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.80,9.80,8.80,8.80
1,1,Danielle Dudziak,UW-Whitewater,VT,9.550,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.90,9.90,9.65,9.45
1,2,Brianna Balian,UW-Whitewater,VT,9.650,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.95,9.95,9.60,9.70
1,3,Kaleigh Summers,UW-Whitewater,VT,9.600,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.95,9.95,9.55,9.65
1,4,Siena Vavala,UW-Whitewater,VT,9.675,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.90,9.90,9.70,9.65
1,5,Carleigh Moore,UW-Whitewater,VT,9.700,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.95,9.95,9.70,9.70
1,6,Juliette Rider,UW-Whitewater,VT,9.175,,,,,,,1/17/2026,Simpson vs UW-Whitewater,10.00,10.00,9.20,9.15
1,7,Maliyah Pound,UW-Whitewater,VT,9.525,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.80,9.80,9.55,9.50
1,8,Lindsey Hollifield,UW-Whitewater,VT,9.525,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.80,9.80,9.55,9.50
2,1,Avril Crespin,Simpson,UB,8.900,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.60,9.60,8.90,8.90
2,2,Olivia Hedary,Simpson,UB,8.775,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.80,9.80,8.80,8.75
2,3,Izzy Brown,Simpson,UB,8.725,,,,,,,1/17/2026,Simpson vs UW-Whitewater,10.00,9.90,8.75,8.70
2,4,Emma Charles,Simpson,UB,9.225,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.80,9.80,9.20,9.25
2,5,Evalyn Resnick,Simpson,UB,9.500,,,,,,,1/17/2026,Simpson vs UW-Whitewater,10.00,10.00,9.55,9.45
2,6,Liz Sisler,Simpson,UB,9.250,,,,,,,1/17/2026,Simpson vs UW-Whitewater,10.00,10.00,9.40,9.10
2,7,Kendall Pinkelman,Simpson,UB,8.850,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.80,9.80,9.00,8.70
2,8,Alexa Denton,Simpson,UB,9.400,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.90,9.90,9.35,9.45
2,1,Gracie Talley,UW-Whitewater,UB,8.750,,,,,,,1/17/2026,Simpson vs UW-Whitewater,9.90,9.80,8.80,8.70
