Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Tiana Sumanasekera,UCLA,VT,9.800,,,,,,,1/17/2026,UCLA vs Nebraska,9.95,9.95,9.80,9.80
1,2,Madisyn Anyimi,UCLA,VT,9.750,,,,,,,1/17/2026,UCLA vs Nebraska,9.95,9.95,9.75,9.75
1,3,Katelyn Rosen,UCLA,VT,9.800,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.80,9.80
1,4,Riley Jenkins,UCLA,VT,9.725,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.70,9.75
1,5,Ashlee Sullivan,UCLA,VT,9.900,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.90,9.90
1,6,Jordan Chiles,UCLA,VT,10.000,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,10.00,10.00
1,7,Jordis Eichman,UCLA,VT,9.800,,,,,,,1/17/2026,UCLA vs Nebraska,9.95,9.95,9.80,9.80
1,1,Karys Griffin,Nebraska,VT,9.675,,,,,,,1/17/2026,UCLA vs Nebraska,9.95,9.95,9.65,9.70
1,2,Payton Pech,Nebraska,VT,9.750,,,,,,,1/17/2026,UCLA vs Nebraska,9.95,9.95,9.75,9.75
1,3,Whitney Jencks,Nebraska,VT,9.675,,,,,,,1/17/2026,UCLA vs Nebraska,9.95,9.95,9.70,9.65
1,4,Reese Baechle,Nebraska,VT,9.800,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.80,9.80
1,5,Tegan Shaver,Nebraska,VT,9.750,,,,,,,1/17/2026,UCLA vs Nebraska,9.95,9.95,9.75,9.75
1,6,Isabel Sikon,Nebraska,VT,9.700,,,,,,,1/17/2026,UCLA vs Nebraska,9.95,9.95,9.70,9.70
1,7,Katelyn Barth,Nebraska,VT,9.625,,,,,,,1/17/2026,UCLA vs Nebraska,9.95,9.95,9.65,9.60
2,1,Katelyn Rosen,UCLA,UB,9.850,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.85
2,2,Tiana Sumanasekera,UCLA,UB,9.825,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.80,9.85
2,3,Mika Webster-Longin,UCLA,UB,9.850,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.85
2,4,Nola Matthews,UCLA,UB,9.825,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.80,9.85
2,5,Ashlee Sullivan,UCLA,UB,9.900,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.90,9.90
2,6,Jordan Chiles,UCLA,UB,9.900,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.95
2,7,Sydney Barros,UCLA,UB,9.800,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.75,9.85
2,8,Madisyn Anyimi,UCLA,UB,8.500,,,,,,,1/17/2026,UCLA vs Nebraska,9.40,9.40,8.40,8.60
2,1,Olivia Burns,Nebraska,UB,9.750,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.80,9.70
2,2,Karys Griffin,Nebraska,UB,9.600,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.50,9.70
2,3,Isabel Sikon,Nebraska,UB,9.800,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.75
2,4,Nya Kraus,Nebraska,UB,9.775,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.80,9.75
2,5,Molly Peterson,Nebraska,UB,9.875,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.90
2,6,Whitney Jencks,Nebraska,UB,9.850,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.85
2,7,Emalee Frost,Nebraska,UB,8.150,,,,,,,1/17/2026,UCLA vs Nebraska,9.00,9.20,8.10,8.20
3,1,Katelyn Rosen,UCLA,BB,9.900,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.95,9.85
3,2,Nola Matthews,UCLA,BB,9.775,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.75,9.80
3,3,Tiana Sumanasekera,UCLA,BB,9.900,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.90,9.90
3,4,Mika Webster-Longin,UCLA,BB,9.875,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.90
3,5,Jordan Chiles,UCLA,BB,9.975,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,10.00,9.95
3,6,Ciena Alipio,UCLA,BB,9.975,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.95,10.00
3,7,Jordis Eichman,UCLA,BB,9.075,,,,,,,1/17/2026,UCLA vs Nebraska,9.80,9.80,9.05,9.10
3,8,Carissa Clay,UCLA,BB,9.825,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.80
3,1,Whitney Jencks,Nebraska,BB,9.725,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.75,9.70
3,2,Lauren Homecillo,Nebraska,BB,9.825,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.80,9.85
3,3,Allie Gard,Nebraska,BB,9.750,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.80,9.70
3,4,Nya Kraus,Nebraska,BB,9.825,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.80,9.85
3,5,Olivia Burns,Nebraska,BB,9.075,,,,,,,1/17/2026,UCLA vs Nebraska,9.80,9.80,9.05,9.10
3,6,Isabel Sikon,Nebraska,BB,9.775,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.80,9.75
3,7,Karys Griffin,Nebraska,BB,9.750,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.75,9.75
3,8,Katelyn Barth,Nebraska,BB,8.975,,,,,,,1/17/2026,UCLA vs Nebraska,9.70,9.70,9.00,8.95
4,1,Katelyn Rosen,UCLA,FX,9.625,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.55,9.70
4,2,Mika Webster-Longin,UCLA,FX,9.700,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.75,9.65
4,3,Ciena Alipio,UCLA,FX,9.875,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.90
4,4,Tiana Sumanasekera,UCLA,FX,9.875,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.90
4,5,Ashlee Sullivan,UCLA,FX,9.875,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.90,9.85
4,6,Jordan Chiles,UCLA,FX,9.800,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.75,9.85
4,7,Sydney Barros,UCLA,FX,9.450,,,0.1,,,,1/17/2026,UCLA vs Nebraska,9.90,10.00,9.50,9.60
4,8,Nola Matthews,UCLA,FX,9.850,,,,,,Y,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.90,9.80
4,1,Allie Gard,Nebraska,FX,9.700,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.60,9.80
4,2,Nya Kraus,Nebraska,FX,9.650,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.65,9.65
4,3,Reese Baechle,Nebraska,FX,9.650,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.70,9.60
4,4,Isabel Sikon,Nebraska,FX,9.725,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.70,9.75
4,5,Whitney Jencks,Nebraska,FX,9.700,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.65,9.75
4,6,Lauren Homecillo,Nebraska,FX,9.850,,,,,,,1/17/2026,UCLA vs Nebraska,10.00,10.00,9.85,9.85
