Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lily Aucoin,Yale,VT,9.550,,,,,,,1/18/2026,Yale vs Brown,9.95,9.95,9.65,9.45
1,2,Annie Bilbe,Yale,VT,9.625,,,,,,,1/18/2026,Yale vs Brown,9.90,9.90,9.65,9.60
1,3,Ella Tashjian,Yale,VT,9.775,,,,,,,1/18/2026,Yale vs Brown,9.95,9.95,9.75,9.80
1,4,Gigi Sabatini,Yale,VT,9.750,,,,,,,1/18/2026,Yale vs Brown,9.95,9.95,9.75,9.75
1,5,Lauren Burt,Yale,VT,9.750,,,,,,,1/18/2026,Yale vs Brown,9.95,9.95,9.80,9.70
1,6,Meredith Donovan,Yale,VT,9.650,,,,,,,1/18/2026,Yale vs Brown,9.95,9.95,9.55,9.75
1,7,Ashley Stafford,Yale,VT,9.750,,,,,,,1/18/2026,Yale vs Brown,9.95,9.95,9.75,9.75
1,8,Ella Hargreaves,Yale,VT,9.650,,,,,,,1/18/2026,Yale vs Brown,9.95,9.95,9.60,9.70
1,1,Lindsey Yang,Brown,VT,9.525,,,,,,,1/18/2026,Yale vs Brown,9.75,9.75,9.55,9.50
1,2,Gabby Mautner,Brown,VT,9.525,,,,,,,1/18/2026,Yale vs Brown,9.90,9.90,9.55,9.50
1,3,Emily Ford,Brown,VT,9.725,,,,,,,1/18/2026,Yale vs Brown,9.90,9.90,9.75,9.70
1,4,Lulu Ton-That,Brown,VT,9.625,,,,,,,1/18/2026,Yale vs Brown,9.95,9.95,9.65,9.60
1,5,Sophia Dewar,Brown,VT,9.750,,,,,,,1/18/2026,Yale vs Brown,9.95,9.95,9.70,9.80
1,6,Umi El Mammann,Brown,VT,9.675,,,,,,,1/18/2026,Yale vs Brown,9.95,9.95,9.75,9.60
2,1,Lauren Holt,Yale,UB,9.700,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.70,9.70
2,2,Gigi Sabatini,Yale,UB,9.625,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.65,9.60
2,3,Lily Aucoin,Yale,UB,9.725,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.80,9.65
2,4,Charlotte Zaun,Yale,UB,9.800,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.85,9.75
2,5,Ellie Kearns,Yale,UB,9.875,,,,,,Y,1/18/2026,Yale vs Brown,10.00,10.00,9.90,9.85
2,6,Chloe DeJoy,Yale,UB,9.750,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.80,9.70
2,7,Allie Forbes,Yale,UB,9.125,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.20,9.05
2,1,Addy Whiteside,Brown,UB,9.525,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.60,9.45
2,2,Lulu Ton-That,Brown,UB,9.675,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.60,9.75
2,3,Sophia Dewar,Brown,UB,7.650,,,,,,,1/18/2026,Yale vs Brown,9.40,9.40,7.70,7.60
2,4,Emily Ford,Brown,UB,9.650,,,,,,,1/18/2026,Yale vs Brown,9.90,9.90,9.65,9.65
2,5,Liza Marcus,Brown,UB,9.750,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.75,9.75
2,6,Sophie Tressler,Brown,UB,9.700,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.80,9.60
3,1,Hailey Kriz,Yale,BB,9.650,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.65,9.65
3,2,Gigi Sabatini,Yale,BB,9.125,,,,,,,1/18/2026,Yale vs Brown,9.90,9.90,9.15,9.10
3,3,Ellie Kearns,Yale,BB,9.675,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.75,9.60
3,4,Megan Brueck,Yale,BB,8.675,,,,,,,1/18/2026,Yale vs Brown,9.70,9.70,8.55,8.80
3,5,Allie Forbes,Yale,BB,9.775,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.80,9.75
3,6,Hana Strause,Yale,BB,9.775,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.75,9.80
3,7,Charlotte Zaun,Yale,BB,9.475,,,,,,,1/18/2026,Yale vs Brown,9.90,9.90,9.50,9.45
3,8,Annie Bilbe,Yale,BB,8.475,,,,,,,1/18/2026,Yale vs Brown,9.50,9.80,8.50,8.45
3,1,Lindsay Van Eyk,Brown,BB,9.725,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.65,9.80
3,2,Addy Whiteside,Brown,BB,9.550,,,,,,,1/18/2026,Yale vs Brown,9.80,9.80,9.60,9.50
3,3,Emily Ford,Brown,BB,9.775,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.80,9.75
3,4,Liza Marcus,Brown,BB,9.575,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.50,9.65
3,5,Lindsey Yang,Brown,BB,9.925,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.90,9.95
3,6,Rehna Saalinger,Brown,BB,9.750,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.80,9.70
3,7,Gabby Mautner,Brown,BB,9.575,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.55,9.60
3,8,Daisy Fallon,Brown,BB,9.525,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.50,9.55
4,1,Hana Strause,Yale,FX,9.800,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.80,9.80
4,2,Gigi Sabatini,Yale,FX,9.775,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.70,9.85
4,3,Megan Brueck,Yale,FX,9.575,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.60,9.55
4,4,Chloe DeJoy,Yale,FX,9.700,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.75,9.65
4,5,Annie Bilbe,Yale,FX,9.825,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.80,9.85
4,6,Ella Tashjian,Yale,FX,9.775,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.75,9.80
4,7,Lauren Burt,Yale,FX,9.725,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.75,9.70
4,8,Ellie Kearns,Yale,FX,9.775,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.75,9.80
4,1,Lindsay Van Eyk,Brown,FX,9.775,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.75,9.80
4,2,Maeve McIlroy,Brown,FX,9.700,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.65,9.75
4,3,Daisy Fallon,Brown,FX,9.700,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.70,9.70
4,4,Liza Marcus,Brown,FX,9.750,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.75,9.75
4,5,Sophia Dewar,Brown,FX,9.850,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.80,9.90
4,6,Lindsey Yang,Brown,FX,9.875,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.85,9.90
4,7,Addy Whiteside,Brown,FX,9.775,,,,,,,1/18/2026,Yale vs Brown,10.00,10.00,9.75,9.80
