Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Aspen Tucker,GW,VT,9.700,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.90,9.90,9.70,9.70
1,2,Zoe Safran,GW,VT,9.750,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.75,9.75
1,3,Alexia Zakaryan,GW,VT,9.625,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.60,9.65
1,4,Lola Montevago,GW,VT,9.750,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.75,9.75
1,5,Alison Mun,GW,VT,9.675,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.70,9.65
1,6,Deana Sheremeta,GW,VT,9.525,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.75,9.75,9.45,9.60
1,1,Addy Rothstein,Cornell,VT,9.700,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.75,9.65
1,2,Noelle Wojcik,Cornell,VT,9.650,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.90,9.90,9.60,9.70
1,3,Grace McLean,Cornell,VT,9.675,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.70,9.65
1,4,Dahlia Jhaveri,Cornell,VT,9.625,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.70,9.55
1,5,Cami Whitaker,Cornell,VT,9.700,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.75,9.65
1,6,Sarah Goetter,Cornell,VT,9.675,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.70,9.65
1,7,Macy Armstrong,Cornell,VT,9.575,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.90,9.90,9.65,9.50
1,1,Marissa Lassiter,Penn,VT,9.750,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.75,9.75
1,2,Ananya Patanaku,Penn,VT,9.775,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.75,9.80
1,3,Sienna Zuccaro,Penn,VT,9.800,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.80,9.80
1,4,Alisha Werlen,Penn,VT,9.625,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.65,9.60
1,5,Manama Fofana,Penn,VT,9.700,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.65,9.75
1,6,Jordan Barrow,Penn,VT,9.700,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.75,9.65
1,7,Maggie Murphy,Penn,VT,9.650,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.65,9.65
1,1,Katelynne Tatum,West Chester,VT,9.500,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.75,9.75,9.55,9.45
1,2,Karah Vargo,West Chester,VT,9.525,,,,,,Y,1/18/2026,GW / Cornell / Penn / West Chester,9.90,9.90,9.55,9.50
1,3,Ava Griffith,West Chester,VT,9.650,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.90,9.90,9.70,9.60
1,4,Alyson Sobczak,West Chester,VT,9.550,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.90,9.90,9.65,9.45
1,5,Gianna Smith,West Chester,VT,9.600,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.80,9.80,9.60,9.60
1,6,Sarah Eskew,West Chester,VT,9.675,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.95,9.95,9.75,9.60
2,1,Deana Sheremeta,GW,UB,9.650,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.60,9.70
2,2,Alexia Zakaryan,GW,UB,9.700,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.75,9.65
2,3,Aspen Tucker,GW,UB,8.550,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,8.40,8.70
2,4,Zoe Safran,GW,UB,9.650,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.65,9.65
2,5,Maya Peters,GW,UB,8.700,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.90,9.90,8.60,8.80
2,6,Lola Montevago,GW,UB,8.850,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.80,9.80,8.70,9.00
2,1,Sarah Goetter,Cornell,UB,9.500,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.90,9.90,9.45,9.55
2,2,Josie Moylan,Cornell,UB,9.450,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.90,9.90,9.50,9.40
2,3,Natalia Tehrani,Cornell,UB,8.650,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.40,9.40,8.80,8.50
2,4,Addy Rothstein,Cornell,UB,8.825,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,9.70,9.70,8.90,8.75
2,5,Morgen Shambo,Cornell,UB,9.700,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.70,9.70
2,6,Dahlia Jhaveri,Cornell,UB,9.625,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.60,9.65
2,7,Nora Sherman,Cornell,UB,9.625,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.80,9.45
2,1,Carly Oniki,Penn,UB,9.600,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.60,9.60
2,2,Skylar Goodstadt,Penn,UB,9.650,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.60,9.70
2,3,Ruth Whaley,Penn,UB,9.300,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.20,9.40
2,4,Luci Toczydlowski,Penn,UB,9.750,,,,,,,1/18/2026,GW / Cornell / Penn / West Chester,10.00,10.00,9.80,9.70
