Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Cami Weaver,Arkansas,VT,9.825,,,,,,,1/23/2026,Arkansas vs SEMO,9.95,9.95,9.85,9.80
1,2,Leah Smith,Arkansas,VT,9.875,,,,,,,1/23/2026,Arkansas vs SEMO,9.95,9.95,9.85,9.90
1,3,Allison Cucci,Arkansas,VT,9.875,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.90,9.85
1,4,Hailey Klein,Arkansas,VT,9.825,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.85,9.80
1,5,Lauren Williams,Arkansas,VT,9.875,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.90,9.85
1,6,Morgan Price,Arkansas,VT,9.900,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.95,9.85
1,7,Priscilla Park,Arkansas,VT,9.725,,,,,,,1/23/2026,Arkansas vs SEMO,9.95,9.95,9.70,9.75
1,1,Kailyn Hamilton,SEMO,VT,9.625,,,,,,,1/23/2026,Arkansas vs SEMO,9.90,9.90,9.60,9.65
1,2,Ailey Kuehn,SEMO,VT,9.675,,,,,,,1/23/2026,Arkansas vs SEMO,9.95,9.95,9.75,9.60
1,3,Nyah Reader,SEMO,VT,9.550,,,,,,,1/23/2026,Arkansas vs SEMO,9.95,9.95,9.55,9.55
1,4,Joselene Hernandez,SEMO,VT,9.650,,,,,,,1/23/2026,Arkansas vs SEMO,9.95,9.95,9.70,9.60
1,5,Jaidan Kossuth,SEMO,VT,9.575,,,,,,,1/23/2026,Arkansas vs SEMO,9.95,9.95,9.65,9.50
1,6,Taylor Ingle,SEMO,VT,9.625,,,,,,,1/23/2026,Arkansas vs SEMO,9.95,9.95,9.70,9.55
1,7,Jordan Napolitano,SEMO,VT,9.600,,,,,,,1/23/2026,Arkansas vs SEMO,9.90,9.90,9.60,9.60
2,1,Hailey Klein,Arkansas,UB,9.875,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.90,9.85
2,2,Cally Swaney,Arkansas,UB,9.750,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.75,9.75
2,3,Leah Smith,Arkansas,UB,9.900,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.90,9.90
2,4,Avalon Campbell,Arkansas,UB,9.775,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.85,9.70
2,5,Allison Cucci,Arkansas,UB,9.750,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.80,9.70
2,6,Morgan Price,Arkansas,UB,9.900,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.85,9.95
2,7,Addison Bare,Arkansas,UB,9.775,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.80,9.75
2,1,Joselene Hernandez,SEMO,UB,9.350,,,,,,,1/23/2026,Arkansas vs SEMO,10.00,10.00,9.50,9.20
