Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Tali Flanigan,Temple: Temple / GW / TWU / Penn,VT,9.500,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.55,9.45
1,2,Kyrstin Johnson,Temple: Temple / GW / TWU / Penn,VT,9.525,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.55,9.50
1,3,Brooklyn Thomas,Temple: Temple / GW / TWU / Penn,VT,9.625,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.70,9.55
1,4,Jade Harden,Temple: Temple / GW / TWU / Penn,VT,9.675,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.70,9.65
1,5,Nikki Rengifo,Temple: Temple / GW / TWU / Penn,VT,9.725,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.70,9.75
1,6,Amelia Budd,Temple: Temple / GW / TWU / Penn,VT,9.750,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.80,9.70
1,7,Hailey Best,Temple: Temple / GW / TWU / Penn,VT,9.600,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.65,9.55
1,8,Harmony Haro,Temple: Temple / GW / TWU / Penn,VT,9.500,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.45,9.55
1,1,Aspen Tucker,GW: Temple / GW / TWU / Penn,VT,9.225,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.90,9.90,9.20,9.25
1,2,Zoe Safran,GW: Temple / GW / TWU / Penn,VT,8.750,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,8.75,8.75
1,3,Alexia Zakaryan,GW: Temple / GW / TWU / Penn,VT,9.800,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.80,9.80
1,4,Lola Montevago,GW: Temple / GW / TWU / Penn,VT,9.750,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.70,9.80
1,5,Alison Mun,GW: Temple / GW / TWU / Penn,VT,9.750,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.80,9.70
1,6,Deana Sheremeta,GW: Temple / GW / TWU / Penn,VT,9.525,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.75,9.75,9.55,9.50
1,1,Marissa Lassiter,Penn: Temple / GW / TWU / Penn,VT,9.750,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.70,9.80
1,2,Ananya Patanaku,Penn: Temple / GW / TWU / Penn,VT,9.800,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.80,9.80
1,3,Sienna Zuccaro,Penn: Temple / GW / TWU / Penn,VT,9.675,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.65,9.70
1,4,Alisha Werlen,Penn: Temple / GW / TWU / Penn,VT,9.750,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.70,9.80
1,5,Manama Fofana,Penn: Temple / GW / TWU / Penn,VT,9.800,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.80,9.80
1,6,Jordan Barrow,Penn: Temple / GW / TWU / Penn,VT,9.725,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.70,9.75
1,7,Maggie Murphy,Penn: Temple / GW / TWU / Penn,VT,9.575,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.65,9.50
1,8,Samantha Wu,Penn: Temple / GW / TWU / Penn,VT,9.650,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.90,9.90,9.60,9.70
1,1,Jordan Loock,TWU: Temple / GW / TWU / Penn,VT,9.650,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.70,9.60
1,2,Sophie Hernandez,TWU: Temple / GW / TWU / Penn,VT,9.700,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.60,9.80
1,3,Kyleigh Ghanbari,TWU: Temple / GW / TWU / Penn,VT,9.625,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.65,9.60
1,4,Maddy Murphy,TWU: Temple / GW / TWU / Penn,VT,9.700,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.75,9.65
1,5,Alaina Reid,TWU: Temple / GW / TWU / Penn,VT,9.600,,,,,,,1/23/2026,Temple / GW / Penn / TWU,9.95,9.95,9.65,9.55
1,6,Sophia Isbell,TWU: Temple / GW / TWU / Penn,VT,9.825,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.80,9.85
2,1,Reese DeHaan,Temple: Temple / GW / TWU / Penn,UB,9.775,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.70,9.85
2,2,Ella Beck,Temple: Temple / GW / TWU / Penn,UB,9.625,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.55,9.70
2,3,Megan White,Temple: Temple / GW / TWU / Penn,UB,9.650,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.70,9.60
2,4,Ava Sutphen,Temple: Temple / GW / TWU / Penn,UB,9.675,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.60,9.75
2,5,Robyn Dunne,Temple: Temple / GW / TWU / Penn,UB,9.575,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.50,9.65
2,6,Nazstazia-Simone Henry-Jubitana,Temple: Temple / GW / TWU / Penn,UB,9.700,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.75,9.65
2,7,Mariella Brueck,Temple: Temple / GW / TWU / Penn,UB,9.600,,,,,,Y,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.55,9.65
2,1,Deana Sheremeta,GW: Temple / GW / TWU / Penn,UB,9.775,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.75,9.80
2,2,Alexia Zakaryan,GW: Temple / GW / TWU / Penn,UB,9.450,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.35,9.55
2,3,Aspen Tucker,GW: Temple / GW / TWU / Penn,UB,9.550,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.55,9.55
2,4,Zoe Safran,GW: Temple / GW / TWU / Penn,UB,9.600,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.70,9.50
2,5,Maya Peters,GW: Temple / GW / TWU / Penn,UB,9.825,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.85,9.80
2,6,Lola Montevago,GW: Temple / GW / TWU / Penn,UB,9.725,,,,,,,1/23/2026,Temple / GW / Penn / TWU,10.00,10.00,9.80,9.65
