Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Ashley Savell,Hamline,VT,9.050,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.60,9.60,9.05,9.05
1,2,Sydney Stoenner,Hamline,VT,9.100,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.80,9.80,9.20,9.00
1,3,Cailey Price,Hamline,VT,7.250,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,8.80,8.80,7.20,7.30
1,4,Clara Gilles,Hamline,VT,8.650,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.60,9.60,8.60,8.70
1,5,Laurel Raymond,Hamline,VT,9.125,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.75,9.75,9.00,9.25
1,6,Elena Bailey,Hamline,VT,9.150,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.75,9.75,9.10,9.20
1,7,Riley Hintz,Hamline,VT,8.800,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.80,9.80,8.80,8.80
1,8,Maura Erickson,Hamline,VT,8.725,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.60,9.60,8.60,8.85
1,1,Hanna Riha,UW-Eau Claire,VT,9.275,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.75,9.75,9.25,9.30
1,2,Haley Zampella,UW-Eau Claire,VT,9.450,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.75,9.75,9.45,9.45
1,3,Grace Gerster,UW-Eau Claire,VT,9.300,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.90,9.90,9.30,9.30
1,4,Cadence Cordova,UW-Eau Claire,VT,9.425,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.90,9.90,9.40,9.45
1,5,Abigail Berens,UW-Eau Claire,VT,9.375,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.90,9.90,9.40,9.35
1,6,Anna Preussner,UW-Eau Claire,VT,8.975,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.90,9.90,9.10,8.85
1,7,Amy Fridley,UW-Eau Claire,VT,8.825,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.75,9.75,8.65,9.00
1,8,Ava Obermoller,UW-Eau Claire,VT,9.000,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.75,9.75,8.85,9.15
2,1,Lily Ramsdell,Hamline,UB,8.825,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.70,9.70,8.85,8.80
2,2,Ashley Savell,Hamline,UB,8.750,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.50,9.50,8.70,8.80
2,3,Elena Bailey,Hamline,UB,8.850,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.70,9.70,8.70,9.00
2,4,Annelise Smaby,Hamline,UB,7.850,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.50,9.60,7.95,7.75
2,5,Clara Gilles,Hamline,UB,9.075,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.80,9.80,9.15,9.00
2,6,Carly Banta,Hamline,UB,8.475,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.70,9.70,8.55,8.40
2,7,Avery Hitchcock,Hamline,UB,7.500,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.60,9.20,7.60,7.40
2,8,Caroline Guptill,Hamline,UB,6.975,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,8.30,9.00,6.55,7.40
2,1,Ella Montgomery,UW-Eau Claire,UB,9.375,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.35,9.40
2,2,Ava Obermoller,UW-Eau Claire,UB,9.375,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.45,9.30
2,3,Brooklynn Einck,UW-Eau Claire,UB,9.150,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.30,9.00
2,4,Cadence Cordova,UW-Eau Claire,UB,9.425,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.35,9.50
2,5,Kinley Rose,UW-Eau Claire,UB,9.575,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.55,9.60
2,6,Rachel Hettiarachchy,UW-Eau Claire,UB,8.975,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.15,8.80
2,7,Linnea Vasali,UW-Eau Claire,UB,8.000,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.40,9.40,8.00,8.00
3,1,Lizzie Green,Hamline,BB,9.200,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.35,9.05
3,2,Clara Gilles,Hamline,BB,8.575,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.70,9.70,8.50,8.65
3,3,Kaitlyn Morgan,Hamline,BB,9.050,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.80,9.80,8.95,9.15
3,4,RyLe Foldhazi,Hamline,BB,8.825,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.80,9.80,8.85,8.80
3,5,Jozlynn Jansen,Hamline,BB,8.875,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.90,9.90,8.85,8.90
3,6,Carly Banta,Hamline,BB,8.950,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.90,9.90,8.90,9.00
3,7,Brooke Reardon,Hamline,BB,9.000,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.60,9.60,9.15,8.85
3,8,Ashley Savell,Hamline,BB,9.050,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.80,9.90,8.95,9.15
3,1,Georgia Guynn,UW-Eau Claire,BB,9.375,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.35,9.40
3,2,Grace Gerster,UW-Eau Claire,BB,9.150,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.80,9.80,9.05,9.25
3,3,Linnea Vasali,UW-Eau Claire,BB,9.800,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.70,9.90
3,4,Hareet Gehlon,UW-Eau Claire,BB,9.525,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.60,9.45
3,5,Sky Skipper,UW-Eau Claire,BB,9.525,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.50,9.55
3,6,Meghan Dahlin,UW-Eau Claire,BB,9.675,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.65,9.70
3,7,Jozie Armos,UW-Eau Claire,BB,9.325,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.30,9.35
3,8,Kamryn Andrade,UW-Eau Claire,BB,9.300,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,9.90,9.35,9.25
4,1,Clara Gilles,Hamline,FX,8.325,,,0.1,,,,1/23/2026,Hamline vs UW-Eau Claire,9.80,9.80,8.45,8.40
4,2,Catelyn Zack,Hamline,FX,9.125,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.70,9.80,9.05,9.20
4,3,Sydney Stoenner,Hamline,FX,8.150,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,9.90,9.80,8.10,8.20
4,4,Lizzie Green,Hamline,FX,9.325,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.25,9.40
4,5,Carly Banta,Hamline,FX,9.700,,,,,,,1/23/2026,Hamline vs UW-Eau Claire,10.00,10.00,9.75,9.65
