Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Rachel Welch,Simpson,VT,9.525,,,,,,,1/24/2026,Simpson vs UWL,9.75,9.75,9.50,9.55
1,2,Bella Dix,Simpson,VT,9.425,,,,,,,1/24/2026,Simpson vs UWL,9.90,9.90,9.50,9.35
1,3,Kendall Pinkelman,Simpson,VT,9.525,,,,,,,1/24/2026,Simpson vs UWL,9.90,9.90,9.45,9.60
1,4,Emma Charles,Simpson,VT,8.850,,,,,,,1/24/2026,Simpson vs UWL,9.95,9.95,8.75,8.95
1,5,Emmie Barton,Simpson,VT,9.650,,,,,,,1/24/2026,Simpson vs UWL,9.95,9.95,9.65,9.65
1,6,Kaelyn Tally,Simpson,VT,9.600,,,,,,,1/24/2026,Simpson vs UWL,9.95,9.95,9.60,9.60
1,7,Alexa Denton,Simpson,VT,9.375,,,,,,,1/24/2026,Simpson vs UWL,9.75,9.75,9.35,9.40
1,8,Nicola Catchpole,Simpson,VT,8.700,,,,,,,1/24/2026,Simpson vs UWL,9.80,9.80,8.70,8.70
1,1,Ashley Dalton,UWL,VT,9.600,,,,,,,1/24/2026,Simpson vs UWL,9.95,9.95,9.55,9.65
1,2,Ava Kaspryzcki,UWL,VT,9.500,,,,,,,1/24/2026,Simpson vs UWL,9.95,9.95,9.55,9.45
1,3,Sarah Pastore,UWL,VT,8.850,,,,,,,1/24/2026,Simpson vs UWL,9.95,9.95,8.85,8.85
1,4,Cobi Powell,UWL,VT,9.650,,,,,,,1/24/2026,Simpson vs UWL,9.95,9.95,9.65,9.65
1,5,Grace Kehr,UWL,VT,9.625,,,,,,,1/24/2026,Simpson vs UWL,9.90,9.90,9.60,9.65
1,6,Paige Breckwoldt,UWL,VT,9.750,,,,,,,1/24/2026,Simpson vs UWL,9.95,9.95,9.75,9.75
1,7,Lily Millington,UWL,VT,9.550,,,,,,,1/24/2026,Simpson vs UWL,9.90,9.90,9.50,9.60
1,8,Lainey Vogt,UWL,VT,8.825,,,,,,,1/24/2026,Simpson vs UWL,9.80,9.80,8.95,8.70
2,1,Olivia Hedary,Simpson,UB,8.175,,,,,,,1/24/2026,Simpson vs UWL,9.60,9.60,8.20,8.15
2,2,Alexa Denton,Simpson,UB,8.825,,,,,,,1/24/2026,Simpson vs UWL,9.90,9.90,8.75,8.90
2,3,Izzy Brown,Simpson,UB,8.950,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.00,8.90
2,4,Emma Charles,Simpson,UB,8.550,,,,,,,1/24/2026,Simpson vs UWL,9.60,9.60,8.60,8.50
2,5,Evalyn Resnick,Simpson,UB,9.575,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.50,9.65
2,6,Liz Sisler,Simpson,UB,9.500,,,,,,,1/24/2026,Simpson vs UWL,9.90,9.90,9.60,9.40
2,7,Kendall Pinkelman,Simpson,UB,8.825,,,,,,,1/24/2026,Simpson vs UWL,9.80,9.80,8.75,8.90
2,8,Rebecca Holloway,Simpson,UB,8.875,,,,,,,1/24/2026,Simpson vs UWL,9.80,9.80,8.95,8.80
2,1,Grace Edwards,UWL,UB,9.375,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.45,9.30
2,2,Ava Sitek,UWL,UB,9.550,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.50,9.60
2,3,Azia Hawkins,UWL,UB,9.325,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.35,9.30
2,4,Lauren Main,UWL,UB,9.575,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.60,9.55
2,5,Claire Robbins,UWL,UB,9.775,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.80,9.75
2,6,Madalyn McCormick,UWL,UB,9.725,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.75,9.70
2,7,Morgan Engels,UWL,UB,9.125,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.15,9.10
2,8,Raina Christenson,UWL,UB,8.825,,,,,,,1/24/2026,Simpson vs UWL,9.80,9.80,8.80,8.85
3,1,Rachel Welch,Simpson,BB,9.600,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.70,9.50
3,2,Evalyn Resnick,Simpson,BB,9.675,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.65,9.70
3,3,Emmie Barton,Simpson,BB,9.625,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.65,9.60
3,4,Olivia Hedary,Simpson,BB,9.650,,,,,,,1/24/2026,Simpson vs UWL,9.80,10.00,9.55,9.75
3,5,Izzy Brown,Simpson,BB,8.875,,,,,Y,Y,1/24/2026,Simpson vs UWL,9.30,9.30,9.00,8.75
3,6,Brooklen Morgan,Simpson,BB,9.475,,,,,,,1/24/2026,Simpson vs UWL,10.00,9.90,9.55,9.40
3,7,Kaley Bristow,Simpson,BB,8.600,,,,,,,1/24/2026,Simpson vs UWL,9.50,9.50,8.60,8.60
3,8,Abbie Lain,Simpson,BB,8.250,,,,,,,1/24/2026,Simpson vs UWL,9.80,9.70,8.20,8.30
3,1,Lucy Warren,UWL,BB,9.750,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.70,9.80
3,2,Lainey Vogt,UWL,BB,9.650,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.65,9.65
3,3,Lauren Main,UWL,BB,9.750,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.80,9.70
3,4,Claire Robbins,UWL,BB,9.575,,,,,,,1/24/2026,Simpson vs UWL,9.90,9.90,9.60,9.55
3,5,Madalyn McCormick,UWL,BB,9.825,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.80,9.85
3,6,Raina Christenson,UWL,BB,9.825,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.80,9.85
3,7,Cobi Powell,UWL,BB,8.975,,,,,,,1/24/2026,Simpson vs UWL,9.70,9.70,9.00,8.95
3,8,Grace Edwards,UWL,BB,9.425,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.30,9.55
4,1,Kaley Bristow,Simpson,FX,8.825,,,,,,,1/24/2026,Simpson vs UWL,9.80,9.80,8.85,8.80
4,2,Annika Cole,Simpson,FX,9.550,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.50,9.60
4,3,Olivia Hedary,Simpson,FX,9.450,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.50,9.40
4,4,Emmie Barton,Simpson,FX,9.575,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.55,9.60
4,5,Brooklen Morgan,Simpson,FX,8.250,,,,,,,1/24/2026,Simpson vs UWL,9.30,9.30,8.40,8.10
4,6,Kaelyn Tally,Simpson,FX,9.600,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.55,9.65
4,7,Izzy Brown,Simpson,FX,9.500,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.45,9.55
4,8,Kaylee Paige,Simpson,FX,8.575,,,0.1,,,,1/24/2026,Simpson vs UWL,9.80,9.90,8.95,8.40
4,1,Mckenna Myers,UWL,FX,9.600,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.55,9.65
4,2,Hunter Matulka,UWL,FX,9.675,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.65,9.70
4,3,Morgan Engels,UWL,FX,9.225,,,,,,,1/24/2026,Simpson vs UWL,10.00,9.90,9.25,9.20
4,4,Claire Robbins,UWL,FX,9.625,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.60,9.65
4,5,Grace Kehr,UWL,FX,9.575,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.65,9.50
4,6,Paige Breckwoldt,UWL,FX,9.750,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.75,9.75
4,7,Ashley Dalton,UWL,FX,9.350,,,,,,Y,1/24/2026,Simpson vs UWL,9.70,9.70,9.30,9.40
4,8,Lainey Vogt,UWL,FX,9.350,,,,,,,1/24/2026,Simpson vs UWL,10.00,10.00,9.40,9.30
