Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Samantha Shannon,CMU,VT,9.775,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.75,9.80
1,2,Alexandra Reddick,CMU,VT,9.600,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.60,9.60
1,3,Luciana Alvarado-Reid,CMU,VT,9.700,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.70,9.70
1,4,Avah Bootz,CMU,VT,9.725,,,,,,Y,1/24/2026,CMU vs Illinois State,9.95,9.95,9.70,9.75
1,5,Ava Wellmeier,CMU,VT,9.725,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.75,9.70
1,6,Lia Kmieciak,CMU,VT,9.825,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.80,9.85
1,7,Jenna Germond,CMU,VT,9.625,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.60,9.65
1,1,Mia Oh,Illinois State,VT,9.675,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.70,9.65
1,2,Jaly Jones,Illinois State,VT,9.575,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.60,9.55
1,3,Sammie Wolff,Illinois State,VT,9.825,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.85,9.80
1,4,Mia LeBlanc,Illinois State,VT,9.575,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.55,9.60
1,5,Savannah Ray,Illinois State,VT,9.700,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.75,9.65
1,6,Leah Davis,Illinois State,VT,9.550,,,,,,,1/24/2026,CMU vs Illinois State,9.95,9.95,9.55,9.55
1,7,Jercy Koliego,Illinois State,VT,9.450,,,,,,,1/24/2026,CMU vs Illinois State,9.80,9.80,9.45,9.45
2,1,Kaitlyn Schwab,CMU,UB,9.825,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.80,9.85
2,2,Ava Wellmeier,CMU,UB,9.750,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.75,9.75
2,3,Samantha Shannon,CMU,UB,9.875,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.85,9.90
2,4,Gabrielle Johnson,CMU,UB,9.550,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.50,9.60
2,5,Luciana Alvarado-Reid,CMU,UB,9.875,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.90,9.85
2,6,Lia Kmieciak,CMU,UB,9.300,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.35,9.25
2,7,Maylee Wendle,CMU,UB,7.900,,,,,,,1/24/2026,CMU vs Illinois State,9.40,9.40,7.80,8.00
2,1,Savannah Ray,Illinois State,UB,9.700,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.70,9.70
2,2,Mia LeBlanc,Illinois State,UB,9.550,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.60,9.50
2,3,Julia Heiner,Illinois State,UB,9.725,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.70,9.75
2,4,Jercy Koliego,Illinois State,UB,9.800,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.80,9.80
2,5,Madyson Baucom,Illinois State,UB,8.800,,,,,,,1/24/2026,CMU vs Illinois State,9.70,9.50,8.90,8.70
2,6,Jada Beswick,Illinois State,UB,9.700,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.70,9.70
2,7,Abbey Harris,Illinois State,UB,9.675,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.65,9.70
3,1,Ashlyn Richards,CMU,BB,8.925,,,,,,,1/24/2026,CMU vs Illinois State,9.80,9.70,8.90,8.95
3,2,Avah Bootz,CMU,BB,9.800,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.85,9.75
3,3,Gabrielle Johnson,CMU,BB,9.725,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.75,9.70
3,4,Zoie Pelfrey,CMU,BB,9.800,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.75,9.85
3,5,Samantha Shannon,CMU,BB,9.775,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.80,9.75
3,6,Luciana Alvarado-Reid,CMU,BB,9.325,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.35,9.30
3,7,Jenna Germond,CMU,BB,9.625,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.60,9.65
3,1,Courtney Woods,Illinois State,BB,9.750,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.80,9.70
3,2,Audrey Hiatt,Illinois State,BB,9.700,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.65,9.75
3,3,Savannah Ray,Illinois State,BB,9.175,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.10,9.25
3,4,Ally Lau,Illinois State,BB,9.825,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.80,9.85
3,5,Leah Davis,Illinois State,BB,9.750,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.75,9.75
3,6,Jaly Jones,Illinois State,BB,9.125,,,,,,,1/24/2026,CMU vs Illinois State,9.90,9.90,9.05,9.20
3,7,Mackenzie Flutman,Illinois State,BB,8.700,,,,,,,1/24/2026,CMU vs Illinois State,9.80,9.70,8.70,8.70
4,1,Jenna Germond,CMU,FX,9.800,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.80,9.80
4,2,Samantha Shannon,CMU,FX,9.700,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.70,9.70
4,3,Zoë Zimmerman,CMU,FX,9.525,,,0.1,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.65,9.60
4,4,Avah Bootz,CMU,FX,9.725,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.75,9.70
4,5,Ava Wellmeier,CMU,FX,9.775,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.80,9.75
4,6,Luciana Alvarado-Reid,CMU,FX,9.850,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.85,9.85
4,7,Heather Parker,CMU,FX,9.000,,,0.1,,,,1/24/2026,CMU vs Illinois State,9.80,9.90,9.00,9.20
4,1,Courtney Woods,Illinois State,FX,9.725,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.70,9.75
4,2,Sammie Wolff,Illinois State,FX,9.500,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.55,9.45
4,3,Mia LeBlanc,Illinois State,FX,9.675,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.65,9.70
4,4,Abbey Harris,Illinois State,FX,9.575,,,,,,,1/24/2026,CMU vs Illinois State,10.00,9.90,9.60,9.55
4,5,Leah Davis,Illinois State,FX,9.825,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.85,9.80
4,6,Jaly Jones,Illinois State,FX,9.800,,,,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.75,9.85
4,7,Mia Oh,Illinois State,FX,9.525,,,0.1,,,,1/24/2026,CMU vs Illinois State,10.00,10.00,9.55,9.70
