Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Peyton Davis,Michigan,VT,9.775,,,,,,,1/24/2026,Michigan vs Iowa,9.95,9.95,9.80,9.75
1,2,Ava Jordan,Michigan,VT,9.750,,,,,,,1/24/2026,Michigan vs Iowa,9.95,9.95,9.70,9.80
1,3,Reyna Guggino,Michigan,VT,9.875,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.90,9.85
1,4,Kayli Boozer,Michigan,VT,9.800,,,,,,,1/24/2026,Michigan vs Iowa,9.95,9.95,9.80,9.80
1,5,Jahzara Ranger,Michigan,VT,9.725,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.70
1,6,Sophia Diaz,Michigan,VT,9.900,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.90,9.90
1,7,Myli Lew,Michigan,VT,9.700,,,,,,,1/24/2026,Michigan vs Iowa,9.95,9.95,9.70,9.70
1,1,Avery Chambers,Iowa,VT,9.750,,,,,,,1/24/2026,Michigan vs Iowa,9.95,9.95,9.75,9.75
1,2,Hanna Castillo,Iowa,VT,9.775,,,,,,,1/24/2026,Michigan vs Iowa,9.95,9.95,9.80,9.75
1,3,Aurélie Tran,Iowa,VT,9.850,,,,,,,1/24/2026,Michigan vs Iowa,9.95,9.95,9.90,9.80
1,4,Sydney Turner,Iowa,VT,9.850,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.85
1,5,Sophie Schriever,Iowa,VT,9.800,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.75
1,6,JerQuavia Henderson,Iowa,VT,9.725,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.70,9.75
1,7,Stella DePoala,Iowa,VT,9.725,,,,,,,1/24/2026,Michigan vs Iowa,9.95,9.95,9.70,9.75
1,8,Alyse Karenbauer,Iowa,VT,9.750,,,,,,,1/24/2026,Michigan vs Iowa,9.95,9.95,9.75,9.75
2,1,Ava Jordan,Michigan,UB,9.800,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.75
2,2,Lily Clapper,Michigan,UB,9.850,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.80,9.90
2,3,Sophia Diaz,Michigan,UB,9.900,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.90,9.90
2,4,Myli Lew,Michigan,UB,9.750,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.75
2,5,Sophie Parenti,Michigan,UB,9.825,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.80
2,6,Carly Bauman,Michigan,UB,9.850,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.85
2,7,Audrey Sanger,Michigan,UB,9.725,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.70
2,1,JerQuavia Henderson,Iowa,UB,9.075,,,,,,,1/24/2026,Michigan vs Iowa,9.80,9.80,9.10,9.05
2,2,Gianna Masella,Iowa,UB,9.750,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.75
2,3,Daisy Bowles,Iowa,UB,9.250,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.25,9.25
2,4,Sophie Schriever,Iowa,UB,9.850,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.85
2,5,Sydney Turner,Iowa,UB,9.800,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.80,9.80
2,6,Aurélie Tran,Iowa,UB,9.925,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.90,9.95
2,7,Marissa Rojas,Iowa,UB,9.625,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.60,9.65
2,8,Stella DePoala,Iowa,UB,9.725,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.70
3,1,Sophie Parenti,Michigan,BB,9.775,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.80
3,2,Quincy Walters,Michigan,BB,9.725,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.70
3,3,Ava Jordan,Michigan,BB,9.750,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.75
3,4,Jahzara Ranger,Michigan,BB,9.800,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.80,9.80
3,5,Kayli Boozer,Michigan,BB,9.900,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.90,9.90
3,6,Carly Bauman,Michigan,BB,9.875,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.90
3,7,Peyton Davis,Michigan,BB,9.700,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.70,9.70
3,8,Audrey Sanger,Michigan,BB,9.775,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.80,9.75
3,1,Eva Volpe,Iowa,BB,9.775,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.80
3,2,JerQuavia Henderson,Iowa,BB,9.175,,,,,,,1/24/2026,Michigan vs Iowa,9.90,9.90,9.15,9.20
3,3,Maggie Ball,Iowa,BB,9.775,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.80
3,4,Aurélie Tran,Iowa,BB,9.725,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.70,9.75
3,5,Sydney Turner,Iowa,BB,9.875,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.90
3,6,Sophie Schriever,Iowa,BB,9.750,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.75,9.75
3,7,Cassie Lee,Iowa,BB,9.125,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.10,9.15
3,8,Marissa Rojas,Iowa,BB,9.675,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.60,9.75
4,1,Sophie Parenti,Michigan,FX,9.825,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.80,9.85
4,2,Audrey Sanger,Michigan,FX,9.825,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.80
4,3,Quincy Walters,Michigan,FX,9.850,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.85
4,4,Sophia Diaz,Michigan,FX,9.900,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.90,9.90
4,5,Carly Bauman,Michigan,FX,9.950,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.95,9.95
4,6,Jahzara Ranger,Michigan,FX,9.725,,,0.1,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.80,9.85
4,7,Lily Clapper,Michigan,FX,9.675,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.60,9.75
4,8,Peyton Davis,Michigan,FX,9.775,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.80,9.75
4,1,Aurélie Tran,Iowa,FX,9.775,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.80,9.75
4,2,Sydney Turner,Iowa,FX,9.675,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.65,9.70
4,3,Sophie Schriever,Iowa,FX,9.875,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.90,9.85
4,4,Hanna Castillo,Iowa,FX,9.875,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.85,9.90
4,5,Emily Erb,Iowa,FX,9.725,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.65,9.80
4,6,JerQuavia Henderson,Iowa,FX,9.850,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.80,9.90
4,7,Stella DePoala,Iowa,FX,9.600,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.70,9.50
4,8,Haley Tyson,Iowa,FX,9.725,,,,,,,1/24/2026,Michigan vs Iowa,10.00,10.00,9.70,9.75
