Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Brie Clark,Clemson,VT,9.750,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.75,9.75
1,2,Madison Minner,Clemson,VT,9.800,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.80,9.80
1,3,Maggie Holman,Clemson,VT,9.850,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.85
1,4,Ella Cesario,Clemson,VT,9.800,,,,,,,1/30/2026,Clemson vs UNC,9.95,9.95,9.75,9.85
1,5,Tara Walsh,Clemson,VT,9.875,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.85
1,6,Eve Jackson,Clemson,VT,9.300,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.35,9.25
1,7,Paige Anastasi,Clemson,VT,9.700,,,,,,,1/30/2026,Clemson vs UNC,9.95,9.95,9.65,9.75
1,1,Elly King,UNC,VT,9.775,,,,,,,1/30/2026,Clemson vs UNC,9.95,9.95,9.75,9.80
1,2,Gwen Fink,UNC,VT,9.875,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.90
1,3,Paige Prejean,UNC,VT,9.700,,,,,,,1/30/2026,Clemson vs UNC,9.95,9.95,9.70,9.70
1,4,Sydney Seabrooks,UNC,VT,9.825,,,,,,,1/30/2026,Clemson vs UNC,9.95,9.95,9.85,9.80
1,5,JoJo Valahovic,UNC,VT,9.800,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.80,9.80
1,6,Kaya Forbes,UNC,VT,9.875,,,,,,,1/30/2026,Clemson vs UNC,9.95,9.95,9.85,9.90
1,7,Neve King,UNC,VT,9.750,,,,,,,1/30/2026,Clemson vs UNC,9.95,9.95,9.85,9.65
2,1,Lilly Lippeatt,Clemson,UB,9.850,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.80,9.90
2,2,Hannah Clark,Clemson,UB,9.850,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.80
2,3,Emma Malewski,Clemson,UB,9.875,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.90
2,4,Eve Jackson,Clemson,UB,9.825,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.80,9.85
2,5,Ella Cesario,Clemson,UB,9.900,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.90
2,6,Takoda Berry,Clemson,UB,8.950,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,8.90,9.00
2,7,Quinn Kuhl,Clemson,UB,9.750,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.75,9.75
2,1,Sydney Seabrooks,UNC,UB,9.725,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.75,9.70
2,2,Kaya Forbes,UNC,UB,9.075,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.10,9.05
2,3,Claire Stippich,UNC,UB,9.800,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.80,9.80
2,4,Anna Pearl Stanley,UNC,UB,9.850,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.80
2,5,Paige Prejean,UNC,UB,9.850,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.80
2,6,Gwen Fink,UNC,UB,9.850,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.85
2,7,Camryn Rueda,UNC,UB,9.775,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.75,9.80
3,1,Tara Walsh,Clemson,BB,9.875,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.90
3,2,Brie Clark,Clemson,BB,9.875,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.85
3,3,Hannah Clark,Clemson,BB,9.775,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.70,9.85
3,4,Lilly Lippeatt,Clemson,BB,9.825,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.80
3,5,Ella Cesario,Clemson,BB,9.875,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.90
3,6,Quinn Kuhl,Clemson,BB,9.875,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.90
3,7,Emma Malewski,Clemson,BB,9.875,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.85
3,1,Sydney Seabrooks,UNC,BB,9.675,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.65,9.70
3,2,Neve King,UNC,BB,9.850,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.80,9.90
3,3,Claire Stippich,UNC,BB,9.675,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.65,9.70
3,4,Jessica Naranjo,UNC,BB,9.900,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.95
3,5,JoJo Valahovic,UNC,BB,9.900,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.90
3,6,Gwen Fink,UNC,BB,9.200,,,,,,,1/30/2026,Clemson vs UNC,9.80,9.80,9.20,9.20
3,7,Camryn Rueda,UNC,BB,9.775,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.70,9.85
4,1,Lilly Lippeatt,Clemson,FX,9.775,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.75,9.80
4,2,Maggie Holman,Clemson,FX,9.875,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.85
4,3,Tara Walsh,Clemson,FX,9.800,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.75
4,4,Ella Cesario,Clemson,FX,9.875,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.85
4,5,Brie Clark,Clemson,FX,9.950,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.95,9.95
4,6,Eve Jackson,Clemson,FX,9.825,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.80
4,7,Sophie Stuart,Clemson,FX,9.750,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.75,9.75
4,1,Elly King,UNC,FX,9.775,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.80,9.75
4,2,Gwen Fink,UNC,FX,9.825,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.80
4,3,Hannah Aoki,UNC,FX,9.800,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.75
4,4,Jessica Naranjo,UNC,FX,9.825,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.80
4,5,Kaya Forbes,UNC,FX,9.800,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.85,9.75
4,6,Sydney Seabrooks,UNC,FX,9.900,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.90,9.90
4,7,Camryn Rueda,UNC,FX,9.775,,,,,,,1/30/2026,Clemson vs UNC,10.00,10.00,9.80,9.75
