Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Mya Kirkham,BYU,VT,9.825,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.80,9.85
1,2,Daisy Stephenson,BYU,VT,9.675,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.65,9.70
1,3,Scarlett Sonnenberg,BYU,VT,9.775,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.75,9.80
1,4,Deb Silva,BYU,VT,9.850,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.85,9.85
1,5,Ava Jorgensen,BYU,VT,9.800,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.75,9.85
1,6,Kylie Eaquinto,BYU,VT,9.625,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.60,9.65
1,7,Zoe Hale,BYU,VT,9.750,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.75,9.75
1,1,Ainsley Greever,Arizona,VT,9.700,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.65,9.75
1,2,Emma Strom,Arizona,VT,9.675,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.65,9.70
1,3,Sophie Derr,Arizona,VT,9.675,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.60,9.75
1,4,Abigayle Martin,Arizona,VT,9.775,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.75,9.80
1,5,Jessa Janicke,Arizona,VT,9.825,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.80,9.85
1,6,Hillary Puleo,Arizona,VT,9.650,,,,,,,1/30/2026,BYU vs Arizona,9.95,9.95,9.60,9.70
2,1,Mya Kirkham,BYU,UB,9.800,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.80,9.80
2,2,Addilyn Glazier,BYU,UB,9.750,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.80,9.70
2,3,Deb Silva,BYU,UB,9.725,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.65,9.80
2,4,Kylie Eaquinto,BYU,UB,9.875,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.90,9.85
2,5,Ava Jorgensen,BYU,UB,9.825,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.80
2,6,Alilah Alvarado,BYU,UB,9.875,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.90
2,7,Kauri Hunsaker,BYU,UB,9.300,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.15,9.45
2,1,Hillary Puleo,Arizona,UB,9.775,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.70
2,2,Sadie Smith,Arizona,UB,9.850,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.85
2,3,Delaney Mead,Arizona,UB,9.800,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.80,9.80
2,4,Abigayle Martin,Arizona,UB,9.800,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.75,9.85
2,5,Sophie Derr,Arizona,UB,9.800,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.75
2,6,Aubrey Krohnfeldt,Arizona,UB,9.775,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.80,9.75
2,7,Sophia Maisel,Arizona,UB,9.675,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.70,9.65
3,1,Scarlett Sonnenberg,BYU,BB,9.825,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.80
3,2,Ava Jorgensen,BYU,BB,9.750,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.65,9.85
3,3,Alilah Alvarado,BYU,BB,9.750,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.80,9.70
3,4,Chloee Hoke,BYU,BB,9.725,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.75,9.70
3,5,Brynlee Andersen-Broekman,BYU,BB,9.875,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.90,9.85
3,6,Hazel Smith,BYU,BB,9.775,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.70
3,7,Ellie Ermisch,BYU,BB,9.150,,,,,,,1/30/2026,BYU vs Arizona,9.90,9.90,9.10,9.20
3,1,Gianna Lenczner,Arizona,BB,9.775,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.80,9.75
3,2,Aubrey Krohnfeldt,Arizona,BB,9.750,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.75,9.75
3,3,Jessa Janicke,Arizona,BB,8.850,,,,,,,1/30/2026,BYU vs Arizona,9.90,9.50,8.90,8.80
3,4,Teagan White,Arizona,BB,9.500,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.55,9.45
3,5,Tirzah Wise,Arizona,BB,9.825,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.80
3,6,Abigayle Martin,Arizona,BB,9.900,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.90,9.90
3,7,Emma Strom,Arizona,BB,9.475,,,,,,,1/30/2026,BYU vs Arizona,9.70,10.00,9.40,9.55
4,1,Scarlett Sonnenberg,BYU,FX,9.850,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.80,9.90
4,2,Chloee Hoke,BYU,FX,9.825,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.80
4,3,Brynlee Andersen-Broekman,BYU,FX,9.850,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.85
4,4,Deb Silva,BYU,FX,9.725,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.70,9.75
4,5,Kylie Eaquinto,BYU,FX,9.900,,,,,,,1/30/2026,BYU vs Arizona,10.00,10.00,9.85,9.95
