Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Kayla DiCello,Florida,VT,9.900,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.90
1,2,Gabby Disidore,Florida,VT,9.825,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.85,9.80
1,3,Skylar Draser,Florida,VT,9.875,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.85
1,4,eMjae Frazier,Florida,VT,9.875,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.85
1,5,Danie Ferris,Florida,VT,9.800,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.80,9.80
1,6,Selena Harris-Miranda,Florida,VT,9.900,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.90
1,1,Cami Weaver,Arkansas,VT,9.850,,,,,,,1/30/2026,Florida vs Arkansas,9.95,9.95,9.85,9.85
1,2,Leah Smith,Arkansas,VT,9.750,,,,,,,1/30/2026,Florida vs Arkansas,9.95,9.95,9.75,9.75
1,3,Allison Cucci,Arkansas,VT,9.825,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.80,9.85
1,4,Hailey Klein,Arkansas,VT,9.875,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.85
1,5,Lauren Williams,Arkansas,VT,9.875,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.85,9.90
1,6,Morgan Price,Arkansas,VT,9.925,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.95,9.90
2,1,eMjae Frazier,Florida,UB,9.900,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.90
2,2,Anya Pilgrim,Florida,UB,9.850,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.85,9.85
2,3,Riley McCusker,Florida,UB,9.875,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.85
2,4,Kayla DiCello,Florida,UB,9.925,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.95
2,5,Skye Blakely,Florida,UB,9.950,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.95,9.95
2,6,Selena Harris-Miranda,Florida,UB,9.950,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.95,9.95
2,1,Joscelyn Roberson,Arkansas,UB,9.775,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.75,9.80
2,2,Hailey Klein,Arkansas,UB,9.825,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.80,9.85
2,3,Leah Smith,Arkansas,UB,9.825,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.85,9.80
2,4,Cally Swaney,Arkansas,UB,9.775,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.75,9.80
2,5,Allison Cucci,Arkansas,UB,9.775,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.80,9.75
2,6,Morgan Price,Arkansas,UB,9.900,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.90
3,1,Alyssa Arana,Florida,BB,9.850,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.85,9.85
3,2,Skye Blakely,Florida,BB,9.950,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.95,9.95
3,3,eMjae Frazier,Florida,BB,9.850,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.80,9.90
3,4,Selena Harris-Miranda,Florida,BB,9.900,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.95,9.85
3,5,Kayla DiCello,Florida,BB,9.950,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.95,9.95
3,6,Riley McCusker,Florida,BB,9.700,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.80,9.60
3,1,Madison Gustitus,Arkansas,BB,9.850,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.80,9.90
3,2,Hailey Klein,Arkansas,BB,9.825,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.80,9.85
3,3,Allison Cucci,Arkansas,BB,9.850,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.85,9.85
3,4,Cami Weaver,Arkansas,BB,9.225,,,,,,,1/30/2026,Florida vs Arkansas,9.90,9.90,9.20,9.25
3,5,Morgan Price,Arkansas,BB,9.725,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.75,9.70
3,6,Joscelyn Roberson,Arkansas,BB,9.825,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.85,9.80
4,1,Jayla Booker,Florida,FX,9.825,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.85,9.80
4,2,Danie Ferris,Florida,FX,9.875,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.85
4,3,Taylor Clark,Florida,FX,9.850,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.80,9.90
4,4,eMjae Frazier,Florida,FX,9.950,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.95,9.95
4,5,Skye Blakely,Florida,FX,9.975,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.95,10.00
4,6,Selena Harris-Miranda,Florida,FX,9.925,,,,,,,1/30/2026,Florida vs Arkansas,10.00,10.00,9.90,9.95
