Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Addisyn Hofseth,Kentucky,VT,9.775,,,,,,,1/30/2026,Kentucky vs Oklahoma,9.95,9.95,9.80,9.75
1,2,Cecily Rizo,Kentucky,VT,9.800,,,,,,,1/30/2026,Kentucky vs Oklahoma,9.95,9.95,9.80,9.80
1,3,Callie Gardner,Kentucky,VT,9.775,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.75,9.80
1,4,Ryan Noonan,Kentucky,VT,9.825,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.80,9.85
1,5,Delaynee Rodriguez,Kentucky,VT,9.925,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.95,9.90
1,6,Anna Flynn Cashion,Kentucky,VT,9.750,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.70,9.80
1,1,Lily Pederson,Oklahoma,VT,9.875,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.90,9.85
1,2,Keira Wells,Oklahoma,VT,9.950,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.95,9.95
1,3,Hannah Scheible,Oklahoma,VT,9.950,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.95,9.95
1,4,Mackenzie Estep,Oklahoma,VT,9.850,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.80,9.90
1,5,Elle Mueller,Oklahoma,VT,9.850,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.90,9.80
1,6,Addison Fatta,Oklahoma,VT,9.925,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.95,9.90
2,1,Cecily Rizo,Kentucky,UB,9.750,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.70,9.80
2,2,Isabella Rivelli,Kentucky,UB,9.775,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.75,9.80
2,3,Gabby Van Frayen,Kentucky,UB,9.750,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.75,9.75
2,4,Chesney Bennett,Kentucky,UB,9.800,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.80,9.80
2,5,Ryan Noonan,Kentucky,UB,9.850,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.85,9.85
2,6,Delaynee Rodriguez,Kentucky,UB,9.850,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.80,9.90
2,1,Hannah Scheible,Oklahoma,UB,9.350,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.50,9.20
2,2,Lily Pederson,Oklahoma,UB,9.825,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.80,9.85
2,3,Ella Murphy,Oklahoma,UB,9.750,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.75,9.75
2,4,Addison Fatta,Oklahoma,UB,9.900,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.90,9.90
2,5,Mackenzie Estep,Oklahoma,UB,9.875,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.90,9.85
2,6,Faith Torrez,Oklahoma,UB,9.850,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.85,9.85
3,1,Cecily Rizo,Kentucky,BB,9.750,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.75,9.75
3,2,Creslyn Brose,Kentucky,BB,9.875,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.90,9.85
3,3,Sharon Lee,Kentucky,BB,9.525,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.50,9.55
3,4,Chesney Bennett,Kentucky,BB,9.825,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.80,9.85
3,5,Gabby Van Frayen,Kentucky,BB,9.650,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.70,9.60
3,6,Delaynee Rodriguez,Kentucky,BB,9.900,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.85,9.95
3,1,Addison Fatta,Oklahoma,BB,9.875,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.90,9.85
3,2,Keira Wells,Oklahoma,BB,9.900,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.90,9.90
3,3,Ella Murphy,Oklahoma,BB,9.850,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.90,9.80
3,4,Lily Pederson,Oklahoma,BB,9.900,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.90,9.90
3,5,Elle Mueller,Oklahoma,BB,9.750,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.75,9.75
3,6,Faith Torrez,Oklahoma,BB,9.950,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.95,9.95
4,1,Gabby Van Frayen,Kentucky,FX,9.800,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.85,9.75
4,2,Chesney Bennett,Kentucky,FX,9.875,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.90,9.85
4,3,Callie Gardner,Kentucky,FX,9.850,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.85,9.85
4,4,Cecily Rizo,Kentucky,FX,9.775,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.80,9.75
4,5,Delaynee Rodriguez,Kentucky,FX,9.875,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.85,9.90
4,6,Creslyn Brose,Kentucky,FX,9.950,,,,,,,1/30/2026,Kentucky vs Oklahoma,10.00,10.00,9.95,9.95
