Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Karys Griffin,Nebraska,VT,9.650,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.55,9.75
1,2,Molly Peterson,Nebraska,VT,9.800,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.80,9.80
1,3,Whitney Jencks,Nebraska,VT,9.750,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.75,9.75
1,4,Reese Baechle,Nebraska,VT,9.750,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.80,9.70
1,5,Tegan Shaver,Nebraska,VT,9.825,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.85,9.80
1,6,Isabel Sikon,Nebraska,VT,9.800,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.80,9.80
1,7,Katelyn Barth,Nebraska,VT,9.650,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.55,9.75
1,1,Kaitlyn Grimes,Ohio State,VT,9.850,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.85,9.85
1,2,Jaylyn Pomager,Ohio State,VT,9.775,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.75,9.80
1,3,Cameron Smith,Ohio State,VT,9.850,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.90,9.80
1,4,Natalie Martin,Ohio State,VT,9.850,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.85,9.85
1,5,JJ Coleman,Ohio State,VT,9.875,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.85,9.90
1,6,Tory Vetter,Ohio State,VT,9.875,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.90,9.85
1,7,Mary Green,Ohio State,VT,9.725,,,,,,,1/31/2026,Nebraska vs Ohio State,9.95,9.95,9.70,9.75
2,1,Olivia Burns,Nebraska,UB,9.725,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.70,9.75
2,2,Karys Griffin,Nebraska,UB,9.750,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.80,9.70
2,3,Isabel Sikon,Nebraska,UB,9.700,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.70,9.70
2,4,Nya Kraus,Nebraska,UB,9.600,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.65,9.55
2,5,Molly Peterson,Nebraska,UB,9.875,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.85,9.90
2,6,Whitney Jencks,Nebraska,UB,9.900,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.95,9.85
2,7,Emalee Frost,Nebraska,UB,9.800,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.75,9.85
2,1,Jaylyn Pomager,Ohio State,UB,9.775,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.75,9.80
2,2,Kaitlyn Grimes,Ohio State,UB,9.725,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.80,9.65
2,3,Sadie Jane Berry,Ohio State,UB,9.775,,,,,,,1/31/2026,Nebraska vs Ohio State,10.00,10.00,9.80,9.75
