Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lisa Chevaire,Rutgers,VT,9.825,,,,,,,2/1/2026,Rutgers vs Penn State,9.95,9.95,9.80,9.85
1,2,Vivienne Larsen,Rutgers,VT,9.625,,,,,,,2/1/2026,Rutgers vs Penn State,9.95,9.95,9.65,9.60
1,3,Elliot Goldsmith,Rutgers,VT,9.650,,,,,,,2/1/2026,Rutgers vs Penn State,9.95,9.95,9.65,9.65
1,4,Reagan Schenkel,Rutgers,VT,9.875,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.90,9.85
1,5,Rachael Riley,Rutgers,VT,9.775,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.80,9.75
1,6,Gabrielle Dildy,Rutgers,VT,9.700,,,,,,,2/1/2026,Rutgers vs Penn State,9.95,9.95,9.65,9.75
1,7,Kimmi Shiau,Rutgers,VT,9.575,,,,,,,2/1/2026,Rutgers vs Penn State,9.95,9.95,9.55,9.60
1,1,Elizabeth Leary,Penn State,VT,9.750,,,,,,,2/1/2026,Rutgers vs Penn State,9.95,9.95,9.70,9.80
1,2,Ava Cash,Penn State,VT,9.850,,,,,,,2/1/2026,Rutgers vs Penn State,9.95,9.95,9.85,9.85
1,3,Allison Kaempfer,Penn State,VT,9.750,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.80,9.70
1,4,Dani Latronica,Penn State,VT,9.800,,,,,,,2/1/2026,Rutgers vs Penn State,9.95,9.95,9.80,9.80
1,5,Jessica Johanson,Penn State,VT,9.800,,,,,,,2/1/2026,Rutgers vs Penn State,9.95,9.95,9.75,9.85
1,6,Ava Piedrahita,Penn State,VT,9.925,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.90,9.95
1,7,Kayla Bender,Penn State,VT,9.750,,,,,,,2/1/2026,Rutgers vs Penn State,9.95,9.95,9.70,9.80
2,1,Campbell Earley,Rutgers,UB,9.200,,,,,,,2/1/2026,Rutgers vs Penn State,9.70,9.70,9.20,9.20
2,2,Donna Uhlenberg,Rutgers,UB,9.650,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.70,9.60
2,3,Elliot Goldsmith,Rutgers,UB,9.700,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.65,9.75
2,4,Gabrielle Dildy,Rutgers,UB,9.750,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.70,9.80
2,5,Delaney Adrian,Rutgers,UB,9.900,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.90,9.90
2,6,Reagan Schenkel,Rutgers,UB,9.750,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.80,9.70
2,7,Valentina Lorente-Garcia,Rutgers,UB,9.700,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.65,9.75
2,1,Ellie Monahan,Penn State,UB,9.775,,,,,,Y,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.80,9.75
2,2,Jessica Johanson,Penn State,UB,9.800,,,,,,Y,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.75,9.85
2,3,Elizabeth Leary,Penn State,UB,9.825,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.85,9.80
2,4,Ava Cash,Penn State,UB,9.875,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.85,9.90
2,5,Ava Piedrahita,Penn State,UB,9.400,,,,,,,2/1/2026,Rutgers vs Penn State,9.90,9.90,9.35,9.45
2,6,Dani Latronica,Penn State,UB,9.925,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.90,9.95
2,7,Allison Kaempfer,Penn State,UB,8.850,,,,,,,2/1/2026,Rutgers vs Penn State,9.70,9.70,8.95,8.75
3,1,Delaney Adrian,Rutgers,BB,9.875,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.85,9.90
3,2,Rachel Beaulieu,Rutgers,BB,9.425,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.40,9.45
3,3,Vivienne Larsen,Rutgers,BB,9.625,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.60,9.65
3,4,Keeley Smith,Rutgers,BB,8.825,,,,,,,2/1/2026,Rutgers vs Penn State,9.70,9.70,8.95,8.70
3,5,Rachael Riley,Rutgers,BB,9.725,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.75,9.70
3,6,Gabrielle Dildy,Rutgers,BB,9.750,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.75,9.75
3,7,Emily Leese,Rutgers,BB,9.650,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.65,9.65
3,1,Ellie Monahan,Penn State,BB,9.775,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.75,9.80
3,2,Elizabeth Leary,Penn State,BB,9.625,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.65,9.60
3,3,Ashley Maul,Penn State,BB,9.875,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.85,9.90
3,4,Kalea McElligott,Penn State,BB,9.750,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.85,9.65
3,5,Alyssa Kramer,Penn State,BB,9.825,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.80,9.85
3,6,Dani Latronica,Penn State,BB,9.800,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.75,9.85
3,7,Amani Herring,Penn State,BB,9.075,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.10,9.05
4,1,Lisa Chevaire,Rutgers,FX,9.750,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.75,9.75
4,2,Kimmi Shiau,Rutgers,FX,9.500,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.40,9.60
4,3,Reagan Schenkel,Rutgers,FX,9.550,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.50,9.60
4,4,Delaney Adrian,Rutgers,FX,9.775,,,,,,,2/1/2026,Rutgers vs Penn State,10.00,10.00,9.80,9.75
