Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Madelynn Farragher,Ithaca: Ithaca / RIC / Springfield,VT,9.375,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.75,9.75,9.30,9.45
1,2,Sh'Nai Thompson,Ithaca: Ithaca / RIC / Springfield,VT,9.325,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.75,9.75,9.25,9.40
1,3,Mya John,Ithaca: Ithaca / RIC / Springfield,VT,9.475,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.75,9.75,9.45,9.50
1,4,Lauren Babineaux,Ithaca: Ithaca / RIC / Springfield,VT,9.525,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.80,9.80,9.50,9.55
1,5,Natalie Steed,Ithaca: Ithaca / RIC / Springfield,VT,9.550,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.95,9.95,9.50,9.60
1,6,Grace Murray,Ithaca: Ithaca / RIC / Springfield,VT,9.525,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.90,9.90,9.50,9.55
1,1,Brianna Cassin,Springfield: Ithaca / RIC / Springfield,VT,9.175,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.80,9.80,9.10,9.25
1,2,Claire Geiger,Springfield: Ithaca / RIC / Springfield,VT,9.325,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.75,9.75,9.25,9.40
1,3,Sophie Dunham,Springfield: Ithaca / RIC / Springfield,VT,9.400,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.80,9.80,9.35,9.45
1,4,Kora Donley,Springfield: Ithaca / RIC / Springfield,VT,9.475,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.75,9.75,9.45,9.50
1,5,Sage Kaplan,Springfield: Ithaca / RIC / Springfield,VT,9.350,,,,,,Y,2/1/2026,Ithaca / Springfield / RIC,9.75,9.75,9.25,9.45
1,6,Stacy Taylor,Springfield: Ithaca / RIC / Springfield,VT,9.475,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.80,9.80,9.45,9.50
1,7,Kaitlyn Delaney,Springfield: Ithaca / RIC / Springfield,VT,8.850,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.60,8.80,8.90
1,1,Aaliyah Krause,RIC: Ithaca / RIC / Springfield,VT,9.475,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.80,9.80,9.40,9.55
1,2,Ivy Jimenez,RIC: Ithaca / RIC / Springfield,VT,9.075,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.90,9.90,8.95,9.20
1,3,Payton Smith,RIC: Ithaca / RIC / Springfield,VT,9.325,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.75,9.30,9.35
1,4,Emily Voss,RIC: Ithaca / RIC / Springfield,VT,9.300,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.75,9.25,9.35
1,5,Molly Pompeii,RIC: Ithaca / RIC / Springfield,VT,9.100,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.95,9.95,8.95,9.25
1,6,Payton Greene,RIC: Ithaca / RIC / Springfield,VT,9.450,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.90,9.90,9.50,9.40
1,7,Elizabeth Hoyos,RIC: Ithaca / RIC / Springfield,VT,9.150,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.75,9.05,9.25
2,1,Lucy Kaupp,Ithaca: Ithaca / RIC / Springfield,UB,7.850,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.60,7.70,8.00
2,2,Sh'Nai Thompson,Ithaca: Ithaca / RIC / Springfield,UB,8.200,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.60,8.00,8.40
2,3,Olivia Lane,Ithaca: Ithaca / RIC / Springfield,UB,9.575,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.50,9.65
2,4,Sienna Blake,Ithaca: Ithaca / RIC / Springfield,UB,9.300,,,,,,Y,2/1/2026,Ithaca / Springfield / RIC,9.90,9.90,9.30,9.30
2,5,Mya John,Ithaca: Ithaca / RIC / Springfield,UB,9.600,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.60,9.60
2,6,Lauren Babineaux,Ithaca: Ithaca / RIC / Springfield,UB,9.675,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.70,9.65
2,7,Desiree Abron,Ithaca: Ithaca / RIC / Springfield,UB,8.850,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.80,9.90,8.90,8.80
2,1,Claire Geiger,Springfield: Ithaca / RIC / Springfield,UB,9.200,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.80,9.80,9.10,9.30
2,2,Sage Kaplan,Springfield: Ithaca / RIC / Springfield,UB,9.300,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.70,9.70,9.25,9.35
2,3,Liz Lehan,Springfield: Ithaca / RIC / Springfield,UB,9.250,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.20,9.30
2,4,Sydney Bendick,Springfield: Ithaca / RIC / Springfield,UB,9.000,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.90,9.90,9.00,9.00
2,5,Emma Skowronek,Springfield: Ithaca / RIC / Springfield,UB,9.550,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.55,9.55
2,6,Nicolette Giogas,Springfield: Ithaca / RIC / Springfield,UB,9.300,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.90,9.90,9.25,9.35
2,7,Taylor Fewins,Springfield: Ithaca / RIC / Springfield,UB,7.250,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.70,9.50,7.20,7.30
2,8,Kaitlyn Delaney,Springfield: Ithaca / RIC / Springfield,UB,8.300,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.70,8.00,8.60
2,1,Payton Greene,RIC: Ithaca / RIC / Springfield,UB,9.250,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.90,9.10,9.40
2,2,Presley Cuen,RIC: Ithaca / RIC / Springfield,UB,9.175,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.80,9.80,9.15,9.20
2,3,Payton Smith,RIC: Ithaca / RIC / Springfield,UB,9.300,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.90,9.90,9.30,9.30
2,4,Elizabeth Hoyos,RIC: Ithaca / RIC / Springfield,UB,9.575,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.55,9.60
2,5,Abigail Bunch,RIC: Ithaca / RIC / Springfield,UB,9.025,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,8.95,9.10
2,6,Aaliyah Krause,RIC: Ithaca / RIC / Springfield,UB,9.575,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.50,9.65
2,7,Arden Ficek,RIC: Ithaca / RIC / Springfield,UB,9.150,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.10,9.20
3,1,Emili Horike,Ithaca: Ithaca / RIC / Springfield,BB,9.750,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.70,9.80
3,2,Leanne Desjardins,Ithaca: Ithaca / RIC / Springfield,BB,8.400,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.60,8.30,8.50
3,3,Mya John,Ithaca: Ithaca / RIC / Springfield,BB,8.300,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.80,9.80,8.40,8.20
3,4,Corey Foster,Ithaca: Ithaca / RIC / Springfield,BB,9.750,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.75,9.75
3,5,Jillian Freyman,Ithaca: Ithaca / RIC / Springfield,BB,9.750,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.70,9.80
3,6,Emily Kobusky,Ithaca: Ithaca / RIC / Springfield,BB,9.725,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.70,9.75
3,7,Taylor Arias,Ithaca: Ithaca / RIC / Springfield,BB,9.350,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.60,9.25,9.45
3,8,Camden Contakos,Ithaca: Ithaca / RIC / Springfield,BB,7.550,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.50,9.40,7.50,7.60
3,1,Reagan Charlton,Springfield: Ithaca / RIC / Springfield,BB,8.650,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.50,9.50,8.60,8.70
3,2,Kora Donley,Springfield: Ithaca / RIC / Springfield,BB,9.100,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,9.60,9.25,8.95
3,3,Abby Walters,Springfield: Ithaca / RIC / Springfield,BB,9.275,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.25,9.30
3,4,Ava Kelley,Springfield: Ithaca / RIC / Springfield,BB,8.625,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.60,9.60,8.65,8.60
3,5,Brooke Ginter,Springfield: Ithaca / RIC / Springfield,BB,9.375,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.35,9.40
3,6,Scarlette Ayakawa,Springfield: Ithaca / RIC / Springfield,BB,9.675,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.65,9.70
3,7,Emma Skowronek,Springfield: Ithaca / RIC / Springfield,BB,8.850,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,8.80,8.90
3,8,Paige Rossi,Springfield: Ithaca / RIC / Springfield,BB,8.075,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.40,9.40,8.05,8.10
3,1,Ivy Jimenez,RIC: Ithaca / RIC / Springfield,BB,9.525,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.45,9.60
3,2,Payton Greene,RIC: Ithaca / RIC / Springfield,BB,8.500,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.90,9.90,8.40,8.60
3,3,Dominique Harris,RIC: Ithaca / RIC / Springfield,BB,8.925,,,,,,Y,2/1/2026,Ithaca / Springfield / RIC,9.90,9.90,8.95,8.90
3,4,Abigail Bunch,RIC: Ithaca / RIC / Springfield,BB,9.450,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.35,9.55
3,5,Madeline Brandt,RIC: Ithaca / RIC / Springfield,BB,9.500,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.40,9.60
3,6,Aaliyah Krause,RIC: Ithaca / RIC / Springfield,BB,8.900,,,,,,,2/1/2026,Ithaca / Springfield / RIC,9.80,9.80,8.90,8.90
3,7,Ella Hutcheons,RIC: Ithaca / RIC / Springfield,BB,9.575,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.55,9.60
3,8,Lilly Hunt,RIC: Ithaca / RIC / Springfield,BB,9.150,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.05,9.25
4,1,Lucy Kaupp,Ithaca: Ithaca / RIC / Springfield,FX,9.650,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.60,9.70
4,2,Madelynn Farragher,Ithaca: Ithaca / RIC / Springfield,FX,9.575,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.65,9.50
4,3,Sh'Nai Thompson,Ithaca: Ithaca / RIC / Springfield,FX,9.575,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.50,9.65
4,4,Taylor Arias,Ithaca: Ithaca / RIC / Springfield,FX,9.525,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.55,9.50
4,5,Jillian Freyman,Ithaca: Ithaca / RIC / Springfield,FX,9.750,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.70,9.80
4,6,Grace Murray,Ithaca: Ithaca / RIC / Springfield,FX,9.850,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.85,9.85
4,7,Hana Miller,Ithaca: Ithaca / RIC / Springfield,FX,9.450,,,,,,,2/1/2026,Ithaca / Springfield / RIC,10.00,10.00,9.45,9.45
