Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,McCall McMullen,UNH,VT,9.700,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.75,9.65
1,2,Amelia Lannon,UNH,VT,9.725,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.70,9.75
1,3,Serena Mullin,UNH,VT,9.700,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.65,9.75
1,4,Mady Harvey,UNH,VT,9.700,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.75,9.65
1,5,Gwen Ockerbloom,UNH,VT,9.775,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.75,9.80
1,6,Stacy Boss,UNH,VT,9.575,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.55,9.60
1,7,Poulina Minaev,UNH,VT,9.550,,,,,,,2/1/2026,UNH / Towson / Yale,9.90,9.90,9.60,9.50
1,1,Adriana Hoffman,Towson,VT,9.725,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.70,9.75
1,2,Isabella DeCroo,Towson,VT,9.800,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.80,9.80
1,3,Cameran Edwards,Towson,VT,9.650,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.60,9.70
1,4,Jocelyn Lannon,Towson,VT,9.775,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.80
1,5,Isabella Minervini,Towson,VT,9.675,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.60,9.75
1,6,Faye Rodio,Towson,VT,9.800,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.85
1,1,Lily Aucoin,Yale,VT,9.250,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.35,9.15
1,2,Annie Bilbe,Yale,VT,9.500,,,,,,,2/1/2026,UNH / Towson / Yale,9.90,9.90,9.55,9.45
1,3,Ashley Stafford,Yale,VT,9.725,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.70,9.75
1,4,Gigi Sabatini,Yale,VT,9.650,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.70,9.60
1,5,Lauren Burt,Yale,VT,9.775,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.80,9.75
1,6,Ella Hargreaves,Yale,VT,9.800,,,,,,,2/1/2026,UNH / Towson / Yale,9.95,9.95,9.75,9.85
2,1,Poulina Minaev,UNH,UB,9.700,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.70,9.70
2,2,Mady Harvey,UNH,UB,9.000,,,,,,,2/1/2026,UNH / Towson / Yale,9.80,9.80,9.00,9.00
2,3,Peyton Novinger,UNH,UB,9.825,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.80
2,4,Zoe Arthur,UNH,UB,9.725,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.70
2,5,Serena Mullin,UNH,UB,9.725,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.70,9.75
2,6,Leah Moreno,UNH,UB,9.800,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.75
2,7,Gwen Ockerbloom,UNH,UB,9.725,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.70,9.75
2,8,Abby Scherban,UNH,UB,9.725,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.70
2,1,Piper Slocum,Towson,UB,9.750,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.75
2,2,Hayden Gough,Towson,UB,9.800,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.80
2,3,Brissa Portillo,Towson,UB,8.200,,,,,,,2/1/2026,UNH / Towson / Yale,9.70,9.50,8.30,8.10
2,4,Lauren Greene,Towson,UB,9.775,,,,,,Y,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.75
2,5,Polina Belanovski,Towson,UB,9.100,,,,,,,2/1/2026,UNH / Towson / Yale,9.90,10.00,9.00,9.20
2,6,Isabella Minervini,Towson,UB,9.875,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.90,9.85
2,7,Natalie Lindgren,Towson,UB,9.725,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.70
2,1,Gigi Sabatini,Yale,UB,9.775,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.75
2,2,Hailey Kriz,Yale,UB,9.700,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.65
2,3,Lily Aucoin,Yale,UB,9.775,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.75
2,4,Charlotte Zaun,Yale,UB,9.650,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.60,9.70
2,5,Ellie Kearns,Yale,UB,9.700,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.70,9.70
2,6,Chloe DeJoy,Yale,UB,9.875,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.90,9.85
2,7,Ella Hargreaves,Yale,UB,9.600,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.60,9.60
3,1,Poulina Minaev,UNH,BB,9.025,,,,,,,2/1/2026,UNH / Towson / Yale,9.90,9.90,9.05,9.00
3,2,Riley Himes,UNH,BB,9.850,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.90,9.80
3,3,McCall McMullen,UNH,BB,9.750,,,,,,,2/1/2026,UNH / Towson / Yale,9.90,9.90,9.80,9.70
3,4,Gwen Ockerbloom,UNH,BB,9.825,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.85
3,5,Serena Mullin,UNH,BB,9.750,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.75
3,6,Mady Harvey,UNH,BB,9.875,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.90
3,7,Shannon Stivala,UNH,BB,9.750,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.65
3,1,Reese Toland,Towson,BB,9.675,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.70,9.65
3,2,Polina Belanovski,Towson,BB,9.600,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.65,9.55
3,3,Emma Duerre,Towson,BB,9.650,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.65,9.65
3,4,Natalie Lindgren,Towson,BB,9.800,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.85
3,5,Isabella Minervini,Towson,BB,9.850,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.85
3,6,Celia Trotter,Towson,BB,9.825,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.85
3,1,Allie Forbes,Yale,BB,9.700,,,,,,Y,2/1/2026,UNH / Towson / Yale,9.90,10.00,9.70,9.70
3,2,Gigi Sabatini,Yale,BB,9.700,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.60
3,3,Charlotte Zaun,Yale,BB,9.775,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.70,9.85
3,4,Hailey Kriz,Yale,BB,9.000,,,,,,,2/1/2026,UNH / Towson / Yale,9.90,9.90,9.00,9.00
3,5,Hana Strause,Yale,BB,9.800,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.80
3,6,Ellie Kearns,Yale,BB,9.825,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.80
3,7,Megan Brueck,Yale,BB,9.675,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.60
3,8,Ella Hargreaves,Yale,BB,8.925,,,,,,,2/1/2026,UNH / Towson / Yale,9.70,9.70,8.90,8.95
4,1,Riley Himes,UNH,FX,9.750,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.65
4,2,Stacy Boss,UNH,FX,9.800,,,,,,Y,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.75
4,3,Gwen Ockerbloom,UNH,FX,9.850,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.90,9.80
4,4,McCall McMullen,UNH,FX,9.925,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.95,9.90
4,5,Poulina Minaev,UNH,FX,9.825,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.80
4,6,Serena Mullin,UNH,FX,9.875,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.90,9.85
4,7,Peyton Novinger,UNH,FX,9.750,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.70
4,8,Cléante Théorêt,UNH,FX,9.700,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.60
4,1,Natalie Lindgren,Towson,FX,9.600,,,,,,,2/1/2026,UNH / Towson / Yale,9.80,9.80,9.60,9.60
4,2,Carmella Calafati,Towson,FX,9.800,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.80
4,3,Isabella DeCroo,Towson,FX,9.775,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,9.90,9.80,9.75
4,4,Isabella Minervini,Towson,FX,9.800,,,,,,,2/1/2026,UNH / Towson / Yale,9.90,10.00,9.75,9.85
4,5,Adriana Hoffman,Towson,FX,9.875,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.90,9.85
4,6,Polina Belanovski,Towson,FX,9.800,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.80
4,7,Emma Duerre,Towson,FX,9.350,,,,,,,2/1/2026,UNH / Towson / Yale,9.60,9.60,9.25,9.45
4,1,Hana Strause,Yale,FX,9.750,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.65
4,2,Megan Brueck,Yale,FX,9.750,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.65
4,3,Lauren Burt,Yale,FX,9.700,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.65
4,4,Chloe DeJoy,Yale,FX,9.775,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.80
4,5,Gigi Sabatini,Yale,FX,9.775,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.80,9.75
4,6,Annie Bilbe,Yale,FX,9.850,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.85,9.85
4,7,Allie Forbes,Yale,FX,9.775,,,,,,,2/1/2026,UNH / Towson / Yale,10.00,10.00,9.75,9.80
