Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Devyn Valuch,San Jose State,VT,9.750,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.75,9.75
1,2,Samantha Macasu,San Jose State,VT,9.700,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.70,9.70
1,3,Olivia Reardon,San Jose State,VT,9.400,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.40,9.40
1,4,Kaviana Jurries,San Jose State,VT,9.850,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.85,9.85
1,5,Sophie Patterson,San Jose State,VT,9.850,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.85,9.85
1,6,Mikaela Pitts,San Jose State,VT,9.800,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.80,9.80
1,7,Marissa Ashton,San Jose State,VT,9.675,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.65,9.70
1,1,Alaina Reid,TWU,VT,9.850,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.85,9.85
1,2,Jordan Loock,TWU,VT,9.750,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.70,9.80
1,3,Sophie Hernandez,TWU,VT,9.775,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.70,9.85
1,4,Maddy Murphy,TWU,VT,9.675,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.60,9.75
1,5,Kyleigh Ghanbari,TWU,VT,9.750,,,,,,Y,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.75,9.75
1,6,Sophia Isbell,TWU,VT,9.825,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.80,9.85
1,7,Juliaunna Baker,TWU,VT,9.700,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.70,9.70
1,1,Elliot Bringhurst,Southern Utah,VT,9.725,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.70,9.75
1,2,Niya Randolph,Southern Utah,VT,9.800,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.85,9.75
1,3,Kayla Pardue,Southern Utah,VT,9.750,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.75,9.75
1,4,Mackenzie Kelly,Southern Utah,VT,9.800,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.80,9.80
1,5,Vinciane Le Pen,Southern Utah,VT,9.800,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.95,9.95,9.80,9.80
1,6,Berlin Hall,Southern Utah,VT,9.800,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.90,9.90,9.80,9.80
2,1,Sophie Patterson,San Jose State,UB,9.400,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.50,9.30
2,2,Olivia Reardon,San Jose State,UB,9.750,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.75,9.75
2,3,Genesis PeBenito,San Jose State,UB,9.750,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.75,9.75
2,4,Victoria Kisch,San Jose State,UB,9.725,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.80,9.65
2,5,Samantha Macasu,San Jose State,UB,9.600,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.90,9.90,9.60,9.60
2,6,Kaviana Jurries,San Jose State,UB,9.825,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.85,9.80
2,7,Devyn Valuch,San Jose State,UB,9.675,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.65,9.70
2,8,Annabella Carrascoso,San Jose State,UB,9.525,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.45,9.60
2,1,Bailey Bourgeois,TWU,UB,9.675,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.60,9.75
2,2,Kami Zarlengo,TWU,UB,9.425,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.55,9.30
2,3,Juliaunna Baker,TWU,UB,9.575,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.55,9.60
2,4,Alaina Reid,TWU,UB,9.675,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.75,9.60
2,5,Brooke Ferrari,TWU,UB,9.700,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.70,9.70
2,6,Caroline Bowns,TWU,UB,9.775,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.75,9.80
2,7,Jordan Loock,TWU,UB,9.650,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.70,9.60
2,1,Niya Randolph,Southern Utah,UB,9.800,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.80,9.80
2,2,Mia Hampton,Southern Utah,UB,9.900,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.90,9.90
2,3,Ariel Collum,Southern Utah,UB,9.800,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.80,9.80
2,4,Maria Ferguson,Southern Utah,UB,9.625,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.70,9.55
2,5,Alex Routsis,Southern Utah,UB,9.725,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.75,9.70
2,6,Kendall McGuire,Southern Utah,UB,9.600,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.60,9.60
2,7,Sage Paladino,Southern Utah,UB,9.575,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.60,9.55
3,1,Marissa Ashton,San Jose State,BB,9.825,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.80,9.85
3,2,Samantha Macasu,San Jose State,BB,9.800,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.80,9.80
3,3,Devyn Valuch,San Jose State,BB,9.775,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.70,9.85
3,4,Mia Nelson,San Jose State,BB,9.775,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.80,9.75
3,5,Sophie Patterson,San Jose State,BB,9.825,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.80,9.85
3,6,Genesis PeBenito,San Jose State,BB,9.900,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.90,9.90
3,7,Olivia Reardon,San Jose State,BB,9.675,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.70,9.65
3,8,Kyra Cato,San Jose State,BB,9.575,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,10.00,10.00,9.50,9.65
3,1,Sophie Hernandez,TWU,BB,9.050,,,,,,,2/1/2026,San Jose State / TWU / Southern Utah,9.90,9.90,9.00,9.10
