Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Peyton Davis,Michigan,VT,9.825,,,,,,,2/1/2026,Michigan vs Michigan State,9.95,9.95,9.80,9.85
1,2,Ava Jordan,Michigan,VT,9.125,,,,,,,2/1/2026,Michigan vs Michigan State,9.95,9.95,9.15,9.10
1,3,Reyna Guggino,Michigan,VT,9.900,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.90,9.90
1,4,Kayli Boozer,Michigan,VT,9.875,,,,,,,2/1/2026,Michigan vs Michigan State,9.95,9.95,9.85,9.90
1,5,Sophia Diaz,Michigan,VT,9.875,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.85,9.90
1,6,Jahzara Ranger,Michigan,VT,9.850,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.85,9.85
1,7,Audrey Sanger,Michigan,VT,9.750,,,,,,,2/1/2026,Michigan vs Michigan State,9.95,9.95,9.75,9.75
1,1,Cady Duplissis,Michigan State,VT,9.275,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.30,9.25
1,2,Korynne Marquart,Michigan State,VT,9.850,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.85,9.85
1,3,MaKayla Tucker,Michigan State,VT,9.850,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.85,9.85
1,4,Nikki Smith,Michigan State,VT,9.825,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.85,9.80
1,5,Olivia Zsarmani,Michigan State,VT,9.925,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.95,9.90
1,6,Sage Kellerman,Michigan State,VT,9.975,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.95,10.00
1,7,Emma Misenheimer,Michigan State,VT,9.625,,,,,,,2/1/2026,Michigan vs Michigan State,9.95,9.95,9.60,9.65
2,1,Ava Jordan,Michigan,UB,9.925,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.95,9.90
2,2,Lily Clapper,Michigan,UB,9.650,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.65,9.65
2,3,Sophia Diaz,Michigan,UB,9.800,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.75,9.85
2,4,Myli Lew,Michigan,UB,9.850,,,,,,,2/1/2026,Michigan vs Michigan State,10.00,10.00,9.80,9.90
