Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Sydney Kho,Boise State,VT,9.750,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.80,9.70
1,2,Miraya Nero,Boise State,VT,9.775,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.80,9.75
1,3,Bridget Kemp,Boise State,VT,9.775,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.80,9.75
1,4,Noelle Ball,Boise State,VT,9.750,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.85,9.65
1,5,Isabella Delarosa,Boise State,VT,9.800,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.90,9.90,9.80,9.80
1,1,Devyn Valuch,San Jose State,VT,9.775,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.80,9.75
1,2,Samantha Macasu,San Jose State,VT,9.750,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.75,9.75
1,3,Ava Johnson,San Jose State,VT,9.850,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.85,9.85
1,4,Kaviana Jurries,San Jose State,VT,9.875,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.90,9.85
1,5,Sophie Patterson,San Jose State,VT,9.875,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.85,9.90
1,6,Mikaela Pitts,San Jose State,VT,9.825,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.80,9.85
1,7,Olivia Reardon,San Jose State,VT,9.750,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.80,9.70
1,1,Kyanna Crabb,Oregon State,VT,9.850,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.85,9.85
1,2,Reina Marchal,Oregon State,VT,9.700,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.70,9.70
1,3,Savannah Miller,Oregon State,VT,9.800,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.80,9.80
1,4,Camryn Richardson,Oregon State,VT,9.775,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.80,9.75
1,5,Sophia Esposito,Oregon State,VT,9.825,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.80,9.85
1,6,Olivia Buckner,Oregon State,VT,9.775,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.75,9.80
1,7,Katie Rude,Oregon State,VT,9.550,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.55,9.55
1,1,Molly Osborne,UC Davis,VT,9.625,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.90,9.90,9.60,9.65
1,2,Avah Reichow,UC Davis,VT,9.250,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.20,9.30
1,3,Chloe Gann,UC Davis,VT,9.700,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.70,9.70
1,4,Amelia Moneymaker,UC Davis,VT,9.800,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.80,9.80
1,5,Alana Kim,UC Davis,VT,9.700,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.95,9.95,9.65,9.75
2,1,Carly Buell,Boise State,UB,9.800,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.80,9.80
2,2,Noelle Ball,Boise State,UB,9.725,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.75,9.70
2,3,Miraya Nero,Boise State,UB,8.825,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.80,9.60,8.95,8.70
2,4,Mahleea Werline,Boise State,UB,9.725,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.70,9.75
2,5,Kristina Shchennikova,Boise State,UB,9.875,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.90,9.85
2,6,Kylee Hamby,Boise State,UB,9.850,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.80,9.90
2,7,Sydney Leitch,Boise State,UB,9.500,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.55,9.45
2,1,Sophie Patterson,San Jose State,UB,9.750,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.70,9.80
2,2,Olivia Reardon,San Jose State,UB,8.975,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.90,9.90,9.10,8.85
2,3,Genesis PeBenito,San Jose State,UB,9.750,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.75,9.75
2,4,Victoria Kisch,San Jose State,UB,9.850,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.85,9.85
2,5,Samantha Macasu,San Jose State,UB,9.800,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.80,9.80
2,6,Kaviana Jurries,San Jose State,UB,9.825,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.80,9.85
2,7,Devyn Valuch,San Jose State,UB,9.775,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.80,9.75
2,1,Savannah Miller,Oregon State,UB,9.725,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.75,9.70
2,2,Francesca Caso,Oregon State,UB,9.825,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.80,9.85
2,3,Kaylee Cheek,Oregon State,UB,9.850,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.85,9.85
2,4,Sophia Esposito,Oregon State,UB,9.725,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.70,9.75
2,5,Camryn Richardson,Oregon State,UB,9.825,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.80,9.85
2,6,Ellie Weaver,Oregon State,UB,9.875,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.85,9.90
2,7,Sophia Kaloudis,Oregon State,UB,9.800,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.80,9.80
2,1,Jehaan Poonja,UC Davis,UB,8.825,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,9.80,9.80,8.65,9.00
2,2,McKenna Knecht,UC Davis,UB,9.650,,,,,,,2/6/2026,Boise State / SJSU / Oregon State / UC Davis,10.00,10.00,9.70,9.60
