Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Maura Erickson,Hamline,VT,9.300,,,,,,,2/6/2026,Hamline vs Gustavus,9.60,9.60,9.25,9.35
1,2,Carly Banta,Hamline,VT,9.175,,,,,,,2/6/2026,Hamline vs Gustavus,9.60,9.60,9.15,9.20
1,3,Clara Gilles,Hamline,VT,9.225,,,,,,,2/6/2026,Hamline vs Gustavus,9.60,9.60,9.20,9.25
1,4,Ashley Savell,Hamline,VT,9.150,,,,,,,2/6/2026,Hamline vs Gustavus,9.60,9.60,9.15,9.15
1,5,Sydney Stoenner,Hamline,VT,9.200,,,,,,,2/6/2026,Hamline vs Gustavus,9.80,9.80,9.10,9.30
1,6,Laurel Raymond,Hamline,VT,9.275,,,,,,,2/6/2026,Hamline vs Gustavus,9.75,9.75,9.25,9.30
1,7,Riley Hintz,Hamline,VT,8.975,,,,,,,2/6/2026,Hamline vs Gustavus,9.80,9.80,8.95,9.00
1,8,Anna Johnson,Hamline,VT,8.925,,,,,,,2/6/2026,Hamline vs Gustavus,9.60,9.60,8.80,9.05
1,1,Malia Narciso,Gustavus,VT,9.450,,,,,,,2/6/2026,Hamline vs Gustavus,9.80,9.80,9.50,9.40
1,2,Taylor Hall,Gustavus,VT,9.475,,,,,,,2/6/2026,Hamline vs Gustavus,9.75,9.75,9.45,9.50
1,3,Zara Reboks,Gustavus,VT,9.300,,,,,,,2/6/2026,Hamline vs Gustavus,9.75,9.75,9.25,9.35
1,4,Kate Clairmont,Gustavus,VT,9.600,,,,,,,2/6/2026,Hamline vs Gustavus,9.95,9.95,9.60,9.60
1,5,Cara Wong,Gustavus,VT,9.400,,,,,Y,,2/6/2026,Hamline vs Gustavus,9.90,9.90,9.40,9.40
1,6,Cecilia Athie,Gustavus,VT,8.725,,,,,,,2/6/2026,Hamline vs Gustavus,9.90,9.90,8.60,8.85
2,1,Lily Ramsdell,Hamline,UB,8.225,,,,,,,2/6/2026,Hamline vs Gustavus,9.60,9.40,8.10,8.35
2,2,Ashley Savell,Hamline,UB,8.975,,,,,,,2/6/2026,Hamline vs Gustavus,9.50,9.50,8.95,9.00
2,3,Katie Chai-Mulkerin,Hamline,UB,9.100,,,,,,,2/6/2026,Hamline vs Gustavus,9.80,9.80,9.15,9.05
2,4,Clara Gilles,Hamline,UB,8.300,,,,,,,2/6/2026,Hamline vs Gustavus,9.70,9.70,8.30,8.30
2,5,Carly Banta,Hamline,UB,9.275,,,,,,,2/6/2026,Hamline vs Gustavus,10.00,10.00,9.35,9.20
2,6,Ava Walters,Hamline,UB,8.600,,,,,,,2/6/2026,Hamline vs Gustavus,9.60,9.60,8.60,8.60
2,7,Emma Witterstaetter,Hamline,UB,8.525,,,,,,,2/6/2026,Hamline vs Gustavus,9.50,9.50,8.65,8.40
2,8,Caroline Guptill,Hamline,UB,8.300,,,,,,,2/6/2026,Hamline vs Gustavus,9.00,9.10,8.50,8.10
2,1,Makenna Aldrich,Gustavus,UB,8.525,,,,,,,2/6/2026,Hamline vs Gustavus,9.20,9.20,8.60,8.45
2,2,Zara Reboks,Gustavus,UB,8.425,,,,,,,2/6/2026,Hamline vs Gustavus,9.80,9.80,8.20,8.65
2,3,Mariah Sikon,Gustavus,UB,8.775,,,,,,,2/6/2026,Hamline vs Gustavus,9.60,9.60,8.80,8.75
