Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Samantha Nickle,NIU: NIU vs Western Michigan,VT,9.525,,,,,,Y,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.45,9.60
1,2,Jocelyn Harbeck,NIU: NIU vs Western Michigan,VT,9.675,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.70,9.65
1,3,Drake White,NIU: NIU vs Western Michigan,VT,9.750,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.75,9.75
1,4,Audrey Brenner,NIU: NIU vs Western Michigan,VT,9.750,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.70,9.80
1,5,Dawsyn Sallee,NIU: NIU vs Western Michigan,VT,9.775,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.75,9.80
1,6,Mikayla Brown,NIU: NIU vs Western Michigan,VT,9.800,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.80,9.80
1,7,Deziray Boykin,NIU: NIU vs Western Michigan,VT,9.475,,,,,,Y,2/6/2026,NIU / Western Michigan / WVU,9.80,9.80,9.40,9.55
1,1,Hannah Milton,Western Michigan: NIU vs Western Michigan,VT,9.750,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.75,9.75
1,2,Aliyah Kelly,Western Michigan: NIU vs Western Michigan,VT,9.625,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.65,9.60
1,3,Kennedy Cooper,Western Michigan: NIU vs Western Michigan,VT,9.800,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.80,9.80
1,4,Brooke Gelesko,Western Michigan: NIU vs Western Michigan,VT,9.800,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.85,9.75
1,5,Isabella Ciolfi,Western Michigan: NIU vs Western Michigan,VT,9.825,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.80,9.85
1,6,Makenna King,Western Michigan: NIU vs Western Michigan,VT,9.650,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.70,9.60
1,1,Emerson Smith,WVU,VT,9.800,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.80,9.80
1,2,Kayla Smith,WVU,VT,9.800,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.80,9.80
1,3,Carlee Nelson,WVU,VT,9.750,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.75,9.75
1,4,Taylor Tuohy,WVU,VT,9.825,,,,,,Y,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.85,9.80
1,5,Karleigh DiCello,WVU,VT,9.675,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.65,9.70
1,6,Sophia Rice,WVU,VT,9.750,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.70,9.80
1,7,Amber Lowe,WVU,VT,9.700,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.95,9.95,9.70,9.70
2,1,Avery Riiff,NIU: NIU vs Western Michigan,UB,9.750,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.75,9.75
2,2,Elizabeth Poncin,NIU: NIU vs Western Michigan,UB,9.625,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.60,9.65
2,3,Drake White,NIU: NIU vs Western Michigan,UB,9.600,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.50,9.70
2,4,Maria King,NIU: NIU vs Western Michigan,UB,8.675,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.90,9.90,8.80,8.55
2,5,Deziray Boykin,NIU: NIU vs Western Michigan,UB,9.725,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.75,9.70
2,6,Makenna Brooks,NIU: NIU vs Western Michigan,UB,9.525,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.50,9.55
2,7,Savannah West,NIU: NIU vs Western Michigan,UB,8.775,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.80,9.80,8.75,8.80
2,8,Audrey Brenner,NIU: NIU vs Western Michigan,UB,8.575,,,,,,,2/6/2026,NIU / Western Michigan / WVU,9.80,9.80,8.35,8.80
2,1,Reilan Garvey,Western Michigan: NIU vs Western Michigan,UB,9.725,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.75,9.70
2,2,Casey Mooney,Western Michigan: NIU vs Western Michigan,UB,9.725,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.70,9.75
2,3,Reese Samuelson,Western Michigan: NIU vs Western Michigan,UB,9.850,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.85,9.85
2,4,Kate Parks,Western Michigan: NIU vs Western Michigan,UB,9.800,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.80,9.80
2,5,Makenna King,Western Michigan: NIU vs Western Michigan,UB,9.750,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.75,9.75
2,6,Julie Korfhage,Western Michigan: NIU vs Western Michigan,UB,9.825,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.80,9.85
2,7,Aliyah Kelly,Western Michigan: NIU vs Western Michigan,UB,9.650,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.60,9.70
2,8,Sidnei Heubach,Western Michigan: NIU vs Western Michigan,UB,9.575,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.55,9.60
2,1,Kaelyn Skeel,WVU,UB,9.700,,,,,,,2/6/2026,NIU / Western Michigan / WVU,10.00,10.00,9.70,9.70
