Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Hannah Scheible,Oklahoma,VT,9.800,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.80,9.80
1,2,Keira Wells,Oklahoma,VT,9.850,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.85,9.85
1,3,Elizabeth Blessey,Oklahoma,VT,9.825,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.80,9.85
1,4,Mackenzie Estep,Oklahoma,VT,9.950,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.95,9.95
1,5,Elle Mueller,Oklahoma,VT,9.925,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.95,9.90
1,6,Addison Fatta,Oklahoma,VT,9.975,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,10.00,9.95
1,1,Jamison Sears,Alabama,VT,9.875,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.85,9.90
1,2,Chloe LaCoursiere,Alabama,VT,9.825,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.85,9.80
1,3,Jordyn Paradise,Alabama,VT,9.875,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.90,9.85
1,4,Gabby Gladieux,Alabama,VT,9.825,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.85,9.80
1,5,Azaraya Ra-Akbar,Alabama,VT,9.950,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.95,9.95
1,6,Jasmine Cawley,Alabama,VT,9.650,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.65,9.65
2,1,Lily Pederson,Oklahoma,UB,9.925,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.95,9.90
2,2,Ella Murphy,Oklahoma,UB,9.925,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.90,9.95
2,3,Hannah Scheible,Oklahoma,UB,9.825,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.80,9.85
2,4,Addison Fatta,Oklahoma,UB,9.900,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.85,9.95
2,5,Faith Torrez,Oklahoma,UB,9.900,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.90,9.90
2,6,Mackenzie Estep,Oklahoma,UB,9.925,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.95,9.90
2,1,Paityn Walker,Alabama,UB,9.875,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.90,9.85
2,2,Gabby Gladieux,Alabama,UB,9.850,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.85,9.85
2,3,Ryan Fuller,Alabama,UB,9.800,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.80,9.80
2,4,Natalia Pawlak,Alabama,UB,9.825,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.80,9.85
2,5,Chloe LaCoursiere,Alabama,UB,9.925,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.90,9.95
2,6,Azaraya Ra-Akbar,Alabama,UB,9.900,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.90,9.90
3,1,Addison Fatta,Oklahoma,BB,9.900,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.95,9.85
3,2,Keira Wells,Oklahoma,BB,9.900,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.90,9.90
3,3,Ella Murphy,Oklahoma,BB,9.825,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.85,9.80
3,4,Mackenzie Estep,Oklahoma,BB,9.775,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.80,9.75
3,5,Lily Pederson,Oklahoma,BB,9.925,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.90,9.95
3,6,Faith Torrez,Oklahoma,BB,9.975,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,10.00,9.95
3,1,Chloe LaCoursiere,Alabama,BB,9.800,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.80,9.80
3,2,Jasmine Cawley,Alabama,BB,9.900,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.90,9.90
3,3,Gabby Ladanyi,Alabama,BB,9.800,,,,,,,2/6/2026,Oklahoma vs Alabama,10.00,10.00,9.80,9.80
