Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Safia El Mammann,Arizona State,VT,9.850,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.85,9.85
1,2,Robyn Wilson,Arizona State,VT,9.775,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.80,9.75
1,3,Jessica Rosenberg,Arizona State,VT,9.725,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.70,9.75
1,4,Delanie Kelly,Arizona State,VT,9.725,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.70,9.75
1,5,Lilia Purler,Arizona State,VT,9.700,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.70,9.70
1,6,Kimberly Smith,Arizona State,VT,9.825,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.85,9.80
1,7,Halle Braaflat,Arizona State,VT,9.275,,,,,,,2/7/2026,Arizona State vs Denver,10.00,10.00,9.25,9.30
1,8,Kaydence Lockhart,Arizona State,VT,9.525,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.50,9.55
1,1,Amanda Hargraves,Denver,VT,9.725,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.75,9.70
1,2,Sevana Kasparian,Denver,VT,9.800,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.80,9.80
1,3,Cecilia Cooley,Denver,VT,9.800,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.80,9.80
1,4,Maddison Reidenbach,Denver,VT,9.825,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.85,9.80
1,5,Shyla Bhatia,Denver,VT,9.825,,,,,,,2/7/2026,Arizona State vs Denver,10.00,10.00,9.85,9.80
1,6,Kiley Rorich,Denver,VT,9.750,,,,,,,2/7/2026,Arizona State vs Denver,10.00,10.00,9.70,9.80
1,7,Addie Hewitt,Denver,VT,9.825,,,,,,,2/7/2026,Arizona State vs Denver,9.95,9.95,9.80,9.85
2,1,Reese Grolla,Arizona State,UB,9.825,,,,,,,2/7/2026,Arizona State vs Denver,10.00,10.00,9.80,9.85
