Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Kyler Hinson,Greenville: Greenville / Simpson / California,FX,13.200,4.7,8.400,,0.1,,,2/7/2026,Greenville / California / Simpson,4.7,1.5,1.7
1,2,Elijah Cruz,Greenville: Greenville / Simpson / California,FX,11.800,4.5,7.300,,,,,2/7/2026,Greenville / California / Simpson,4.5,2.7,2.7
1,3,Ethan Poole,Greenville: Greenville / Simpson / California,FX,13.100,4.7,8.400,,,,,2/7/2026,Greenville / California / Simpson,4.7,1.6,1.6
1,4,Jaxon Clapper,Greenville: Greenville / Simpson / California,FX,13.300,4.8,8.500,,,,,2/7/2026,Greenville / California / Simpson,4.8,1.5,1.5
1,1,Tucker Yasunaga,California: Greenville / Simpson / California,FX,13.250,4.7,8.550,,,,,2/7/2026,Greenville / California / Simpson,4.7,1.4,1.5
1,2,Kaien Orion,California: Greenville / Simpson / California,FX,12.250,4.6,7.650,,,,,2/7/2026,Greenville / California / Simpson,4.6,2.4,2.3
1,3,Trigg Dudley,California: Greenville / Simpson / California,FX,11.150,5.0,6.150,,,,,2/7/2026,Greenville / California / Simpson,5.0,4.0,3.7
1,4,Nathan Underhill,California: Greenville / Simpson / California,FX,12.650,4.9,7.750,,,,,2/7/2026,Greenville / California / Simpson,4.9,2.4,2.1
1,1,Garrett Alexander,Simpson,FX,12.500,4.2,8.300,,,,,2/7/2026,Greenville / California / Simpson,4.2,1.7,1.7
1,2,Sterling Pariza,Simpson,FX,10.900,4.3,6.600,,,,,2/7/2026,Greenville / California / Simpson,4.3,3.3,3.5
1,3,Jake Smith,Simpson,FX,12.500,4.8,7.700,,,,,2/7/2026,Greenville / California / Simpson,4.8,2.3,2.3
1,4,Braxton Jones,Simpson,FX,12.400,4.6,7.700,,0.1,,,2/7/2026,Greenville / California / Simpson,4.6,2.4,2.2
1,5,Noah Doiron,Simpson,FX,12.250,4.3,7.950,,,,,2/7/2026,Greenville / California / Simpson,4.3,2.1,2.0
2,1,Jacob Foster,Greenville: Greenville / Simpson / California,PH,12.750,3.8,8.950,,,,,2/7/2026,Greenville / California / Simpson,3.8,1.0,1.1
2,2,Andres Esquivel-Garza,Greenville: Greenville / Simpson / California,PH,10.650,3.6,7.050,,,,,2/7/2026,Greenville / California / Simpson,3.6,2.7,3.2
2,3,Kyler Hinson,Greenville: Greenville / Simpson / California,PH,13.500,4.6,8.900,,,,,2/7/2026,Greenville / California / Simpson,4.6,1.0,1.2
2,4,Matthew Roth,Greenville: Greenville / Simpson / California,PH,13.450,5.0,8.450,,,,,2/7/2026,Greenville / California / Simpson,5.0,1.6,1.5
2,1,Kaien Orion,California: Greenville / Simpson / California,PH,13.250,4.9,8.350,,,,,2/7/2026,Greenville / California / Simpson,4.9,1.8,1.5
2,2,Davide Comparin,California: Greenville / Simpson / California,PH,12.600,4.5,8.100,,,,,2/7/2026,Greenville / California / Simpson,4.5,2.0,1.8
