Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,McCall McMullen,UNH,VT,9.700,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.65,9.75
1,2,Amelia Lannon,UNH,VT,9.775,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.80,9.75
1,3,Serena Mullin,UNH,VT,9.550,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.60,9.50
1,4,Mady Harvey,UNH,VT,9.825,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.85,9.80
1,5,Gwen Ockerbloom,UNH,VT,9.850,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.85,9.85
1,6,Stacy Boss,UNH,VT,9.775,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.80,9.75
1,1,Ava Sutphen,Temple,VT,9.575,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.60,9.55
1,2,Kyrstin Johnson,Temple,VT,9.650,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.65,9.65
1,3,Brooklyn Thomas,Temple,VT,9.550,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.60,9.50
1,4,Jade Harden,Temple,VT,9.825,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.85,9.80
1,5,Nikki Rengifo,Temple,VT,9.575,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.50,9.65
1,6,Amelia Budd,Temple,VT,9.800,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.80,9.80
1,7,Hailey Best,Temple,VT,9.650,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.75,9.55
1,8,Tali Flanigan,Temple,VT,9.500,,,,,,,2/8/2026,UNH vs Temple,9.95,9.95,9.40,9.60
2,1,Poulina Minaev,UNH,UB,9.675,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.65
2,2,Mady Harvey,UNH,UB,9.725,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.75
2,3,Peyton Novinger,UNH,UB,9.700,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.70
2,4,Zoe Arthur,UNH,UB,9.775,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.80,9.75
2,5,Serena Mullin,UNH,UB,9.850,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.90,9.80
2,6,Leah Moreno,UNH,UB,5.050,,,,,,,2/8/2026,UNH vs Temple,5.70,5.70,5.00,5.10
2,7,Gwen Ockerbloom,UNH,UB,9.750,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.80
2,8,Abby Scherban,UNH,UB,9.650,,,,,,,2/8/2026,UNH vs Temple,10.00,9.90,9.70,9.60
2,1,Reese DeHaan,Temple,UB,9.600,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.50
2,2,Mariella Brueck,Temple,UB,9.750,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.80,9.70
2,3,Ava Sutphen,Temple,UB,9.700,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.75,9.65
2,4,Megan White,Temple,UB,9.725,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.75
2,5,Robyn Dunne,Temple,UB,9.750,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.80,9.70
2,6,Ella Beck,Temple,UB,9.675,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.65
2,7,Emma Reathaford,Temple,UB,8.825,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,8.80,8.85
3,1,Poulina Minaev,UNH,BB,9.650,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.60
3,2,Riley Himes,UNH,BB,9.000,,,,,,,2/8/2026,UNH vs Temple,9.80,9.80,9.00,9.00
3,3,McCall McMullen,UNH,BB,9.700,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.70
3,4,Gwen Ockerbloom,UNH,BB,9.700,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.80,9.60
3,5,Serena Mullin,UNH,BB,9.800,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.85,9.75
3,6,Mady Harvey,UNH,BB,9.850,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.85,9.85
3,7,Shannon Stivala,UNH,BB,9.700,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.70
3,8,Peyton Novinger,UNH,BB,9.425,,,,,,,2/8/2026,UNH vs Temple,9.80,9.80,9.55,9.30
3,1,Hailey Best,Temple,BB,9.775,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.80,9.75
3,2,Ella Beck,Temple,BB,9.675,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.65,9.70
3,3,Megan White,Temple,BB,9.625,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.55
3,4,Ava Sutphen,Temple,BB,8.125,,,,,,,2/8/2026,UNH vs Temple,9.80,9.70,8.15,8.10
3,5,Robyn Dunne,Temple,BB,9.575,,,,,,,2/8/2026,UNH vs Temple,9.90,9.90,9.60,9.55
3,6,Nikki Rengifo,Temple,BB,9.850,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.85,9.85
3,7,Jade Harden,Temple,BB,8.775,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,8.70,8.85
3,8,Mariella Brueck,Temple,BB,9.450,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.50,9.40
4,1,Riley Himes,UNH,FX,9.650,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.65,9.65
4,2,Stacy Boss,UNH,FX,9.775,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.80,9.75
4,3,Gwen Ockerbloom,UNH,FX,9.850,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.85,9.85
4,4,McCall McMullen,UNH,FX,9.875,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.85,9.90
4,5,Poulina Minaev,UNH,FX,9.850,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.90,9.80
4,6,Serena Mullin,UNH,FX,9.900,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.90,9.90
4,7,Peyton Novinger,UNH,FX,9.825,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.85,9.80
4,8,Amelia Lannon,UNH,FX,9.700,,,,,,Y,2/8/2026,UNH vs Temple,10.00,10.00,9.65,9.75
4,1,Ella Beck,Temple,FX,9.750,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.80
4,2,Tali Flanigan,Temple,FX,9.575,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.65,9.50
4,3,Mariella Brueck,Temple,FX,9.825,,,,,,,2/8/2026,UNH vs Temple,10.00,9.90,9.85,9.80
4,4,Amelia Budd,Temple,FX,9.850,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.85,9.85
4,5,Nikki Rengifo,Temple,FX,9.825,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.80,9.85
4,6,Brooklyn Thomas,Temple,FX,9.725,,,,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.75,9.70
4,7,Jade Harden,Temple,FX,9.600,,,0.1,,,Y,2/8/2026,UNH vs Temple,10.00,10.00,9.70,9.70
4,8,Robyn Dunne,Temple,FX,9.400,,,0.1,,,,2/8/2026,UNH vs Temple,10.00,10.00,9.45,9.55
