Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Keira Thornton,Bowling Green,VT,9.625,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.95,9.95,9.65,9.60
1,2,Emily Gianfrancesco,Bowling Green,VT,9.675,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.95,9.95,9.65,9.70
1,3,Madison Coburn,Bowling Green,VT,9.525,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.95,9.95,9.55,9.50
1,4,Megan Dzialo,Bowling Green,VT,9.725,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.95,9.95,9.75,9.70
1,5,Addie Tandeski,Bowling Green,VT,9.425,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.75,9.75,9.50,9.35
1,6,Teegan Milligan,Bowling Green,VT,9.325,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.75,9.75,9.25,9.40
1,7,Natasha Lopez,Bowling Green,VT,9.375,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.95,9.95,9.50,9.25
1,1,Mikayla Clements,Wilberforce,VT,9.050,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.60,9.50,9.15,8.95
1,2,Promise Jean-Marie,Wilberforce,VT,9.200,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.75,9.75,9.10,9.30
1,3,Jaidyn Bryant,Wilberforce,VT,7.500,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.75,9.50,7.75,7.25
1,4,Mya Caines,Wilberforce,VT,9.400,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.75,9.75,9.35,9.45
1,5,Hannah Gouldbourne,Wilberforce,VT,8.500,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.75,9.75,8.25,8.75
1,6,Sydney Smith,Wilberforce,VT,9.375,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.75,9.75,9.25,9.50
1,1,Kennedi Johnson,Fisk,VT,9.400,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.90,9.90,9.30,9.50
1,2,Hadassah Diggs,Fisk,VT,9.575,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.90,9.90,9.55,9.60
1,3,Ciniah Rosby,Fisk,VT,9.625,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.95,9.95,9.65,9.60
1,4,Aliyah Reed-Hammon,Fisk,VT,9.625,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.95,9.95,9.60,9.65
1,5,Allie Berkley,Fisk,VT,9.600,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.95,9.95,9.60,9.60
1,6,Makia Rosado,Fisk,VT,9.450,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.95,9.95,9.50,9.40
2,1,Megan Dzialo,Bowling Green,UB,9.550,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,10.00,10.00,9.60,9.50
2,2,Natasha Lopez,Bowling Green,UB,9.675,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,10.00,10.00,9.75,9.60
2,3,Addie Tandeski,Bowling Green,UB,9.375,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,9.80,9.80,9.40,9.35
2,4,Kayla Shaw,Bowling Green,UB,9.650,,,,,,,2/8/2026,Bowling Green / Wilberforce / Fisk,10.00,10.00,9.70,9.60
