Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Brianna Cassin,Springfield: Springfield / RIC / Brown,VT,9.350,,,,,,,2/8/2026,Springfield / Brown / RIC,9.80,9.80,9.30,9.40
1,2,Claire Geiger,Springfield: Springfield / RIC / Brown,VT,9.325,,,,,,,2/8/2026,Springfield / Brown / RIC,9.75,9.75,9.40,9.25
1,3,Sophie Dunham,Springfield: Springfield / RIC / Brown,VT,9.500,,,,,,,2/8/2026,Springfield / Brown / RIC,9.80,9.80,9.50,9.50
1,4,Kora Donley,Springfield: Springfield / RIC / Brown,VT,9.525,,,,,,,2/8/2026,Springfield / Brown / RIC,9.75,9.75,9.50,9.55
1,5,Sage Kaplan,Springfield: Springfield / RIC / Brown,VT,9.550,,,,,,,2/8/2026,Springfield / Brown / RIC,9.75,9.75,9.55,9.55
1,6,Stacy Taylor,Springfield: Springfield / RIC / Brown,VT,9.625,,,,,,,2/8/2026,Springfield / Brown / RIC,9.80,9.80,9.60,9.65
1,7,Reagan Charlton,Springfield: Springfield / RIC / Brown,VT,9.400,,,,,,,2/8/2026,Springfield / Brown / RIC,9.75,9.75,9.40,9.40
1,8,Paige Rossi,Springfield: Springfield / RIC / Brown,VT,8.650,,,,,,,2/8/2026,Springfield / Brown / RIC,9.90,9.90,8.50,8.80
1,1,Jessica Lin,Brown: Springfield / RIC / Brown,VT,9.550,,,,,,,2/8/2026,Springfield / Brown / RIC,9.75,9.75,9.55,9.55
1,2,Gabby Mautner,Brown: Springfield / RIC / Brown,VT,9.675,,,,,,,2/8/2026,Springfield / Brown / RIC,9.90,9.90,9.65,9.70
1,3,Emily Ford,Brown: Springfield / RIC / Brown,VT,9.750,,,,,,,2/8/2026,Springfield / Brown / RIC,9.90,9.90,9.75,9.75
1,4,Lulu Ton-That,Brown: Springfield / RIC / Brown,VT,9.825,,,,,,,2/8/2026,Springfield / Brown / RIC,9.95,9.90,9.85,9.80
1,5,Sophia Dewar,Brown: Springfield / RIC / Brown,VT,9.775,,,,,,,2/8/2026,Springfield / Brown / RIC,9.95,9.95,9.80,9.75
1,1,Payton Smith,RIC: Springfield / RIC / Brown,VT,9.325,,,,,,,2/8/2026,Springfield / Brown / RIC,9.75,9.75,9.40,9.25
1,2,Elizabeth Hoyos,RIC: Springfield / RIC / Brown,VT,9.325,,,,,,,2/8/2026,Springfield / Brown / RIC,9.75,9.75,9.30,9.35
1,3,Mila Beckhom,RIC: Springfield / RIC / Brown,VT,9.300,,,,,,,2/8/2026,Springfield / Brown / RIC,9.75,9.75,9.25,9.35
1,4,Emily Voss,RIC: Springfield / RIC / Brown,VT,9.350,,,,,,,2/8/2026,Springfield / Brown / RIC,9.75,9.75,9.40,9.30
1,5,Molly Pompeii,RIC: Springfield / RIC / Brown,VT,9.675,,,,,,,2/8/2026,Springfield / Brown / RIC,9.95,9.95,9.70,9.65
1,6,Payton Greene,RIC: Springfield / RIC / Brown,VT,9.650,,,,,,,2/8/2026,Springfield / Brown / RIC,9.90,9.90,9.60,9.70
2,1,Claire Geiger,Springfield: Springfield / RIC / Brown,UB,8.900,,,,,,,2/8/2026,Springfield / Brown / RIC,9.60,9.60,8.90,8.90
2,2,Sage Kaplan,Springfield: Springfield / RIC / Brown,UB,9.225,,,,,,,2/8/2026,Springfield / Brown / RIC,9.70,9.70,9.15,9.30
2,3,Liz Lehan,Springfield: Springfield / RIC / Brown,UB,8.475,,,,,,,2/8/2026,Springfield / Brown / RIC,9.60,9.40,8.40,8.55
2,4,Sydney Bendick,Springfield: Springfield / RIC / Brown,UB,8.200,,,,,,,2/8/2026,Springfield / Brown / RIC,9.60,9.60,8.30,8.10
2,5,Emma Skowronek,Springfield: Springfield / RIC / Brown,UB,8.650,,,,,,,2/8/2026,Springfield / Brown / RIC,9.70,9.70,8.40,8.90
2,6,Nicolette Giogas,Springfield: Springfield / RIC / Brown,UB,8.650,,,,,,,2/8/2026,Springfield / Brown / RIC,9.60,9.60,8.70,8.60
2,7,Kaitlyn Delaney,Springfield: Springfield / RIC / Brown,UB,8.325,,,,,,,2/8/2026,Springfield / Brown / RIC,9.40,9.40,8.40,8.25
2,8,Taylor Fewins,Springfield: Springfield / RIC / Brown,UB,5.900,,,,,,,2/8/2026,Springfield / Brown / RIC,9.20,9.30,5.40,6.40
2,1,Addy Whiteside,Brown: Springfield / RIC / Brown,UB,9.450,,,,,,,2/8/2026,Springfield / Brown / RIC,10.00,10.00,9.40,9.50
2,2,Lulu Ton-That,Brown: Springfield / RIC / Brown,UB,9.650,,,,,,,2/8/2026,Springfield / Brown / RIC,10.00,10.00,9.65,9.65
2,3,Daisy Fallon,Brown: Springfield / RIC / Brown,UB,9.625,,,,,,,2/8/2026,Springfield / Brown / RIC,10.00,10.00,9.60,9.65
2,4,Sophia Dewar,Brown: Springfield / RIC / Brown,UB,9.675,,,,,,,2/8/2026,Springfield / Brown / RIC,10.00,10.00,9.75,9.60
2,5,Liza Marcus,Brown: Springfield / RIC / Brown,UB,9.700,,,,,,,2/8/2026,Springfield / Brown / RIC,10.00,10.00,9.65,9.75
