Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Katelynne Tatum,West Chester,VT,9.525,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.75,9.75,9.55,9.50
1,2,Karah Vargo,West Chester,VT,9.525,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.90,9.90,9.45,9.60
1,3,Ava Griffith,West Chester,VT,9.700,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.90,9.90,9.70,9.70
1,4,Alyson Sobczak,West Chester,VT,9.550,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.90,9.90,9.50,9.60
1,5,Sarah Eskew,West Chester,VT,9.575,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.95,9.95,9.60,9.55
1,6,Jaslyn McComeskey,West Chester,VT,9.150,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.90,9.90,9.20,9.10
1,7,Corinne Gruber,West Chester,VT,9.550,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.75,9.75,9.60,9.50
1,1,Elizabeth Toppi,Ursinus,VT,9.450,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.75,9.75,9.45,9.45
1,2,Valentina Hurtado,Ursinus,VT,9.550,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.80,9.80,9.55,9.55
1,3,Lily Stewart,Ursinus,VT,9.500,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.75,9.75,9.50,9.50
1,4,Michaela Duffy,Ursinus,VT,9.650,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.90,9.90,9.65,9.65
1,5,Sidney Schreiber,Ursinus,VT,9.725,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.95,9.95,9.75,9.70
1,6,Erin Roe,Ursinus,VT,9.800,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.95,9.95,9.80,9.80
1,7,LeeLee Sanders,Ursinus,VT,9.275,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.75,9.75,9.20,9.35
1,1,Reese Toland,Towson,VT,9.775,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.95,9.95,9.75,9.80
1,2,Jocelyn Lannon,Towson,VT,9.850,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.85,9.85
1,3,Isabella Minervini,Towson,VT,9.750,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.75,9.75
1,4,Adriana Hoffman,Towson,VT,9.775,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.95,9.95,9.80,9.75
1,5,Isabella DeCroo,Towson,VT,9.800,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.95,9.95,9.75,9.85
1,6,Faye Rodio,Towson,VT,9.600,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.60,9.60
1,7,Cameran Edwards,Towson,VT,9.650,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.95,9.95,9.70,9.60
2,1,Maddie McCullough,West Chester,UB,8.725,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.60,9.60,8.65,8.80
2,2,Karah Vargo,West Chester,UB,9.375,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.45,9.30
2,3,Lianna Schultz,West Chester,UB,9.500,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.50,9.50
2,4,Grace McNamara,West Chester,UB,9.475,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.55,9.40
2,5,Melina Ringas,West Chester,UB,9.500,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.50,9.50
2,6,Sarah Eskew,West Chester,UB,8.175,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.80,9.80,8.25,8.10
2,7,Hannah Shelton,West Chester,UB,8.550,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.70,9.80,8.40,8.70
2,8,Ava Griffith,West Chester,UB,8.525,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.50,9.50,8.50,8.55
2,1,Lauren Coleman,Ursinus,UB,9.250,,,,,,Y,2/13/2026,West Chester / Ursinus / Towson,9.80,9.80,9.20,9.30
2,2,Brianna Duffy,Ursinus,UB,8.550,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.80,9.80,8.60,8.50
2,3,LeeLee Sanders,Ursinus,UB,9.650,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.90,9.90,9.70,9.60
2,4,Lucy Warburton,Ursinus,UB,9.500,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.50,9.50
2,5,Gigi Boivin,Ursinus,UB,9.200,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.20,9.20
2,6,Erin Roe,Ursinus,UB,9.575,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.60,9.55
2,7,Geneva Watson,Ursinus,UB,6.350,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.00,9.00,6.20,6.50
2,1,Piper Slocum,Towson,UB,9.525,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.55,9.50
2,2,Hayden Gough,Towson,UB,9.725,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.70,9.75
2,3,Natalie Lindgren,Towson,UB,9.650,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.60,9.70
2,4,Lauren Greene,Towson,UB,9.250,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.20,9.30
2,5,Polina Belanovski,Towson,UB,9.700,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.75,9.65
2,6,Isabella Minervini,Towson,UB,9.800,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.80,9.80
2,7,Brissa Portillo,Towson,UB,9.650,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.60,9.70
3,1,Anna Lacey,West Chester,BB,9.650,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.60,9.70
3,2,Macarthy Keane,West Chester,BB,9.575,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.55,9.60
3,3,Katelynne Tatum,West Chester,BB,9.475,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.40,9.55
3,4,EmmaGrace Kelly,West Chester,BB,9.775,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.75,9.80
3,5,Lydia Stoner,West Chester,BB,9.600,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.55,9.65
3,6,Tatum McGuinn,West Chester,BB,9.725,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.80,9.65
3,7,Melina Ringas,West Chester,BB,9.625,,,,,,Y,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.60,9.65
3,8,Grace McNamara,West Chester,BB,9.600,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.70,9.50
3,1,Lucy Warburton,Ursinus,BB,9.650,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.65,9.65
3,2,Michaela Duffy,Ursinus,BB,9.550,,,,,,,2/13/2026,West Chester / Ursinus / Towson,9.90,9.90,9.50,9.60
3,3,LeeLee Sanders,Ursinus,BB,9.650,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.70,9.60
3,4,Sidney Schreiber,Ursinus,BB,9.575,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.50,9.65
3,5,Arianna Ellis,Ursinus,BB,9.725,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.65,9.80
3,6,Erin Roe,Ursinus,BB,9.600,,,,,,,2/13/2026,West Chester / Ursinus / Towson,10.00,10.00,9.55,9.65
