Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lexi Zeiss,LSU,VT,9.850,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.85,9.85
1,2,Victoria Roberts,LSU,VT,9.875,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.90,9.85
1,3,Courtney Blackson,LSU,VT,9.625,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.55,9.70
1,4,Kaliya Lincoln,LSU,VT,9.950,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.95,9.95
1,5,Amari Drayton,LSU,VT,9.900,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.90,9.90
1,6,Kailin Chio,LSU,VT,9.975,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.95,10.00
1,1,Jersie Woolsey,Auburn,VT,9.800,,,,,,,2/13/2026,LSU vs Auburn,9.95,9.95,9.85,9.75
1,2,Olivia Greaves,Auburn,VT,9.675,,,,,,,2/13/2026,LSU vs Auburn,9.95,9.95,9.70,9.65
1,3,Mia Leverton,Auburn,VT,9.875,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.85,9.90
1,4,Marissa Neal,Auburn,VT,9.875,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.90,9.85
1,5,Julianne Huff,Auburn,VT,9.850,,,,,,Y,2/13/2026,LSU vs Auburn,10.00,10.00,9.90,9.80
1,6,Paige Zancan,Auburn,VT,9.775,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.75,9.80
2,1,Lexi Zeiss,LSU,UB,9.875,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.85,9.90
2,2,Ashley Cowan,LSU,UB,9.875,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.90,9.85
2,3,Madison Ulrich,LSU,UB,9.900,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.90,9.90
2,4,Kailin Chio,LSU,UB,9.925,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.95,9.90
2,5,Nina Ballou,LSU,UB,9.900,,,,,,,2/13/2026,LSU vs Auburn,10.00,10.00,9.90,9.90
