Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Malia Narciso,Gustavus,VT,9.400,,,,,,,2/13/2026,Gustavus vs UWL,9.80,9.80,9.40,9.40
1,2,Ella Nash,Gustavus,VT,8.825,,,,,,,2/13/2026,Gustavus vs UWL,9.75,9.75,8.80,8.85
1,3,Zara Reboks,Gustavus,VT,8.850,,,,,,,2/13/2026,Gustavus vs UWL,9.75,9.75,8.75,8.95
1,4,Taylor Hall,Gustavus,VT,9.450,,,,,,,2/13/2026,Gustavus vs UWL,9.75,9.75,9.40,9.50
1,5,Cara Wong,Gustavus,VT,9.650,,,,,,,2/13/2026,Gustavus vs UWL,9.90,9.90,9.60,9.70
1,6,Kate Clairmont,Gustavus,VT,9.500,,,,,,,2/13/2026,Gustavus vs UWL,9.95,9.95,9.55,9.45
1,7,Cecilia Athie,Gustavus,VT,8.575,,,,,,,2/13/2026,Gustavus vs UWL,9.90,9.90,8.75,8.40
1,1,Lily Millington,UWL,VT,9.650,,,,,,,2/13/2026,Gustavus vs UWL,9.90,9.90,9.65,9.65
1,2,Sarah Pastore,UWL,VT,9.150,,,,,,,2/13/2026,Gustavus vs UWL,9.95,9.95,9.10,9.20
1,3,Lainey Vogt,UWL,VT,9.450,,,,,,,2/13/2026,Gustavus vs UWL,9.80,9.80,9.45,9.45
1,4,Ashley Dalton,UWL,VT,9.550,,,,,,,2/13/2026,Gustavus vs UWL,9.95,9.95,9.60,9.50
1,5,Cobi Powell,UWL,VT,9.550,,,,,,,2/13/2026,Gustavus vs UWL,9.95,9.95,9.60,9.50
1,6,Paige Breckwoldt,UWL,VT,9.525,,,,,,,2/13/2026,Gustavus vs UWL,9.95,9.95,9.45,9.60
1,7,Darby Savage,UWL,VT,9.300,,,,,,,2/13/2026,Gustavus vs UWL,9.90,9.90,9.40,9.20
2,1,Rocio Madalena Gora,Gustavus,UB,8.450,,,,,,,2/13/2026,Gustavus vs UWL,9.50,9.60,8.40,8.50
2,2,Zara Reboks,Gustavus,UB,8.775,,,,,,,2/13/2026,Gustavus vs UWL,9.80,9.80,8.65,8.90
2,3,Mariah Sikon,Gustavus,UB,8.325,,,,,,,2/13/2026,Gustavus vs UWL,9.40,9.40,8.30,8.35
2,4,Kate Clairmont,Gustavus,UB,9.150,,,,,,,2/13/2026,Gustavus vs UWL,9.90,9.90,9.00,9.30
2,5,Cara Wong,Gustavus,UB,8.750,,,,,,,2/13/2026,Gustavus vs UWL,9.90,9.90,8.65,8.85
2,6,Autumn Schmidt,Gustavus,UB,9.350,,,,,,,2/13/2026,Gustavus vs UWL,10.00,9.90,9.45,9.25
2,7,Vianni Brown,Gustavus,UB,8.925,,,,,,,2/13/2026,Gustavus vs UWL,9.70,9.70,8.90,8.95
2,8,Makenna Aldrich,Gustavus,UB,8.875,,,,,,,2/13/2026,Gustavus vs UWL,9.50,9.40,8.85,8.90
2,1,Grace Edwards,UWL,UB,9.400,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.30,9.50
2,2,Ashlyn Barker,UWL,UB,9.550,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.50,9.60
2,3,Azia Hawkins,UWL,UB,9.525,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.50,9.55
2,4,Lauren Main,UWL,UB,9.200,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.35,9.05
2,5,Claire Robbins,UWL,UB,9.575,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.60,9.55
2,6,Madalyn McCormick,UWL,UB,9.675,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.65,9.70
2,7,Elizabeth Janssen,UWL,UB,9.325,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.30,9.35
2,8,Lainey Vogt,UWL,UB,9.400,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.35,9.45
3,1,Megan Gille,Gustavus,BB,9.600,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.55,9.65
3,2,Autumn Schmidt,Gustavus,BB,9.475,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.50,9.45
3,3,Cara Wong,Gustavus,BB,8.325,,,,,,,2/13/2026,Gustavus vs UWL,9.40,9.40,8.20,8.45
3,4,Lacey Belcher,Gustavus,BB,8.250,,,,,,,2/13/2026,Gustavus vs UWL,9.40,9.40,8.20,8.30
3,5,Malia Narciso,Gustavus,BB,8.500,,,,,,,2/13/2026,Gustavus vs UWL,9.40,9.40,8.30,8.70
3,6,Kate Clairmont,Gustavus,BB,9.300,,,,,,,2/13/2026,Gustavus vs UWL,9.60,9.60,9.30,9.30
3,7,Mollie Ruch,Gustavus,BB,8.725,,,,,,,2/13/2026,Gustavus vs UWL,9.60,9.60,8.50,8.95
3,8,Olivia Ronning,Gustavus,BB,9.025,,,,,,,2/13/2026,Gustavus vs UWL,9.60,9.60,8.95,9.10
3,1,Lucy Warren,UWL,BB,9.700,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.70,9.70
3,2,Lainey Vogt,UWL,BB,9.625,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.65,9.60
3,3,Lauren Main,UWL,BB,9.625,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.60,9.65
3,4,Raina Christenson,UWL,BB,8.975,,,,,,,2/13/2026,Gustavus vs UWL,9.70,9.70,8.95,9.00
3,5,Madalyn McCormick,UWL,BB,9.725,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.70,9.75
3,6,Claire Robbins,UWL,BB,9.575,,,,,,,2/13/2026,Gustavus vs UWL,9.90,9.90,9.55,9.60
3,7,Darby Savage,UWL,BB,9.550,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.60,9.50
3,8,Cobi Powell,UWL,BB,9.650,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.60,9.70
4,1,Jenna Huikko,Gustavus,FX,8.950,,,0.2,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.10,9.20
4,2,Mollie Ruch,Gustavus,FX,9.375,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.25,9.50
4,3,Makenna Aldrich,Gustavus,FX,8.800,,,,,,,2/13/2026,Gustavus vs UWL,9.80,9.80,9.00,8.60
4,4,Megan Gille,Gustavus,FX,9.400,,,,,,,2/13/2026,Gustavus vs UWL,10.00,10.00,9.35,9.45
