Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Jenna Germond,CMU,VT,9.600,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.60,9.60
1,2,Alexandra Reddick,CMU,VT,9.025,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.90,8.95,9.10
1,3,Luciana Alvarado-Reid,CMU,VT,9.750,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.80,9.70
1,4,Avah Bootz,CMU,VT,9.750,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.75,9.75
1,5,Ava Wellmeier,CMU,VT,9.775,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.80,9.75
1,6,Lia Kmieciak,CMU,VT,9.875,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.85,9.90
1,7,Paige Hasling,CMU,VT,9.625,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.60,9.65
1,1,Mya Migliore,Kent State,VT,9.700,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.70,9.70
1,2,Sophia Balko,Kent State,VT,9.775,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.80,9.75
1,3,Avery Compson,Kent State,VT,9.750,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.75,9.75
1,4,Taylor Archambeau,Kent State,VT,9.875,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.90,9.85
1,5,Jersey Bingman,Kent State,VT,9.800,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.80,9.80
1,6,Charlie Behner,Kent State,VT,9.850,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.85,9.85
1,7,Allie Call,Kent State,VT,9.625,,,,,,,2/13/2026,CMU vs Kent State,9.95,9.95,9.55,9.70
2,1,Samantha Shannon,CMU,UB,9.875,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.90,9.85
2,2,Ava Wellmeier,CMU,UB,9.850,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.85,9.85
2,3,Gabrielle Johnson,CMU,UB,9.775,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.70,9.85
2,4,Kaitlyn Schwab,CMU,UB,9.750,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.75,9.75
2,5,Luciana Alvarado-Reid,CMU,UB,9.850,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.90,9.80
2,6,Lia Kmieciak,CMU,UB,9.725,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.70,9.75
2,7,Maylee Wendle,CMU,UB,9.750,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.75,9.75
2,1,Lana Mast,Kent State,UB,9.750,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.70,9.80
2,2,Sophia Balko,Kent State,UB,9.800,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.80,9.80
2,3,Taylor Archambeau,Kent State,UB,9.825,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.80,9.85
2,4,Heidi Schultz,Kent State,UB,9.800,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.75,9.85
2,5,Nastia Rudnitskaya,Kent State,UB,9.850,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.80,9.90
2,6,Charlie Behner,Kent State,UB,9.875,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.90,9.85
2,7,Mya Migliore,Kent State,UB,9.775,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.75,9.80
2,8,Ashlynd Werner,Kent State,UB,9.750,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.70,9.80
3,1,Jenna Germond,CMU,BB,9.850,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.90,9.80
3,2,Avah Bootz,CMU,BB,9.750,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.75,9.75
3,3,Gabrielle Johnson,CMU,BB,9.800,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.80,9.80
3,4,Zoie Pelfrey,CMU,BB,9.775,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.80,9.75
3,5,Samantha Shannon,CMU,BB,9.675,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.65,9.70
3,6,Luciana Alvarado-Reid,CMU,BB,9.900,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.90,9.90
3,7,Ashlyn Richards,CMU,BB,9.125,,,,,,,2/13/2026,CMU vs Kent State,9.80,9.80,9.15,9.10
3,1,Zoe Rankin,Kent State,BB,9.575,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.55,9.60
3,2,Mya Migliore,Kent State,BB,9.825,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.85,9.80
3,3,Nene Alvine,Kent State,BB,9.650,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.65,9.65
3,4,Dani Fuertez,Kent State,BB,9.800,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.85,9.75
3,5,Gabby Riley,Kent State,BB,9.775,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.85,9.70
3,6,Heidi Schultz,Kent State,BB,9.850,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.85,9.85
3,7,Anika Most,Kent State,BB,9.575,,,,,,,2/13/2026,CMU vs Kent State,10.00,9.80,9.65,9.50
4,1,Jenna Germond,CMU,FX,9.850,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.85,9.85
4,2,Heather Parker,CMU,FX,9.850,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.80,9.90
4,3,Avah Bootz,CMU,FX,9.875,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.85,9.90
4,4,Zoë Zimmerman,CMU,FX,9.100,,,,,,,2/13/2026,CMU vs Kent State,9.80,9.80,9.05,9.15
4,5,Ava Wellmeier,CMU,FX,9.675,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.75,9.60
4,6,Luciana Alvarado-Reid,CMU,FX,9.900,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.90,9.90
4,7,Abby Izaks,CMU,FX,9.425,,,,,,,2/13/2026,CMU vs Kent State,9.70,9.80,9.35,9.50
4,1,Zoe Rankin,Kent State,FX,9.850,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.80,9.90
4,2,Nastia Rudnitskaya,Kent State,FX,9.775,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.75,9.80
4,3,Jersey Bingman,Kent State,FX,9.750,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.80,9.70
4,4,Dani Fuertez,Kent State,FX,9.650,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.60,9.70
4,5,Heidi Schultz,Kent State,FX,9.875,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.85,9.90
4,6,Charlie Behner,Kent State,FX,9.500,,,,,,,2/13/2026,CMU vs Kent State,9.70,9.70,9.45,9.55
4,7,Lana Mast,Kent State,FX,9.725,,,,,,,2/13/2026,CMU vs Kent State,10.00,10.00,9.75,9.70
