Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Courtney Knutson,Winona State,VT,9.525,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.80,9.80,9.45,9.60
1,2,Madysen Diskerud,Winona State,VT,9.550,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.90,9.90,9.65,9.45
1,3,Jessica Miley,Winona State,VT,8.975,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.90,9.90,8.85,9.10
1,4,Irene Kearney,Winona State,VT,9.775,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.95,9.95,9.80,9.75
1,5,Gabby Kraft,Winona State,VT,9.650,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.80,9.80,9.60,9.70
1,6,Frankie Jo MacAskill,Winona State,VT,9.775,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.95,9.95,9.75,9.80
1,7,Harper Hamilton,Winona State,VT,9.525,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.80,9.80,9.60,9.45
1,1,Amaya McConkay,UW-Oshkosh,VT,9.700,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.90,9.90,9.65,9.75
1,2,Kasha Muraski,UW-Oshkosh,VT,9.725,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.90,9.90,9.75,9.70
1,3,Kris Phillips,UW-Oshkosh,VT,9.600,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.95,9.95,9.50,9.70
1,4,Ome Ellis,UW-Oshkosh,VT,9.550,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.95,9.95,9.60,9.50
1,5,Averie Evans,UW-Oshkosh,VT,9.525,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.95,9.95,9.60,9.45
1,6,Reanna McGibboney,UW-Oshkosh,VT,9.825,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.95,9.95,9.80,9.85
2,1,Harper Hamilton,Winona State,UB,9.625,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.55,9.70
2,2,Addison Ward,Winona State,UB,9.650,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.75,9.55
2,3,Ashley-Elizabeth Lynch,Winona State,UB,9.600,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.70,9.50
2,4,Irene Kearney,Winona State,UB,9.525,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.45,9.60
2,5,Kaylee Bateman,Winona State,UB,8.350,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.40,9.40,8.35,8.35
2,6,Jessica Miley,Winona State,UB,8.725,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.70,9.90,8.75,8.70
2,7,Ashley Phillips,Winona State,UB,7.650,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.40,9.40,8.00,7.30
2,8,Maddie Reiner,Winona State,UB,9.250,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.15,9.35
2,1,Brylie Chamness,UW-Oshkosh,UB,9.475,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.50,9.45
2,2,Hadley Bretschneider,UW-Oshkosh,UB,9.700,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.65,9.75
2,3,Averie Evans,UW-Oshkosh,UB,8.650,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.40,9.40,8.70,8.60
2,4,Lydia Hayden,UW-Oshkosh,UB,9.750,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.80,9.70
2,5,Amaya McConkay,UW-Oshkosh,UB,8.950,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.80,9.80,8.95,8.95
2,6,Reanna McGibboney,UW-Oshkosh,UB,9.625,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.70,9.55
3,1,Kaelyn Duman,Winona State,BB,9.175,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.30,9.05
3,2,Reagan Kelley,Winona State,BB,8.975,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.90,10.00,8.85,9.10
3,3,Aspen Peters,Winona State,BB,9.350,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.40,9.30
3,4,Frankie Jo MacAskill,Winona State,BB,9.600,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.50,9.70
3,5,Kaylee Bateman,Winona State,BB,9.575,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.65,9.50
3,6,Gabby Kraft,Winona State,BB,9.775,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.70,9.85
3,7,Harper Hamilton,Winona State,BB,9.700,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.75,9.65
3,8,Irene Kearney,Winona State,BB,8.950,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.70,9.70,8.90,9.00
3,1,Jay Ratkowski,UW-Oshkosh,BB,9.575,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.60,9.55
3,2,Sam Dorrity,UW-Oshkosh,BB,9.750,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.75,9.75
3,3,Emma Steele,UW-Oshkosh,BB,9.275,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,9.70,9.70,9.30,9.25
3,4,Lydia Hayden,UW-Oshkosh,BB,9.775,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.75,9.80
3,5,Ome Ellis,UW-Oshkosh,BB,9.850,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.80,9.90
3,6,Kristina Jakubiak,UW-Oshkosh,BB,9.800,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.75,9.85
3,7,Jurnee Warkentien,UW-Oshkosh,BB,9.650,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.65,9.65
4,1,Courtney Knutson,Winona State,FX,9.550,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,9.80,9.65,9.45
4,2,Lynley Welshenbaugh,Winona State,FX,9.600,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.60,9.60
4,3,Jessica Miley,Winona State,FX,9.525,,,,,,,2/13/2026,Winona State vs UW-Oshkosh,10.00,10.00,9.60,9.45
