Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Max Odden,Nebraska,FX,13.650,4.8,8.750,,0.1,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.8,1.3,1.2
1,2,Rome Whimpey,Nebraska,FX,11.900,5.1,7.000,0.2,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,5.1,3.2,2.8
1,3,Chase Mondi,Nebraska,FX,13.700,5.3,8.400,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,5.3,1.7,1.5
1,4,Alex Nitache,Nebraska,FX,13.850,4.9,8.850,,0.1,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.9,1.2,1.1
1,1,Alex Campbell,Simpson,FX,11.150,4.4,6.650,,0.1,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.4,3.5,3.2
1,2,Garrett Alexander,Simpson,FX,13.000,4.0,8.900,,0.1,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.0,1.2,1.0
1,3,Jake Smith,Simpson,FX,13.100,4.8,8.300,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.8,1.7,1.7
1,4,Braxton Jones,Simpson,FX,13.300,4.7,8.600,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.7,1.4,1.4
1,1,Michael Weiner,William & Mary,FX,13.300,4.5,8.800,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.5,1.1,1.3
1,2,Nicholas Kosarikov,William & Mary,FX,12.800,4.5,8.300,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.5,1.8,1.6
1,3,Niko Greenly,William & Mary,FX,13.200,4.6,8.600,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.6,1.5,1.3
1,4,Luke Tully,William & Mary,FX,13.400,4.7,8.700,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.7,1.4,1.2
1,1,Kyler Hinson,Greenville,FX,12.950,4.7,8.250,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.7,1.8,1.7
1,2,Ethan Poole,Greenville,FX,13.500,4.7,8.700,,0.1,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.7,1.3,1.3
1,3,Zach Connelly,Greenville,FX,12.600,4.4,8.200,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.4,1.8,1.8
1,4,Jaxon Clapper,Greenville,FX,13.450,4.8,8.650,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.8,1.3,1.4
2,1,Max Odden,Nebraska,PH,12.200,4.5,7.700,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.5,2.2,2.4
2,2,Ethan Cox,Nebraska,PH,13.350,4.6,8.750,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.6,1.4,1.1
2,3,Nik Tarca,Nebraska,PH,13.900,5.1,8.800,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,5.1,1.1,1.3
2,4,Nathan York,Nebraska,PH,14.000,5.5,8.500,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,5.5,1.6,1.4
2,1,Tristan Shorey,Simpson,PH,11.800,3.9,7.900,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,3.9,2.2,2.0
2,2,Jake Sweeten,Simpson,PH,10.800,3.4,7.400,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,3.4,2.5,2.7
2,3,Garrett Alexander,Simpson,PH,12.400,4.2,8.200,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.2,1.8,1.8
2,4,William Bacus,Simpson,PH,10.900,4.7,6.200,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.7,3.7,3.9
2,1,Ricky Pizem,William & Mary,PH,11.300,3.9,7.400,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,3.9,2.5,2.7
2,2,Jared Noyman,William & Mary,PH,12.200,4.4,7.800,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.4,2.2,2.2
2,3,Luke Tully,William & Mary,PH,10.200,3.6,6.600,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,3.6,3.5,3.3
2,4,Gavin Zborowski,William & Mary,PH,12.200,4.9,7.300,,,,Y,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.9,2.8,2.6
2,1,Jacob Foster,Greenville,PH,12.500,3.8,8.700,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,3.8,1.4,1.2
2,2,Andres Esquivel-Garza,Greenville,PH,13.500,4.8,8.700,,,,,2/14/2026,Nebraska / Simpson / William & Mary / Greenville,4.8,1.4,1.2
