Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Maliyah Pound,UW-Whitewater,VT,9.425,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.80,9.80,9.40,9.45
1,2,Danielle Dudziak,UW-Whitewater,VT,9.500,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.90,9.90,9.50,9.50
1,3,Paige Magel,UW-Whitewater,VT,9.575,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.95,9.95,9.55,9.60
1,4,Siena Vavala,UW-Whitewater,VT,9.650,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.90,9.90,9.60,9.70
1,5,Sofia Spadafora,UW-Whitewater,VT,9.600,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.95,9.95,9.65,9.55
1,6,Juliette Rider,UW-Whitewater,VT,9.600,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,10.00,10.00,9.60,9.60
1,7,Lindsey Hollifield,UW-Whitewater,VT,9.350,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.80,9.80,9.35,9.35
1,8,Caroline Saenz,UW-Whitewater,VT,9.025,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.95,9.95,9.00,9.05
1,1,Jessica Qualich,UW-Stout,VT,9.500,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.90,9.90,9.55,9.45
1,2,Kendra Henige,UW-Stout,VT,9.575,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.90,9.90,9.60,9.55
1,3,Jaidyn Carroll,UW-Stout,VT,9.350,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.75,9.75,9.25,9.45
1,4,Reesi Williams,UW-Stout,VT,9.400,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.75,9.75,9.45,9.35
1,5,Katelyn Jossie,UW-Stout,VT,9.375,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.75,9.75,9.40,9.35
1,6,Anna Mielke,UW-Stout,VT,9.200,,,,,,,2/14/2026,UW-Whitewater vs UW-Stout,9.95,9.95,9.30,9.10
