Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Tiana Sumanasekera,UCLA,VT,9.900,,,,,,,2/14/2026,UCLA vs Michigan,9.95,9.95,9.90,9.90
1,2,Madisyn Anyimi,UCLA,VT,9.750,,,,,,,2/14/2026,UCLA vs Michigan,9.95,9.95,9.75,9.75
1,3,Katelyn Rosen,UCLA,VT,9.875,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.85,9.90
1,4,Riley Jenkins,UCLA,VT,9.775,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.75,9.80
1,5,Ashlee Sullivan,UCLA,VT,9.850,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.85,9.85
1,6,Jordan Chiles,UCLA,VT,9.825,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.85,9.80
1,7,Jordis Eichman,UCLA,VT,9.725,,,,,,,2/14/2026,UCLA vs Michigan,9.95,9.95,9.70,9.75
1,1,Peyton Davis,Michigan,VT,9.775,,,,,,,2/14/2026,UCLA vs Michigan,9.95,9.95,9.75,9.80
1,2,Reyna Guggino,Michigan,VT,9.475,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.45,9.50
1,3,Kayli Boozer,Michigan,VT,9.725,,,,,,,2/14/2026,UCLA vs Michigan,9.95,9.95,9.75,9.70
1,4,Ava Jordan,Michigan,VT,9.775,,,,,,,2/14/2026,UCLA vs Michigan,9.95,9.95,9.75,9.80
1,5,Sophia Diaz,Michigan,VT,9.800,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.80,9.80
1,6,Jahzara Ranger,Michigan,VT,9.850,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.85,9.85
1,7,Myli Lew,Michigan,VT,9.675,,,,,,,2/14/2026,UCLA vs Michigan,9.95,9.95,9.65,9.70
2,1,Ciena Alipio,UCLA,UB,9.850,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.85,9.85
2,2,Tiana Sumanasekera,UCLA,UB,9.900,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.90,9.90
2,3,Nola Matthews,UCLA,UB,9.925,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.90,9.95
2,4,Sydney Barros,UCLA,UB,9.850,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.90,9.80
2,5,Ashlee Sullivan,UCLA,UB,9.900,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.95,9.85
2,6,Jordan Chiles,UCLA,UB,9.925,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.90,9.95
2,7,Mika Webster-Longin,UCLA,UB,9.850,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.85,9.85
2,1,Ava Jordan,Michigan,UB,9.900,,,,,,,2/14/2026,UCLA vs Michigan,10.00,10.00,9.90,9.90
