Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Retoshia Halsell,Michigan State,VT,9.775,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.80,9.75
1,2,Cady Duplissis,Michigan State,VT,9.700,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.70,9.70
1,3,Korynne Marquart,Michigan State,VT,9.825,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.85,9.80
1,4,MaKayla Tucker,Michigan State,VT,9.850,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.85,9.85
1,5,Nikki Smith,Michigan State,VT,9.900,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.90,9.90
1,6,Sage Kellerman,Michigan State,VT,9.900,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.90,9.90
1,7,Isabella Trostel,Michigan State,VT,9.800,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.80,9.80
1,1,Josephine Kogler,Maryland,VT,9.825,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.80,9.85
1,2,Rayna Engelmayer,Maryland,VT,9.825,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.85,9.80
1,3,Aine Reade,Maryland,VT,9.725,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.70,9.75
1,4,Taylor Rech,Maryland,VT,9.875,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.90,9.85
1,5,Logan Buckmon,Maryland,VT,9.825,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.80,9.85
1,6,Katrina Mendez-Abolnik,Maryland,VT,9.875,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.90,9.85
1,7,Sydney Mullen,Maryland,VT,9.575,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.60,9.55
1,1,Hannah Milton,Western Michigan,VT,9.800,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.80,9.80
1,2,Aliyah Kelly,Western Michigan,VT,9.575,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.60,9.55
1,3,Kennedy Cooper,Western Michigan,VT,9.700,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.70,9.70
1,4,Brooke Gelesko,Western Michigan,VT,9.800,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.80,9.80
1,5,Isabella Ciolfi,Western Michigan,VT,9.725,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.70,9.75
1,6,Makenna King,Western Michigan,VT,9.800,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,9.95,9.95,9.80,9.80
2,1,Naya Howard,Michigan State,UB,9.825,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.85,9.80
2,2,MaKayla Tucker,Michigan State,UB,9.850,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.90,9.80
2,3,Lilia Cosman,Michigan State,UB,9.850,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.85,9.85
2,4,Kendall Abney,Michigan State,UB,9.825,,,,,,,2/15/2026,Michigan State / Maryland / Western Michigan,10.00,10.00,9.80,9.85
