Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Marissa Lassiter,Penn,VT,9.625,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.55,9.70
1,2,Sienna Zuccaro,Penn,VT,9.675,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.75,9.60
1,3,Maggie Murphy,Penn,VT,9.650,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.65,9.65
1,4,Manama Fofana,Penn,VT,9.775,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.75,9.80
1,5,Ananya Patanaku,Penn,VT,9.750,,,,,,,2/15/2026,Penn / Towson / West Chester,10.00,10.00,9.75,9.75
1,6,Jordan Barrow,Penn,VT,9.800,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.80,9.80
1,7,Samantha Wu,Penn,VT,9.525,,,,,,,2/15/2026,Penn / Towson / West Chester,9.90,9.90,9.45,9.60
1,1,Reese Toland,Towson,VT,9.725,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.70,9.75
1,2,Polina Belanovski,Towson,VT,9.775,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.75,9.80
1,3,Adriana Hoffman,Towson,VT,9.875,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.85,9.90
1,4,Jocelyn Lannon,Towson,VT,9.825,,,,,,,2/15/2026,Penn / Towson / West Chester,10.00,10.00,9.80,9.85
1,5,Isabella Minervini,Towson,VT,9.725,,,,,,,2/15/2026,Penn / Towson / West Chester,10.00,10.00,9.75,9.70
1,6,Isabella DeCroo,Towson,VT,9.750,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.70,9.80
1,7,Cameran Edwards,Towson,VT,9.525,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.45,9.60
1,1,Corinne Gruber,West Chester,VT,9.375,,,,,,,2/15/2026,Penn / Towson / West Chester,9.75,9.75,9.25,9.50
1,2,Karah Vargo,West Chester,VT,9.550,,,,,,,2/15/2026,Penn / Towson / West Chester,9.90,9.90,9.50,9.60
1,3,Ava Griffith,West Chester,VT,9.600,,,,,,,2/15/2026,Penn / Towson / West Chester,9.90,9.90,9.55,9.65
1,4,Alyson Sobczak,West Chester,VT,9.450,,,,,,,2/15/2026,Penn / Towson / West Chester,9.90,9.90,9.50,9.40
1,5,Sarah Eskew,West Chester,VT,9.725,,,,,,,2/15/2026,Penn / Towson / West Chester,9.95,9.95,9.80,9.65
1,6,Jaslyn McComeskey,West Chester,VT,9.550,,,,,,,2/15/2026,Penn / Towson / West Chester,9.90,9.90,9.50,9.60
1,7,Katelynne Tatum,West Chester,VT,9.450,,,,,,Y,2/15/2026,Penn / Towson / West Chester,9.75,9.75,9.40,9.50
2,1,Marissa Lassiter,Penn,UB,9.650,,,,,,,2/15/2026,Penn / Towson / West Chester,10.00,10.00,9.65,9.65
2,2,Skylar Goodstadt,Penn,UB,9.700,,,,,,,2/15/2026,Penn / Towson / West Chester,10.00,10.00,9.70,9.70
2,3,Ruth Whaley,Penn,UB,9.800,,,,,,,2/15/2026,Penn / Towson / West Chester,10.00,10.00,9.85,9.75
