Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Devyn Valuch,San Jose State,VT,9.700,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.75,9.65
1,2,Samantha Macasu,San Jose State,VT,9.675,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.75,9.60
1,3,Ava Johnson,San Jose State,VT,9.775,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,10.00,9.80,9.75
1,4,Kaviana Jurries,San Jose State,VT,9.825,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.80,9.85
1,5,Sophie Patterson,San Jose State,VT,9.750,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.80,9.70
1,6,Mikaela Pitts,San Jose State,VT,9.850,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.85
1,7,Olivia Reardon,San Jose State,VT,9.650,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.65,9.65
1,8,Kyra Cato,San Jose State,VT,9.375,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.50,9.25
1,1,Mya Witte,Utah State,VT,9.725,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.70,9.75
1,2,Lundyn VanderToolen,Utah State,VT,9.750,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.80,9.70
1,3,Anabelle Dewey,Utah State,VT,9.700,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.70,9.70
1,4,Alianna Valdez,Utah State,VT,9.725,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.70,9.75
1,5,Chelsea Southam,Utah State,VT,9.625,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.65,9.60
1,6,Nyla Morabito,Utah State,VT,9.825,,,,,,,2/15/2026,San Jose State vs Utah State,9.95,9.95,9.80,9.85
1,7,Isabella Vater,Utah State,VT,9.725,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.65
2,1,Sophie Patterson,San Jose State,UB,9.775,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.75
2,2,Devyn Valuch,San Jose State,UB,9.850,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.90,9.80
2,3,Genesis PeBenito,San Jose State,UB,9.825,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.85
2,4,Victoria Kisch,San Jose State,UB,9.900,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.90,9.90
2,5,Samantha Macasu,San Jose State,UB,9.775,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.75,9.80
2,6,Kaviana Jurries,San Jose State,UB,9.825,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.85
2,7,Olivia Reardon,San Jose State,UB,9.725,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.75,9.70
2,8,Kyra Cato,San Jose State,UB,9.025,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,9.90,9.05,9.00
2,1,Sydney Jelen,Utah State,UB,9.825,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.85
2,2,Avery Bibbey,Utah State,UB,9.800,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.80
2,3,Olivia Orengo,Utah State,UB,9.900,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.90,9.90
2,4,Lundyn VanderToolen,Utah State,UB,9.900,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.95
2,5,Charley Laufer,Utah State,UB,9.525,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.50,9.55
2,6,Isabella Vater,Utah State,UB,9.175,,,,,,,2/15/2026,San Jose State vs Utah State,9.80,9.90,9.10,9.25
2,7,Alianna Valdez,Utah State,UB,9.525,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.40,9.65
3,1,Marissa Ashton,San Jose State,BB,9.875,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.90,9.85
3,2,Samantha Macasu,San Jose State,BB,9.750,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.75,9.75
3,3,Devyn Valuch,San Jose State,BB,9.850,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.90
3,4,Mia Nelson,San Jose State,BB,9.800,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.80
3,5,Sophie Patterson,San Jose State,BB,9.875,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.90,9.85
3,6,Genesis PeBenito,San Jose State,BB,9.825,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.80
3,7,Kaviana Jurries,San Jose State,BB,9.575,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.55,9.60
3,8,Olivia Reardon,San Jose State,BB,9.600,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.65,9.55
3,1,Sydney Jelen,Utah State,BB,9.825,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.80
3,2,Olivia Orengo,Utah State,BB,9.850,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.85
3,3,Kaylie Medrano,Utah State,BB,9.825,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.80
3,4,Alianna Valdez,Utah State,BB,9.675,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.70,9.65
3,5,Charley Laufer,Utah State,BB,9.550,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.60,9.50
3,6,Mya Witte,Utah State,BB,9.900,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.90,9.90
3,7,Nyla Morabito,Utah State,BB,9.025,,,,,,,2/15/2026,San Jose State vs Utah State,9.80,9.80,9.05,9.00
4,1,Marissa Ashton,San Jose State,FX,9.825,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.85
4,2,Kaviana Jurries,San Jose State,FX,9.800,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.80
4,3,Mia Nelson,San Jose State,FX,9.750,,,,,,Y,2/15/2026,San Jose State vs Utah State,9.90,9.90,9.75,9.75
4,4,Genesis PeBenito,San Jose State,FX,9.850,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.85
4,5,Kaylee Larson,San Jose State,FX,9.775,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.75
4,6,Ava Johnson,San Jose State,FX,9.800,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.80
4,7,Sophie Patterson,San Jose State,FX,9.700,,,,,,,2/15/2026,San Jose State vs Utah State,9.90,10.00,9.65,9.75
4,8,Ava East,San Jose State,FX,9.700,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.70,9.70
4,1,Olivia Orengo,Utah State,FX,9.800,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.75
4,2,Sienna Yelle,Utah State,FX,9.575,,,0.1,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.75,9.60
4,3,Chelsea Southam,Utah State,FX,9.775,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.75
4,4,Anabelle Dewey,Utah State,FX,9.850,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.85
4,5,Isabella Vater,Utah State,FX,9.700,,,0.1,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.80,9.80
4,6,Mara Gruber,Utah State,FX,9.800,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.75
4,7,Marley Peterson,Utah State,FX,9.800,,,,,,,2/15/2026,San Jose State vs Utah State,10.00,10.00,9.85,9.75
