Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Jordanna Phillis,Ball State,VT,9.675,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.70,9.65
1,2,Karli Mercer,Ball State,VT,9.825,,,,,,,2/15/2026,Ball State vs Eastern Michigan,10.00,10.00,9.85,9.80
1,3,Mary Rose Bellan,Ball State,VT,9.725,,,,,,,2/15/2026,Ball State vs Eastern Michigan,10.00,10.00,9.70,9.75
1,4,Ava Thurston,Ball State,VT,9.775,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.75,9.80
1,5,Zoe Middleton,Ball State,VT,9.775,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.80,9.75
1,6,Carley Stalder,Ball State,VT,9.800,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.80,9.80
1,7,Alauna Simms,Ball State,VT,9.575,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.90,9.90,9.60,9.55
1,8,Kinlee Bare,Ball State,VT,9.725,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.75,9.70
1,1,Abby Brushwood,Eastern Michigan: EMU,VT,9.775,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.75,9.80
1,2,Macy Nihart,Eastern Michigan: EMU,VT,9.725,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.90,9.90,9.75,9.70
1,3,Gwendelyn Cantu,Eastern Michigan: EMU,VT,9.725,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.75,9.70
1,4,Savanna Dunwoody,Eastern Michigan: EMU,VT,9.775,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.80,9.75
1,5,Kendall Landry,Eastern Michigan: EMU,VT,9.850,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.85,9.85
1,6,Genae Daniel,Eastern Michigan: EMU,VT,9.825,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.85,9.80
1,7,Georgie Slack,Eastern Michigan: EMU,VT,9.675,,,,,,,2/15/2026,Ball State vs Eastern Michigan,9.95,9.95,9.70,9.65
2,1,Ava Molina,Ball State,UB,9.800,,,,,,,2/15/2026,Ball State vs Eastern Michigan,10.00,10.00,9.80,9.80
