Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Daisy Stephenson,BYU,VT,9.750,,,,,,,2/20/2026,BYU vs Denver,9.95,9.95,9.80,9.70
1,2,Mya Kirkham,BYU,VT,9.800,,,,,,,2/20/2026,BYU vs Denver,9.95,9.95,9.80,9.80
1,3,Scarlett Sonnenberg,BYU,VT,9.825,,,,,,,2/20/2026,BYU vs Denver,10.00,10.00,9.80,9.85
1,4,Deb Silva,BYU,VT,9.825,,,,,,,2/20/2026,BYU vs Denver,9.95,9.95,9.85,9.80
1,5,Ava Jorgensen,BYU,VT,9.775,,,,,,,2/20/2026,BYU vs Denver,10.00,10.00,9.80,9.75
1,6,Kylie Eaquinto,BYU,VT,9.850,,,,,,,2/20/2026,BYU vs Denver,9.95,9.95,9.85,9.85
1,7,Alilah Alvarado,BYU,VT,9.700,,,,,,,2/20/2026,BYU vs Denver,9.95,9.95,9.65,9.75
1,1,Amanda Hargraves,Denver,VT,9.675,,,,,,,2/20/2026,BYU vs Denver,9.95,9.95,9.70,9.65
1,2,Sevana Kasparian,Denver,VT,9.775,,,,,,,2/20/2026,BYU vs Denver,9.95,9.95,9.80,9.75
1,3,Cecilia Cooley,Denver,VT,9.700,,,,,,,2/20/2026,BYU vs Denver,9.95,9.95,9.75,9.65
1,4,Maddison Reidenbach,Denver,VT,9.650,,,,,,,2/20/2026,BYU vs Denver,9.95,9.95,9.60,9.70
1,5,Shyla Bhatia,Denver,VT,9.775,,,,,,,2/20/2026,BYU vs Denver,10.00,10.00,9.75,9.80
1,6,Addie Hewitt,Denver,VT,9.850,,,,,,,2/20/2026,BYU vs Denver,9.95,9.95,9.85,9.85
2,1,Mya Kirkham,BYU,UB,9.725,,,,,,,2/20/2026,BYU vs Denver,10.00,10.00,9.70,9.75
2,2,Addilyn Glazier,BYU,UB,8.950,,,,,,,2/20/2026,BYU vs Denver,9.80,9.70,9.05,8.85
2,3,Deb Silva,BYU,UB,9.725,,,,,,,2/20/2026,BYU vs Denver,10.00,10.00,9.70,9.75
2,4,Kylie Eaquinto,BYU,UB,9.800,,,,,,,2/20/2026,BYU vs Denver,10.00,10.00,9.80,9.80
2,5,Ava Jorgensen,BYU,UB,9.875,,,,,,,2/20/2026,BYU vs Denver,10.00,10.00,9.85,9.90
2,6,Alilah Alvarado,BYU,UB,9.875,,,,,,,2/20/2026,BYU vs Denver,10.00,10.00,9.90,9.85
2,7,Taeva Greenberg,BYU,UB,9.750,,,,,,Y,2/20/2026,BYU vs Denver,10.00,10.00,9.75,9.75
2,1,Kaitlynd Kastl,Denver,UB,9.800,,,,,,,2/20/2026,BYU vs Denver,10.00,10.00,9.75,9.85
