Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Ja' Free Scott,Georgia,VT,9.900,,,,,,,2/20/2026,Georgia vs Florida,9.95,9.95,9.90,9.90
1,2,Avery Moll,Georgia,VT,9.625,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.60,9.65
1,3,Ady Wahl,Georgia,VT,9.875,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.85
1,4,Nyla Aquino,Georgia,VT,9.875,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.90
1,5,CaMarah Williams,Georgia,VT,9.800,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.80,9.80
1,6,Csenge Bacskay,Georgia,VT,9.925,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.95,9.90
1,1,Skylar Draser,Florida,VT,9.850,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.85
1,2,Anya Pilgrim,Florida,VT,9.850,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.85
1,3,Kayla DiCello,Florida,VT,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.90
1,4,Skye Blakely,Florida,VT,9.875,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.90
1,5,Danie Ferris,Florida,VT,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.90
1,6,Selena Harris-Miranda,Florida,VT,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.90
2,1,Csenge Bacskay,Georgia,UB,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.90
2,2,Holly Snyder,Georgia,UB,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.90
2,3,Kelise Woolford,Georgia,UB,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.95
2,4,Ja' Free Scott,Georgia,UB,9.250,,,,,,,2/20/2026,Georgia vs Florida,9.90,9.90,9.10,9.40
2,5,Autumn Reingold,Georgia,UB,9.925,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.95
2,6,Lily Smith,Georgia,UB,9.850,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.85
2,1,eMjae Frazier,Florida,UB,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.90
2,2,Anya Pilgrim,Florida,UB,9.850,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.85
2,3,Skye Blakely,Florida,UB,9.650,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.55,9.75
2,4,Kayla DiCello,Florida,UB,9.950,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.95,9.95
2,5,Selena Harris-Miranda,Florida,UB,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.90
2,6,Skylar Draser,Florida,UB,9.825,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.80,9.85
3,1,Anya Turner,Georgia,BB,9.050,,,,,,,2/20/2026,Georgia vs Florida,9.70,9.70,9.00,9.10
3,2,Holly Snyder,Georgia,BB,9.850,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.85
3,3,Kelise Woolford,Georgia,BB,9.875,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.90
3,4,Ja' Free Scott,Georgia,BB,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.90
3,5,CaMarah Williams,Georgia,BB,9.725,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.75,9.70
3,6,Lily Smith,Georgia,BB,9.675,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.70,9.65
3,1,Skylar Draser,Florida,BB,9.850,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.85
3,2,Alyssa Arana,Florida,BB,9.875,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.90
3,3,Skye Blakely,Florida,BB,9.850,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.80
3,4,eMjae Frazier,Florida,BB,9.850,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.80,9.90
3,5,Kayla DiCello,Florida,BB,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.90
3,6,Selena Harris-Miranda,Florida,BB,9.950,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.95,9.95
4,1,Eryn Williams,Georgia,FX,9.725,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.75,9.70
4,2,Ady Wahl,Georgia,FX,9.900,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.90,9.90
4,3,Harley Tomlin,Georgia,FX,9.825,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.80,9.85
4,4,Nyla Aquino,Georgia,FX,9.925,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.95,9.90
4,5,CaMarah Williams,Georgia,FX,9.875,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.85,9.90
4,6,Lily Smith,Georgia,FX,9.925,,,,,,,2/20/2026,Georgia vs Florida,10.00,10.00,9.95,9.90
