Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Railey Jackson,Missouri,VT,9.925,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.95,9.90
1,2,Kaia Tanskanen,Missouri,VT,9.850,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.85,9.85
1,3,Kennedy Griffin,Missouri,VT,9.825,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.80,9.85
1,4,Kimarra Echols,Missouri,VT,9.850,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.85,9.85
1,5,Elise Tisler,Missouri,VT,9.875,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.85,9.90
1,6,Hannah Horton,Missouri,VT,9.775,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.75,9.80
1,7,Dakota Essenpries,Missouri,VT,9.875,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.90,9.85
1,1,Callie Kauffman,Illinois,VT,9.750,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.75,9.75
1,2,Summer Clancy,Illinois,VT,9.850,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.85,9.85
1,3,Tali Joelson,Illinois,VT,8.875,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.80,9.80,8.75,9.00
1,4,Alea Byrne,Illinois,VT,9.725,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.70,9.75
1,5,Chloe Cho,Illinois,VT,9.750,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.80,9.70
1,6,Eden King,Illinois,VT,9.800,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.80,9.80
1,7,Rachel Goldstein,Illinois,VT,9.750,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.70,9.80
1,1,Jordanna Phillis,Ball State,VT,9.700,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.65,9.75
1,2,Karli Mercer,Ball State,VT,9.700,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.65,9.75
1,3,Mary Rose Bellan,Ball State,VT,9.725,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.75,9.70
1,4,Ava Thurston,Ball State,VT,9.800,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.80,9.80
1,5,Zoe Middleton,Ball State,VT,9.825,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.85,9.80
1,6,Carley Stalder,Ball State,VT,9.775,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.70,9.85
1,7,Alauna Simms,Ball State,VT,9.700,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.90,9.90,9.65,9.75
1,1,Sarah Willis,Air Force,VT,9.650,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.55,9.75
1,2,Hailey Santana,Air Force,VT,9.700,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.70,9.70
1,3,Olivia Raife,Air Force,VT,9.800,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.80,9.80
1,4,Kylee Greene,Air Force,VT,9.825,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.80,9.85
1,5,Maggie Slife,Air Force,VT,9.850,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.85,9.85
1,6,Alyssa Bigler,Air Force,VT,9.300,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.30,9.30
1,7,Rosa Juarez Baez,Air Force,VT,9.500,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,9.95,9.95,9.45,9.55
2,1,Makayla Green,Missouri,UB,9.875,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.90,9.85
2,2,Olivia Kelly,Missouri,UB,9.875,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.90,9.85
2,3,Kaia Tanskanen,Missouri,UB,9.825,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.80,9.85
2,4,Maiya Terry,Missouri,UB,9.850,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.85,9.85
2,5,Hannah Horton,Missouri,UB,9.925,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.95,9.90
2,6,Kimarra Echols,Missouri,UB,9.775,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.75,9.80
2,7,Rayna Light,Missouri,UB,9.750,,,,,,,2/20/2026,Missouri / Illinois / Ball State / Air Force,10.00,10.00,9.75,9.75
