Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Jessica Qualich,UW-Stout,VT,9.725,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.90,9.90,9.70,9.75
1,2,Kendra Henige,UW-Stout,VT,9.575,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.90,9.90,9.65,9.50
1,3,Anna Mielke,UW-Stout,VT,9.350,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.95,9.95,9.50,9.20
1,4,Jaidyn Carroll,UW-Stout,VT,9.550,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.75,9.75,9.55,9.55
1,5,Reesi Williams,UW-Stout,VT,9.375,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.75,9.75,9.40,9.35
1,6,Maggie Ryan,UW-Stout,VT,8.925,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.95,9.95,9.15,8.70
1,7,Katelyn Jossie,UW-Stout,VT,9.375,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.75,9.75,9.30,9.45
1,8,Jamie Beatty,UW-Stout,VT,9.375,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.60,9.60,9.35,9.40
1,1,Alexa Denton,Simpson,VT,9.425,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.75,9.75,9.40,9.45
1,2,Olivia Hedary,Simpson,VT,9.525,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.75,9.75,9.50,9.55
1,3,Bella Dix,Simpson,VT,9.300,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.90,9.90,9.35,9.25
1,4,Kendall Pinkelman,Simpson,VT,9.650,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.90,9.90,9.65,9.65
1,5,Emma Charles,Simpson,VT,9.700,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.65,9.65,9.70,9.70
1,6,Kaelyn Tally,Simpson,VT,9.650,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,10.00,10.00,9.60,9.70
1,7,Nicola Catchpole,Simpson,VT,9.100,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.80,9.80,9.20,9.00
1,8,Brooklen Morgan,Simpson,VT,9.575,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.75,9.75,9.60,9.55
1,1,Malia Narciso,Gustavus,VT,9.375,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.80,9.80,9.40,9.35
1,2,Ella Nash,Gustavus,VT,9.200,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.75,9.75,9.05,9.35
1,3,Zara Reboks,Gustavus,VT,9.450,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.75,9.75,9.45,9.45
1,4,Taylor Hall,Gustavus,VT,9.450,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.75,9.75,9.40,9.50
1,5,Cara Wong,Gustavus,VT,9.450,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.90,9.90,9.35,9.55
1,6,Kate Clairmont,Gustavus,VT,9.650,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.95,9.95,9.65,9.65
1,7,Cecilia Athie,Gustavus,VT,8.725,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.90,9.90,8.90,8.55
2,1,Maggie Ryan,UW-Stout,UB,7.175,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.30,9.30,7.35,7.00
2,2,Caroline DiMarco,UW-Stout,UB,8.475,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.70,9.70,8.30,8.65
2,3,Katelyn Jossie,UW-Stout,UB,9.075,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.80,9.80,9.00,9.15
2,4,Cora Cardellino,UW-Stout,UB,8.975,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.80,9.80,8.95,9.00
2,5,Sarah Lutz,UW-Stout,UB,9.750,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,10.00,10.00,9.70,9.80
2,6,Jamie Beatty,UW-Stout,UB,9.700,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,10.00,10.00,9.60,9.80
2,7,Julia Rhoades,UW-Stout,UB,8.000,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.20,9.20,7.90,8.10
2,8,Aisha Gutierrez,UW-Stout,UB,7.725,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.30,9.30,7.55,7.90
2,1,Rachel Welch,Simpson,UB,9.175,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.80,9.80,9.20,9.15
2,2,Avril Crespin,Simpson,UB,7.800,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.40,9.40,7.85,7.75
2,3,Alexa Denton,Simpson,UB,9.550,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,10.00,10.00,9.50,9.60
2,4,Emma Charles,Simpson,UB,9.250,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.70,9.70,9.15,9.35
2,5,Evalyn Resnick,Simpson,UB,9.400,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,10.00,10.00,9.30,9.50
2,6,Liz Sisler,Simpson,UB,9.675,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,10.00,10.00,9.60,9.75
2,7,Olivia Hedary,Simpson,UB,8.925,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.80,9.80,8.95,8.90
2,8,Izzy Brown,Simpson,UB,9.350,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,1.00,1.00,9.35,9.35
2,1,Rocio Madalena Gora,Gustavus,UB,6.950,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.50,9.50,6.90,7.00
2,2,Zara Reboks,Gustavus,UB,7.900,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.60,9.50,7.60,8.20
2,3,Mariah Sikon,Gustavus,UB,7.350,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.40,9.40,7.40,7.30
2,4,Kate Clairmont,Gustavus,UB,8.350,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.60,9.60,8.30,8.40
2,5,Cara Wong,Gustavus,UB,9.325,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.90,9.90,9.20,9.45
2,6,Autumn Schmidt,Gustavus,UB,8.750,,,,,,,2/20/2026,UW-Stout / Simpson / Gustavus,9.60,9.60,8.70,8.80
