Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Peyton Davis,Michigan,VT,9.800,,,,,,,2/21/2026,Michigan vs Rutgers,9.95,9.95,9.80,9.80
1,2,Reyna Guggino,Michigan,VT,9.925,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.95,9.90
1,3,Kayli Boozer,Michigan,VT,9.850,,,,,,,2/21/2026,Michigan vs Rutgers,9.95,9.95,9.85,9.85
1,4,Ava Jordan,Michigan,VT,9.900,,,,,,,2/21/2026,Michigan vs Rutgers,9.95,9.95,9.90,9.90
1,5,Sophia Diaz,Michigan,VT,9.775,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.85,9.70
1,6,Jahzara Ranger,Michigan,VT,9.850,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.85,9.85
1,7,Lily Clapper,Michigan,VT,9.725,,,,,,,2/21/2026,Michigan vs Rutgers,9.95,9.95,9.70,9.75
1,1,Lisa Chevaire,Rutgers,VT,9.775,,,,,,,2/21/2026,Michigan vs Rutgers,9.95,9.95,9.80,9.75
1,2,Vivienne Larsen,Rutgers,VT,9.775,,,,,,,2/21/2026,Michigan vs Rutgers,9.95,9.95,9.80,9.75
1,3,Reagan Schenkel,Rutgers,VT,9.850,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.85,9.85
1,4,Rachael Riley,Rutgers,VT,9.800,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.80,9.80
1,5,Gabrielle Dildy,Rutgers,VT,9.875,,,,,,,2/21/2026,Michigan vs Rutgers,9.95,9.95,9.90,9.85
1,6,Emily Leese,Rutgers,VT,9.725,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.70,9.75
1,7,Abril Toscanini,Rutgers,VT,9.750,,,,,,,2/21/2026,Michigan vs Rutgers,9.95,9.95,9.80,9.70
1,8,Kimmi Shiau,Rutgers,VT,9.550,,,,,,,2/21/2026,Michigan vs Rutgers,9.95,9.95,9.50,9.60
2,1,Ava Jordan,Michigan,UB,9.800,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.80,9.80
2,2,Lily Clapper,Michigan,UB,9.800,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.75,9.85
2,3,Sophia Diaz,Michigan,UB,9.825,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.85,9.80
2,4,Myli Lew,Michigan,UB,9.700,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.75,9.65
2,5,Carly Bauman,Michigan,UB,9.900,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.90,9.90
2,6,Sophie Parenti,Michigan,UB,9.325,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.40,9.25
2,7,Gabrielle Gauger,Michigan,UB,9.775,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.75,9.80
2,8,Audrey Sanger,Michigan,UB,9.700,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.65,9.75
2,1,Donna Uhlenberg,Rutgers,UB,9.725,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.70,9.75
2,2,Campbell Earley,Rutgers,UB,9.700,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.75,9.65
2,3,Elliot Goldsmith,Rutgers,UB,9.625,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.55,9.70
2,4,Delaney Adrian,Rutgers,UB,9.650,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.70,9.60
2,5,Gabrielle Dildy,Rutgers,UB,9.750,,,,,,Y,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.80,9.70
2,6,Reagan Schenkel,Rutgers,UB,9.800,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.80,9.80
2,7,Matis Rains,Rutgers,UB,9.750,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.75,9.75
2,8,Olivia DiNovi,Rutgers,UB,9.625,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.65,9.60
3,1,Sophie Parenti,Michigan,BB,9.775,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.75,9.80
3,2,Quincy Walters,Michigan,BB,9.875,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.90,9.85
3,3,Carly Bauman,Michigan,BB,9.875,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.85,9.90
3,4,Jahzara Ranger,Michigan,BB,9.925,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.95,9.90
3,5,Kayli Boozer,Michigan,BB,9.850,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.80,9.90
3,6,Peyton Davis,Michigan,BB,9.800,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.80,9.80
3,7,Sophia Diaz,Michigan,BB,9.400,,,,,,,2/21/2026,Michigan vs Rutgers,9.70,9.70,9.30,9.50
3,8,Reyna Guggino,Michigan,BB,9.175,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.20,9.15
3,1,Delaney Adrian,Rutgers,BB,9.825,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.85,9.80
3,2,Rachel Beaulieu,Rutgers,BB,9.775,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.75,9.80
3,3,Vivienne Larsen,Rutgers,BB,9.625,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.60,9.65
3,4,Keeley Smith,Rutgers,BB,9.750,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.70,9.80
3,5,Rachael Riley,Rutgers,BB,9.800,,,,,,Y,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.75,9.85
3,6,Gabrielle Dildy,Rutgers,BB,9.850,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.90,9.80
3,7,Matis Rains,Rutgers,BB,9.125,,,,,,,2/21/2026,Michigan vs Rutgers,9.90,9.90,9.05,9.20
3,8,Olivia DiNovi,Rutgers,BB,9.575,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.65,9.50
4,1,Peyton Davis,Michigan,FX,9.850,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.85,9.85
4,2,Quincy Walters,Michigan,FX,9.875,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.85,9.90
4,3,Sophie Parenti,Michigan,FX,9.800,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.80,9.80
4,4,Sophia Diaz,Michigan,FX,9.900,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.90,9.90
4,5,Carly Bauman,Michigan,FX,9.900,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.90,9.90
4,6,Jahzara Ranger,Michigan,FX,9.900,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.90,9.90
4,7,Audrey Sanger,Michigan,FX,9.750,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.70,9.80
4,8,Reyna Guggino,Michigan,FX,9.800,,,,,,,2/21/2026,Michigan vs Rutgers,10.00,10.00,9.80,9.80
