Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Tirzah Wise,Arizona,VT,9.750,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.80,9.70
1,2,Elizabeth LaRusso,Arizona,VT,9.775,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.80,9.75
1,3,Ainsley Greever,Arizona,VT,9.750,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.75,9.75
1,4,Sophie Derr,Arizona,VT,9.775,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.85,9.70
1,5,Abigayle Martin,Arizona,VT,9.775,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.75,9.80
1,6,Jessa Janicke,Arizona,VT,9.875,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.90,9.85
1,1,Emerson Smith,WVU,VT,9.725,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.75,9.70
1,2,Kayla Smith,WVU,VT,9.775,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.80,9.75
1,3,Carlee Nelson,WVU,VT,9.800,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.80,9.80
1,4,Taylor Tuohy,WVU,VT,9.750,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.80,9.70
1,5,Karleigh DiCello,WVU,VT,9.775,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.85,9.70
1,6,Sophia Rice,WVU,VT,9.850,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.85,9.85
1,7,Amber Lowe,WVU,VT,9.775,,,,,,,2/21/2026,Arizona vs WVU,9.95,9.95,9.80,9.75
2,1,Hillary Puleo,Arizona,UB,9.775,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.80,9.75
2,2,Sadie Smith,Arizona,UB,9.800,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.80,9.80
2,3,Delaney Mead,Arizona,UB,9.800,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.80,9.80
2,4,Abigayle Martin,Arizona,UB,9.900,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.90,9.90
2,5,Sophie Derr,Arizona,UB,9.850,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.85,9.85
2,6,Aubrey Krohnfeldt,Arizona,UB,9.875,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.85,9.90
2,7,Sophia Maisel,Arizona,UB,9.625,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.65,9.60
2,1,Kaelyn Skeel,WVU,UB,9.675,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.75,9.60
2,2,Kayla Smith,WVU,UB,9.675,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.65,9.70
2,3,Haley Mendoza,WVU,UB,9.600,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.60,9.60
2,4,Amber Lowe,WVU,UB,9.825,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.80,9.85
2,5,Jayden McDonnell,WVU,UB,9.775,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.80,9.75
2,6,Jurnee Lane,WVU,UB,9.650,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.65,9.65
2,7,Kaylei Adams,WVU,UB,9.650,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.70,9.60
3,1,Gianna Lenczner,Arizona,BB,9.900,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.90,9.90
3,2,Aubrey Krohnfeldt,Arizona,BB,9.775,,,,,,,2/21/2026,Arizona vs WVU,10.00,1.00,9.75,9.80
3,3,Emma Strom,Arizona,BB,9.450,,,,,,,2/21/2026,Arizona vs WVU,10.00,1.00,9.45,9.45
3,4,Sophie Derr,Arizona,BB,9.750,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.70,9.80
3,5,Tirzah Wise,Arizona,BB,9.825,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.80,9.85
3,6,Abigayle Martin,Arizona,BB,9.875,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.85,9.90
3,7,Amelia Rock,Arizona,BB,9.675,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.65,9.70
3,1,Kayla Smith,WVU,BB,9.600,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.60,9.60
3,2,Amber Lowe,WVU,BB,9.675,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.70,9.65
3,3,Haley Mendoza,WVU,BB,9.500,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.40,9.60
3,4,Jurnee Lane,WVU,BB,9.625,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.55,9.70
3,5,Eden Webster,WVU,BB,9.750,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.75,9.75
3,6,Kaylei Adams,WVU,BB,9.700,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.65,9.75
3,7,Miranda Smith,WVU,BB,8.900,,,,,,,2/21/2026,Arizona vs WVU,9.80,9.80,8.85,8.95
4,1,Tirzah Wise,Arizona,FX,9.850,,,,,,Y,2/21/2026,Arizona vs WVU,10.00,10.00,9.85,9.85
4,2,Riley Carman,Arizona,FX,9.825,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.85,9.80
4,3,Elizabeth LaRusso,Arizona,FX,9.725,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.75,9.70
4,4,Sophie Derr,Arizona,FX,9.900,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.90,9.90
4,5,Abigayle Martin,Arizona,FX,9.850,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.90,9.80
4,6,Emma Strom,Arizona,FX,9.900,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.85,9.95
4,1,Carlee Nelson,WVU,FX,9.700,,,,,,Y,2/21/2026,Arizona vs WVU,10.00,10.00,9.70,9.70
4,2,Taylor Tuohy,WVU,FX,9.750,,,,,,,2/21/2026,Arizona vs WVU,9.90,10.00,9.75,9.75
4,3,Jurnee Lane,WVU,FX,9.675,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.70,9.65
4,4,Auden Pederson,WVU,FX,9.700,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.70,9.70
4,5,Emerson Smith,WVU,FX,9.875,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.85,9.90
4,6,Kayla Smith,WVU,FX,9.725,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.65,9.80
4,7,Kaelyn Skeel,WVU,FX,9.700,,,,,,,2/21/2026,Arizona vs WVU,10.00,10.00,9.80,9.60
