Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Jessica Lin,Brown,VT,9.500,,,,,,,2/22/2026,Ivy Classic @ Yale,9.75,9.75,9.45,9.55
1,2,Gabby Mautner,Brown,VT,9.675,,,,,,Y,2/22/2026,Ivy Classic @ Yale,9.90,9.90,9.70,9.65
1,3,Emily Ford,Brown,VT,9.550,,,,,,,2/22/2026,Ivy Classic @ Yale,9.90,9.90,9.55,9.55
1,4,Lulu Ton-That,Brown,VT,9.725,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.70,9.75
1,5,Sophia Dewar,Brown,VT,9.775,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.75,9.80
1,1,Lily Aucoin,Yale,VT,9.750,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.75,9.75
1,2,Ashley Stafford,Yale,VT,9.725,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.70,9.75
1,3,Gigi Sabatini,Yale,VT,9.725,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.65,9.80
1,4,Annie Bilbe,Yale,VT,9.750,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.75
1,5,Lauren Burt,Yale,VT,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.80,9.80
1,6,Hailey Kriz,Yale,VT,9.700,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.65,9.75
1,1,Addy Rothstein,Cornell,VT,9.650,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.70,9.60
1,2,Noelle Wojcik,Cornell,VT,9.600,,,,,,,2/22/2026,Ivy Classic @ Yale,9.90,9.90,9.55,9.65
1,3,Dahlia Jhaveri,Cornell,VT,9.700,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.70,9.70
1,4,Grace McLean,Cornell,VT,9.200,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.15,9.25
1,5,Michaela DeFrancisco,Cornell,VT,9.725,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.70,9.75
1,6,Cami Whitaker,Cornell,VT,9.825,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.85,9.80
1,1,Marissa Lassiter,Penn,VT,9.750,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.75,9.75
1,2,Sienna Zuccaro,Penn,VT,9.700,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.65,9.75
1,3,Maggie Murphy,Penn,VT,9.725,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.75,9.70
1,4,Ananya Patanaku,Penn,VT,9.775,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.80
1,5,Manama Fofana,Penn,VT,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.80,9.80
1,6,Jordan Barrow,Penn,VT,9.825,,,,,,,2/22/2026,Ivy Classic @ Yale,9.95,9.95,9.80,9.85
2,1,Addy Whiteside,Brown,UB,8.725,,,,,,,2/22/2026,Ivy Classic @ Yale,9.60,9.70,8.70,8.75
2,2,Lulu Ton-That,Brown,UB,7.900,,,,,,,2/22/2026,Ivy Classic @ Yale,9.80,9.70,8.00,7.80
2,3,Daisy Fallon,Brown,UB,9.750,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.70
2,4,Emily Ford,Brown,UB,8.950,,,,,,,2/22/2026,Ivy Classic @ Yale,9.70,9.70,9.00,8.90
2,5,Sophie Tressler,Brown,UB,9.825,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.85,9.80
2,6,Sophia Dewar,Brown,UB,9.700,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.70,9.70
2,1,Lauren Holt,Yale,UB,9.700,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.70,9.70
2,2,Lily Aucoin,Yale,UB,9.700,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.65
2,3,Hailey Kriz,Yale,UB,9.750,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.75
2,4,Charlotte Zaun,Yale,UB,9.175,,,,,,,2/22/2026,Ivy Classic @ Yale,9.90,9.90,9.30,9.05
2,5,Ellie Kearns,Yale,UB,9.825,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.85,9.80
2,6,Chloe DeJoy,Yale,UB,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.85,9.75
2,1,Josie Moylan,Cornell,UB,8.900,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.00,8.80
2,2,Dahlia Jhaveri,Cornell,UB,8.950,,,,,,,2/22/2026,Ivy Classic @ Yale,9.90,9.90,9.00,8.90
2,3,Ava Schenck-Davis,Cornell,UB,9.725,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.70
2,4,Addy Rothstein,Cornell,UB,9.725,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.70
2,5,Morgen Shambo,Cornell,UB,9.725,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.65
2,6,Sarah Goetter,Cornell,UB,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.80
2,1,Marissa Lassiter,Penn,UB,9.700,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.70,9.70
2,2,Skylar Goodstadt,Penn,UB,9.775,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.75
2,3,Ruth Whaley,Penn,UB,9.775,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.80
2,4,Sophia Paris,Penn,UB,9.675,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.65,9.70
2,5,Luci Toczydlowski,Penn,UB,9.850,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.85,9.85
2,6,Jordan Barrow,Penn,UB,9.775,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.75
3,1,Lindsay Van Eyk,Brown,BB,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.85
3,2,Addy Whiteside,Brown,BB,9.775,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.75
3,3,Gianna Martoccia,Brown,BB,9.700,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.65
3,4,Rehna Saalinger,Brown,BB,8.825,,,,,,,2/22/2026,Ivy Classic @ Yale,9.90,9.50,9.05,8.60
3,5,Emily Ford,Brown,BB,9.825,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.85,9.80
3,6,Lindsey Yang,Brown,BB,9.125,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,9.90,9.25,9.00
3,1,Hailey Kriz,Yale,BB,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.80
3,2,Gigi Sabatini,Yale,BB,9.650,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.70,9.60
3,3,Charlotte Zaun,Yale,BB,9.450,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.40,9.50
3,4,Allie Forbes,Yale,BB,9.850,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.90,9.80
3,5,Hana Strause,Yale,BB,9.750,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,9.80,9.85,9.65
3,6,Ellie Kearns,Yale,BB,9.825,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.85
3,1,Grace McLean,Cornell,BB,9.850,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.85,9.85
3,2,Noelle Wojcik,Cornell,BB,9.575,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.65,9.50
3,3,Lauren Golioto,Cornell,BB,9.050,,,,,,,2/22/2026,Ivy Classic @ Yale,9.90,9.90,9.05,9.05
3,4,Anne MacKenzie,Cornell,BB,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.80
3,5,Mikayla Burton,Cornell,BB,9.400,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.45,9.35
3,6,Natalia Tehrani,Cornell,BB,9.725,,,,,Y,Y,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.70,9.75
3,1,Ruth Whaley,Penn,BB,9.825,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.85
3,2,Maggie Murphy,Penn,BB,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.80
3,3,Alisha Werlen,Penn,BB,9.075,,,,,,,2/22/2026,Ivy Classic @ Yale,9.70,10.00,9.00,9.15
3,4,Manama Fofana,Penn,BB,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.80
3,5,Jordan Barrow,Penn,BB,9.900,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.90,9.90
3,6,Mimi Fletcher,Penn,BB,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.80
4,1,Maeve McIlroy,Brown,FX,9.725,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.65,9.80
4,2,Lindsay Van Eyk,Brown,FX,9.775,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.80,9.75
4,3,Daisy Fallon,Brown,FX,9.800,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.85
4,4,Addy Whiteside,Brown,FX,9.675,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.60,9.75
4,5,Rehna Saalinger,Brown,FX,9.625,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.55,9.70
4,6,Sophia Dewar,Brown,FX,9.875,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.90,9.85
4,1,Hana Strause,Yale,FX,9.850,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.85,9.85
4,2,Megan Brueck,Yale,FX,9.775,,,,,,,2/22/2026,Ivy Classic @ Yale,10.00,10.00,9.75,9.80
