Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Aspen Tucker,GW: GW / Eastern Michigan / Towson / Fisk,VT,9.550,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.90,9.90,9.60,9.50
1,2,Zoe Safran,GW: GW / Eastern Michigan / Towson / Fisk,VT,9.725,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.70,9.75
1,3,Alexia Zakaryan,GW: GW / Eastern Michigan / Towson / Fisk,VT,9.650,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.70,9.60
1,4,Lola Montevago,GW: GW / Eastern Michigan / Towson / Fisk,VT,9.800,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.80,9.80
1,5,Alison Mun,GW: GW / Eastern Michigan / Towson / Fisk,VT,9.625,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.55,9.70
1,6,Deana Sheremeta,GW: GW / Eastern Michigan / Towson / Fisk,VT,9.800,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.80,9.80
1,1,Reese Toland,Towson: GW / Eastern Michigan / Towson / Fisk,VT,9.800,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.80,9.80
1,2,Adriana Hoffman,Towson: GW / Eastern Michigan / Towson / Fisk,VT,9.800,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.75,9.85
1,3,Isabella Minervini,Towson: GW / Eastern Michigan / Towson / Fisk,VT,9.850,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,10.00,10.00,9.85,9.85
1,4,Isabella DeCroo,Towson: GW / Eastern Michigan / Towson / Fisk,VT,9.800,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.80,9.80
1,5,Jocelyn Lannon,Towson: GW / Eastern Michigan / Towson / Fisk,VT,9.875,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,10.00,10.00,9.90,9.85
1,6,Polina Belanovski,Towson: GW / Eastern Michigan / Towson / Fisk,VT,9.800,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.75,9.85
1,7,Faye Rodio,Towson: GW / Eastern Michigan / Towson / Fisk,VT,9.725,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,10.00,10.00,9.70,9.75
1,1,Abby Brushwood,Eastern Michigan: GW / Eastern Michigan / Towson / Fisk,VT,9.700,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.75,9.65
1,2,Kyrie Lowe,Eastern Michigan: GW / Eastern Michigan / Towson / Fisk,VT,9.725,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.70,9.75
1,3,Gwendelyn Cantu,Eastern Michigan: GW / Eastern Michigan / Towson / Fisk,VT,9.825,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.85,9.80
1,4,Savanna Dunwoody,Eastern Michigan: GW / Eastern Michigan / Towson / Fisk,VT,9.600,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.55,9.65
1,5,Kendall Landry,Eastern Michigan: GW / Eastern Michigan / Towson / Fisk,VT,9.750,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.70,9.80
1,6,Genae Daniel,Eastern Michigan: GW / Eastern Michigan / Towson / Fisk,VT,9.750,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.75,9.75
1,7,Macy Nihart,Eastern Michigan: GW / Eastern Michigan / Towson / Fisk,VT,9.575,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.90,9.90,9.55,9.60
1,1,Kennedi Johnson,Fisk: GW / Eastern Michigan / Towson / Fisk,VT,9.550,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.90,9.90,9.55,9.55
1,2,Zyia Coleman,Fisk: GW / Eastern Michigan / Towson / Fisk,VT,9.325,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.75,9.75,9.35,9.30
1,3,Hadassah Diggs,Fisk: GW / Eastern Michigan / Towson / Fisk,VT,9.500,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.90,9.90,9.60,9.40
1,4,Ciniah Rosby,Fisk: GW / Eastern Michigan / Towson / Fisk,VT,9.600,,,,,,,2/22/2026,GW / Towson / Eastern Michigan / Fisk,9.95,9.95,9.60,9.60
