Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Elizabeth Blessey,Oklahoma,VT,9.800,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.80,9.80
1,2,Keira Wells,Oklahoma,VT,9.875,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.85
1,3,Hannah Scheible,Oklahoma,VT,9.925,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.95,9.90
1,4,Mackenzie Estep,Oklahoma,VT,9.900,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.90
1,5,Elle Mueller,Oklahoma,VT,9.875,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.85
1,6,Addison Fatta,Oklahoma,VT,9.900,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.90
1,1,Olivia Greaves,Auburn,VT,9.675,,,,,,,2/27/2026,Oklahoma vs Auburn,9.95,9.95,9.70,9.65
1,2,Mia Leverton,Auburn,VT,9.800,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.80,9.80
1,3,Marissa Neal,Auburn,VT,9.900,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.90
1,4,Julianne Huff,Auburn,VT,9.775,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.80,9.75
1,5,Paige Zancan,Auburn,VT,9.925,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.95,9.90
1,6,Brynn Torry,Auburn,VT,9.900,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.90
2,1,Lily Pederson,Oklahoma,UB,9.950,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.95,9.95
2,2,Ella Murphy,Oklahoma,UB,9.850,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.80
2,3,Hannah Scheible,Oklahoma,UB,9.900,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.90
2,4,Addison Fatta,Oklahoma,UB,9.925,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.95
2,5,Mackenzie Estep,Oklahoma,UB,9.875,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.85,9.90
2,6,Faith Torrez,Oklahoma,UB,9.900,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.90
2,1,Julianne Huff,Auburn,UB,9.775,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.75,9.80
2,2,Hannah Hagle,Auburn,UB,7.800,,,,,,Y,2/27/2026,Oklahoma vs Auburn,9.00,9.20,7.90,7.70
2,3,Katelyn Jong,Auburn,UB,9.800,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.80,9.80
2,4,Olivia Greaves,Auburn,UB,9.875,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.85
2,5,Emma Grace Boyd,Auburn,UB,9.900,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.90
2,6,Alex Irvine,Auburn,UB,9.825,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.80,9.85
3,1,Addison Fatta,Oklahoma,BB,9.900,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.90
3,2,Keira Wells,Oklahoma,BB,9.925,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.95
3,3,Ella Murphy,Oklahoma,BB,9.850,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.85,9.85
3,4,Lily Pederson,Oklahoma,BB,9.850,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.85,9.85
3,5,Elle Mueller,Oklahoma,BB,9.925,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.95
3,6,Faith Torrez,Oklahoma,BB,9.950,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.95,9.95
3,1,Olivia Ahern,Auburn,BB,9.100,,,,,,,2/27/2026,Oklahoma vs Auburn,9.90,9.90,9.20,9.00
3,2,Olivia Greaves,Auburn,BB,9.550,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.60,9.50
3,3,Julianne Huff,Auburn,BB,9.775,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.75,9.80
3,4,Hannah Hagle,Auburn,BB,9.750,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.75,9.75
3,5,Alex Irvine,Auburn,BB,9.850,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.85,9.85
3,6,Marissa Neal,Auburn,BB,9.875,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.85,9.90
4,1,Lily Pederson,Oklahoma,FX,9.900,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.95,9.85
4,2,Ella Murphy,Oklahoma,FX,9.925,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.95
4,3,Mackenzie Estep,Oklahoma,FX,9.950,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.95,9.95
4,4,Addison Fatta,Oklahoma,FX,9.775,,,0.1,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.90,9.85
4,5,Elle Mueller,Oklahoma,FX,9.850,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.85,9.85
4,6,Kamila Pawlak,Oklahoma,FX,9.725,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.75,9.70
4,1,Bryn Bartman,Auburn,FX,9.600,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.60,9.60
4,2,Emma Wehry,Auburn,FX,8.800,,,,,,,2/27/2026,Oklahoma vs Auburn,9.30,9.30,8.70,8.90
4,3,Olivia Ahern,Auburn,FX,9.775,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.75,9.80
4,4,Julianne Huff,Auburn,FX,9.825,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.85,9.80
4,5,Marissa Neal,Auburn,FX,9.850,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.85,9.85
4,6,Olivia Greaves,Auburn,FX,9.825,,,,,,,2/27/2026,Oklahoma vs Auburn,10.00,10.00,9.80,9.85
