Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Caitlin McWilliams,Washington,VT,9.750,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.75,9.75
1,2,Kristin Lin,Washington,VT,9.800,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.80,9.80
1,3,Lilly Tubbs,Washington,VT,9.700,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.65,9.75
1,4,Jessica Schaffer,Washington,VT,9.750,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.80,9.70
1,5,Kira Bolden,Washington,VT,9.775,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.75,9.80
1,6,Mary McDonough,Washington,VT,9.525,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.60,9.45
1,1,Peyton Davis,Michigan,VT,9.900,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.90,9.90
1,2,Reyna Guggino,Michigan,VT,9.800,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.80,9.80
1,3,Kayli Boozer,Michigan,VT,9.825,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.80,9.85
1,4,Ava Jordan,Michigan,VT,9.825,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.80,9.85
1,5,Sophia Diaz,Michigan,VT,9.850,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.85,9.85
1,6,Jahzara Ranger,Michigan,VT,9.925,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.95,9.90
1,1,Karys Griffin,Nebraska,VT,9.625,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.60,9.65
1,2,Molly Peterson,Nebraska,VT,9.800,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.80,9.80
1,3,Whitney Jencks,Nebraska,VT,9.775,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.80,9.75
1,4,Reese Baechle,Nebraska,VT,9.200,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.20,9.20
1,5,Isabel Sikon,Nebraska,VT,9.800,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.80,9.80
1,6,Tegan Shaver,Nebraska,VT,9.800,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.85,9.75
1,1,Elizabeth Leary,Penn State,VT,9.825,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.80,9.85
1,2,Dani Latronica,Penn State,VT,9.825,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.80,9.85
1,3,Allison Kaempfer,Penn State,VT,9.825,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.80,9.85
1,4,Ava Cash,Penn State,VT,9.775,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.75,9.80
1,5,Jessica Johanson,Penn State,VT,9.875,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.95,9.95,9.85,9.90
1,6,Ava Piedrahita,Penn State,VT,9.850,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.90,9.80
2,1,Olivia Oppegard,Washington,UB,9.725,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.75,9.70
2,2,Caitlin McWilliams,Washington,UB,9.725,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.75,9.70
2,3,Kristin Lin,Washington,UB,9.650,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.70,9.60
2,4,Deiah Moody,Washington,UB,9.850,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.80,9.90
2,5,Lilly Tubbs,Washington,UB,9.925,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.95,9.90
2,6,Mary McDonough,Washington,UB,9.825,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.80,9.85
2,1,Ava Jordan,Michigan,UB,9.850,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.90,9.80
2,2,Lily Clapper,Michigan,UB,9.700,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.65,9.75
2,3,Sophia Diaz,Michigan,UB,9.850,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.85,9.85
2,4,Myli Lew,Michigan,UB,9.875,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.85,9.90
2,5,Carly Bauman,Michigan,UB,9.900,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.90,9.90
2,6,Sophie Parenti,Michigan,UB,9.725,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.75,9.70
2,1,Olivia Burns,Nebraska,UB,9.750,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.80,9.70
2,2,Isabel Sikon,Nebraska,UB,9.250,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.90,9.90,9.30,9.20
2,3,Tegan Shaver,Nebraska,UB,9.750,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.75,9.75
2,4,Nya Kraus,Nebraska,UB,9.300,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.35,9.25
2,5,Molly Peterson,Nebraska,UB,9.800,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.80,9.80
2,6,Whitney Jencks,Nebraska,UB,9.800,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.85,9.75
2,1,Jessica Johanson,Penn State,UB,9.850,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.80,9.90
2,2,Ellie Monahan,Penn State,UB,9.875,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.90,9.85
2,3,Elizabeth Leary,Penn State,UB,9.900,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.90,9.90
2,4,Ava Cash,Penn State,UB,9.900,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.90,9.90
2,5,Ava Piedrahita,Penn State,UB,9.800,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.80,9.80
2,6,Dani Latronica,Penn State,UB,9.800,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.80,9.80
3,1,Kristin Lin,Washington,BB,8.850,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,9.60,9.60,8.80,8.90
3,2,Olivia Oppegard,Washington,BB,9.650,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.65,9.65
3,3,Lana Navarro,Washington,BB,9.600,,,,,,,2/28/2026,B1G 4 Meet @ Penn State,10.00,10.00,9.60,9.60
