Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Kai Uemura,Stanford,FX,13.900,4.9,9.000,,,,,2/28/2026,Stanford International Collegiate '26,4.9,1.1,0.9
1,2,Cooper Kim,Stanford,FX,14.000,5.4,8.600,,,,,2/28/2026,Stanford International Collegiate '26,5.4,1.4,1.4
1,3,Zachary Green,Stanford,FX,12.950,4.7,8.250,,,,,2/28/2026,Stanford International Collegiate '26,4.7,1.8,1.7
1,4,Nick Kuebler,Stanford,FX,13.950,5.1,8.850,,,,,2/28/2026,Stanford International Collegiate '26,5.1,1.1,1.2
1,1,Khalen Curry,California,FX,12.100,4.7,7.400,,,,,2/28/2026,Stanford International Collegiate '26,4.7,2.7,2.5
1,2,Tucker Yasunaga,California,FX,11.800,4.7,7.200,0.1,,,,2/28/2026,Stanford International Collegiate '26,4.7,2.9,2.7
1,3,Nathan Underhill,California,FX,12.850,5.0,7.950,0.1,,,,2/28/2026,Stanford International Collegiate '26,5.0,2.2,1.9
1,4,Matteo Bardana,California,FX,13.700,5.0,8.800,0.1,,,,2/28/2026,Stanford International Collegiate '26,5.0,1.1,1.3
1,1,Asher Hong,Stanford,FX,13.650,5.7,8.350,0.4,,,,2/28/2026,Stanford International Collegiate '26,5.7,1.7,1.6
1,2,Junnosuke Iwai,Stanford,FX,13.950,5.6,8.350,,,,,2/28/2026,Stanford International Collegiate '26,5.6,1.7,1.6
1,3,David Shamah,Stanford,FX,13.400,4.5,8.800,,0.1,,,2/28/2026,Stanford International Collegiate '26,4.5,1.1,1.3
1,1,Jose Angel Díaz Oropeza,Mexico,FX,12.550,3.6,8.850,,0.1,,,2/28/2026,Stanford International Collegiate '26,3.6,1.1,1.2
1,2,Mario Alberto Rojas Quintero,Mexico,FX,11.750,4.6,7.750,0.6,,,,2/28/2026,Stanford International Collegiate '26,4.6,2.3,2.2
1,3,Juan David Hernández Díaz,Mexico,FX,12.150,5.0,7.150,,,,,2/28/2026,Stanford International Collegiate '26,5.0,2.9,2.8
1,1,Marcus Pietarinen,Stanford: All Stars,FX,13.800,5.0,8.800,,,,,2/28/2026,Stanford International Collegiate '26,5.0,1.3,1.1
1,2,Evan Hymanson,All Stars: All Stars,FX,12.150,4.8,7.550,0.2,,,,2/28/2026,Stanford International Collegiate '26,4.8,2.6,2.3
2,1,Arun Chhetri,Stanford,PH,13.250,5.5,7.750,,,,,2/28/2026,Stanford International Collegiate '26,5.5,2.5,2.0
2,2,Xander Hong,Stanford,PH,11.950,4.9,7.050,,,,,2/28/2026,Stanford International Collegiate '26,4.9,2.8,3.1
2,3,Zachary Green,Stanford,PH,11.100,4.5,6.600,,,,,2/28/2026,Stanford International Collegiate '26,4.5,3.3,3.5
2,4,Kiran Mandava,Stanford,PH,14.350,5.5,8.850,,,Y,Y,2/28/2026,Stanford International Collegiate '26,5.5,1.2,1.1
2,1,Kaien Orion,California,PH,12.050,4.7,7.350,,,,,2/28/2026,Stanford International Collegiate '26,4.7,2.8,2.5
2,2,Davide Comparin,California,PH,13.300,4.9,8.400,,,,,2/28/2026,Stanford International Collegiate '26,4.9,1.5,1.7
2,3,Harry Kim,California,PH,13.300,4.9,8.400,,,,,2/28/2026,Stanford International Collegiate '26,4.9,1.5,1.7
2,4,Jasper Smith-Gordon,California,PH,12.650,4.9,7.750,,,,,2/28/2026,Stanford International Collegiate '26,4.9,2.3,2.2
2,5,Matteo Bardana,California,PH,11.400,3.0,8.400,,,,,2/28/2026,Stanford International Collegiate '26,3.0,1.7,1.5
2,1,Junnosuke Iwai,Stanford,PH,10.250,4.2,6.050,,,,,2/28/2026,Stanford International Collegiate '26,4.2,4.1,3.8
2,2,Asher Hong,Stanford,PH,12.350,5.4,6.950,,,,,2/28/2026,Stanford International Collegiate '26,5.4,3.2,2.9
2,3,David Shamah,Stanford,PH,14.000,5.3,8.700,,,,,2/28/2026,Stanford International Collegiate '26,5.3,1.2,1.4
2,5,Riley Loos,USA,PH,11.400,5.0,6.400,,,,,2/28/2026,Stanford International Collegiate '26,5.0,3.4,3.8
2,1,Jose Angel Díaz Oropeza,Mexico,PH,12.050,4.3,7.750,,,,,2/28/2026,Stanford International Collegiate '26,4.3,2.3,2.2
2,2,Antonio Johannan Wong Gutierrez,Mexico,PH,11.400,4.9,6.500,,,,,2/28/2026,Stanford International Collegiate '26,4.9,3.5,3.5
2,3,Juan David Hernández Díaz,Mexico,PH,11.950,4.1,7.850,,,,,2/28/2026,Stanford International Collegiate '26,4.1,2.2,2.1
2,5,Carlos Damian Solorza Aguirre,Mexico,PH,8.650,2.8,5.850,,,,,2/28/2026,Stanford International Collegiate '26,2.8,4.5,3.8
2,6,Alejandro Yañez,Mexico,PH,8.800,3.2,5.600,,,,,2/28/2026,Stanford International Collegiate '26,3.2,4.4,4.4
2,1,Marcus Pietarinen,Stanford: All Stars,PH,13.100,5.0,8.100,,,,,2/28/2026,Stanford International Collegiate '26,5.0,1.8,2.0
2,2,Khoi Young,All Stars: All Stars,PH,14.450,5.6,8.850,,,,,2/28/2026,Stanford International Collegiate '26,5.6,1.1,1.2
3,1,Deano Roberts,Stanford,SR,12.600,4.3,8.300,,,,,2/28/2026,Stanford International Collegiate '26,4.3,1.6,1.8
3,2,Nick Kuebler,Stanford,SR,13.950,5.1,8.750,,0.1,,,2/28/2026,Stanford International Collegiate '26,5.1,1.3,1.2
3,3,Arun Chhetri,Stanford,SR,12.700,4.9,7.800,,,,,2/28/2026,Stanford International Collegiate '26,4.9,2.2,2.2
3,4,Reece Landsperger,Stanford,SR,13.700,5.2,8.500,,,,,2/28/2026,Stanford International Collegiate '26,5.2,1.5,1.5
3,1,Troy Nuesca,California,SR,12.900,3.7,9.200,,,,,2/28/2026,Stanford International Collegiate '26,3.7,0.8,0.8
3,2,Carter Kim,California,SR,12.900,4.5,8.400,,,,,2/28/2026,Stanford International Collegiate '26,4.5,1.7,1.5
3,3,Matteo Bardana,California,SR,12.550,4.6,7.950,,,,,2/28/2026,Stanford International Collegiate '26,4.6,2.2,1.9
3,4,Jaxon Mitchell,California,SR,12.900,4.9,8.000,,,,,2/28/2026,Stanford International Collegiate '26,4.9,2.1,1.9
3,1,Junnosuke Iwai,Stanford,SR,12.500,4.4,8.000,,0.1,,,2/28/2026,Stanford International Collegiate '26,4.4,2.1,1.9
3,2,Asher Hong,Stanford,SR,14.050,5.4,8.650,,,,,2/28/2026,Stanford International Collegiate '26,5.4,1.3,1.4
3,3,David Shamah,Stanford,SR,11.450,3.1,8.550,0.3,0.1,,,2/28/2026,Stanford International Collegiate '26,3.1,1.5,1.4
3,1,Jose Angel Díaz Oropeza,Mexico,SR,10.850,3.1,7.750,,,,,2/28/2026,Stanford International Collegiate '26,3.1,2.3,2.2
3,2,Carlos Damian Solorza Aguirre,Mexico,SR,10.300,3.1,7.100,,0.1,,,2/28/2026,Stanford International Collegiate '26,3.1,3.0,2.8
3,3,Mario Alberto Rojas Quintero,Mexico,SR,12.150,3.9,8.150,,0.1,,,2/28/2026,Stanford International Collegiate '26,3.9,1.9,1.8
