Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Hailey Best,Temple,VT,9.650,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.60,9.70
1,2,Madison Ley,Temple,VT,9.350,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.25,9.45
1,3,Kyrstin Johnson,Temple,VT,9.775,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.75,9.80
1,4,Jade Harden,Temple,VT,9.725,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.70,9.75
1,5,Nikki Rengifo,Temple,VT,9.750,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.80,9.70
1,6,Amelia Budd,Temple,VT,9.800,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.80,9.80
1,7,Tali Flanigan,Temple,VT,9.600,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.55,9.65
1,1,Josephine Kogler,Maryland,VT,9.775,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.75,9.80
1,2,Rayna Engelmayer,Maryland,VT,9.775,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.70,9.85
1,3,Aine Reade,Maryland,VT,9.000,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,8.95,9.05
1,4,Taylor Rech,Maryland,VT,9.725,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.65,9.80
1,5,Megan Bingham,Maryland,VT,9.575,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.60,9.55
1,6,Katrina Mendez-Abolnik,Maryland,VT,9.825,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,10.00,10.00,9.80,9.85
1,1,Polina Belanovski,Towson,VT,9.700,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.75,9.65
1,2,Adriana Hoffman,Towson,VT,9.775,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.70,9.85
1,3,Isabella Minervini,Towson,VT,9.775,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,10.00,10.00,9.80,9.75
1,4,Isabella DeCroo,Towson,VT,9.650,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.55,9.75
1,5,Jocelyn Lannon,Towson,VT,9.700,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,10.00,10.00,9.75,9.65
1,6,Faye Rodio,Towson,VT,9.650,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,10.00,10.00,9.65,9.65
1,1,Sienna Zuccaro,Penn,VT,9.650,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.60,9.70
1,2,Maggie Murphy,Penn,VT,9.825,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.85,9.80
1,3,Marissa Lassiter,Penn,VT,9.750,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.65,9.85
1,4,Ananya Patanaku,Penn,VT,9.675,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,10.00,10.00,9.70,9.65
1,5,Manama Fofana,Penn,VT,9.575,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.55,9.60
1,6,Jordan Barrow,Penn,VT,9.700,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.95,9.95,9.70,9.70
1,7,Samantha Wu,Penn,VT,9.550,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,9.90,9.90,9.55,9.55
2,1,Reese DeHaan,Temple,UB,9.700,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,10.00,10.00,9.65,9.75
2,2,Mariella Brueck,Temple,UB,9.675,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,10.00,10.00,9.65,9.70
2,3,Ava Sutphen,Temple,UB,9.775,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,10.00,10.00,9.75,9.80
2,4,Megan White,Temple,UB,9.650,,,,,,,3/5/2026,Temple / Maryland / Towson / Penn,10.00,10.00,9.70,9.60
