Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Alaina Reid,TWU,VT,9.700,,,,,,,3/6/2026,TWU vs Nebraska,9.95,9.95,9.70,9.70
1,2,Jordan Loock,TWU,VT,9.625,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.60,9.65
1,3,Juliaunna Baker,TWU,VT,9.725,,,,,,,3/6/2026,TWU vs Nebraska,9.95,9.95,9.70,9.75
1,4,Maddy Murphy,TWU,VT,9.775,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.75,9.80
1,5,Kyleigh Ghanbari,TWU,VT,9.825,,,,,,,3/6/2026,TWU vs Nebraska,9.95,9.95,9.80,9.85
1,6,Sophia Isbell,TWU,VT,9.750,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.70,9.80
1,1,Peyton Pech,Nebraska,VT,9.700,,,,,,,3/6/2026,TWU vs Nebraska,9.95,9.95,9.70,9.70
1,2,Molly Peterson,Nebraska,VT,9.800,,,,,,,3/6/2026,TWU vs Nebraska,9.95,9.95,9.75,9.85
1,3,Whitney Jencks,Nebraska,VT,9.800,,,,,,,3/6/2026,TWU vs Nebraska,9.95,9.95,9.80,9.80
1,4,Reese Baechle,Nebraska,VT,9.675,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.65,9.70
1,5,Isabel Sikon,Nebraska,VT,9.825,,,,,,,3/6/2026,TWU vs Nebraska,9.95,9.95,9.80,9.85
1,6,Tegan Shaver,Nebraska,VT,9.850,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.80,9.90
1,7,Karys Griffin,Nebraska,VT,9.625,,,,,,,3/6/2026,TWU vs Nebraska,9.95,9.95,9.60,9.65
1,8,Katelyn Barth,Nebraska,VT,9.400,,,,,,,3/6/2026,TWU vs Nebraska,9.95,9.95,9.45,9.35
2,1,Sofia Steffan,TWU,UB,8.825,,,,,,,3/6/2026,TWU vs Nebraska,9.90,9.90,8.80,8.85
2,2,Kami Zarlengo,TWU,UB,9.625,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.70,9.55
2,3,Jordan Loock,TWU,UB,9.850,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.85,9.85
2,4,Alaina Reid,TWU,UB,9.825,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.80,9.85
2,5,Caroline Bowns,TWU,UB,9.700,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.60,9.80
2,6,Brooke Ferrari,TWU,UB,9.775,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.80,9.75
2,7,Juliaunna Baker,TWU,UB,8.800,,,,,,,3/6/2026,TWU vs Nebraska,9.70,9.70,8.90,8.70
2,1,Olivia Burns,Nebraska,UB,9.700,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.75,9.65
2,2,Isabel Sikon,Nebraska,UB,9.850,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.80,9.90
2,3,Tegan Shaver,Nebraska,UB,9.775,,,,,,,3/6/2026,TWU vs Nebraska,10.00,10.00,9.80,9.75
