Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Elizabeth LaRusso,Arizona,VT,9.825,,,,,,,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.80,9.85
1,2,Sophie Derr,Arizona,VT,9.850,,,,,,,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.85,9.85
1,3,Emma Strom,Arizona,VT,9.825,,,,,,,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.85,9.80
1,4,Ainsley Greever,Arizona,VT,9.750,,,,,,,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.75,9.75
1,5,Abigayle Martin,Arizona,VT,9.775,,,,,,,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.80,9.75
1,6,Jessa Janicke,Arizona,VT,9.750,,,,,,,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.70,9.80
1,7,Olivia Childs,Arizona,VT,9.475,,,,,,Y,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.60,9.35
1,1,Safia El Mammann,Arizona State,VT,9.775,,,,,,,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.75,9.80
1,2,Delanie Kelly,Arizona State,VT,9.700,,,,,,,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.70,9.70
1,3,Lilia Purler,Arizona State,VT,9.850,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.85,9.85
1,4,Kimberly Smith,Arizona State,VT,9.825,,,,,,,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.80,9.85
1,5,Halle Gregoire,Arizona State,VT,9.850,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.85,9.85
1,6,Halle Braaflat,Arizona State,VT,9.125,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.20,9.05
1,7,Kylee Bromley,Arizona State,VT,9.825,,,,,,Y,3/6/2026,Arizona vs Arizona State,9.95,9.95,9.80,9.85
2,1,Hillary Puleo,Arizona,UB,9.850,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.85,9.85
2,2,Sadie Smith,Arizona,UB,9.750,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.80,9.70
2,3,Delaney Mead,Arizona,UB,9.725,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.65,9.80
2,4,Abigayle Martin,Arizona,UB,9.850,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.90,9.80
2,5,Sophie Derr,Arizona,UB,9.800,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.75,9.85
2,6,Aubrey Krohnfeldt,Arizona,UB,9.900,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.90,9.90
2,7,Sophia Maisel,Arizona,UB,9.825,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.85,9.80
2,1,Reese Grolla,Arizona State,UB,9.725,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.80,9.65
2,2,Halle Gregoire,Arizona State,UB,9.775,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.75,9.80
2,3,Isabella Kowan,Arizona State,UB,9.675,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.65,9.70
2,4,Kylee Bromley,Arizona State,UB,9.825,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.80,9.85
2,5,Kimberly Smith,Arizona State,UB,9.875,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.85,9.90
2,6,Delanie Kelly,Arizona State,UB,9.800,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.85,9.75
2,7,Safia El Mammann,Arizona State,UB,9.700,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.70,9.70
3,1,Gianna Lenczner,Arizona,BB,9.850,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.85,9.85
3,2,Aubrey Krohnfeldt,Arizona,BB,9.825,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.80,9.85
3,3,Jessa Janicke,Arizona,BB,9.800,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.80,9.80
3,4,Sophie Derr,Arizona,BB,9.825,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.80,9.85
3,5,Tirzah Wise,Arizona,BB,9.875,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.85,9.90
3,6,Abigayle Martin,Arizona,BB,9.750,,,,,,Y,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.80,9.70
3,7,Emma Strom,Arizona,BB,9.600,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.60,9.60
3,1,Reese Grolla,Arizona State,BB,9.850,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.85,9.85
3,2,Kylee Bromley,Arizona State,BB,9.750,,,,,,,3/6/2026,Arizona vs Arizona State,10.00,10.00,9.80,9.70
